"champ";"statut";"annee";"periode";"date du resultat";"ipe";lib;nb;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/30 11:29:37";="590782421";Nombre RSA avec Diags COVID-19 (sauf U07.13);390;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 11:29:37";="590782421";Nombre RSA avec Diags COVID-19;501;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 11:29:37";="590782421";Nombre RSA correctement chainés;495;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 11:29:37";="590782421";Nombre RSA groupés en CM 90;0;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 12:11:53";="800000051";Nombre RSA avec Diags COVID-19 (sauf U07.13);14;2023.7;X800000051;30AUG23;12:11:16
"mco";"dgf";"2023";"7";"2023/08/30 12:11:53";="800000051";Nombre RSA avec Diags COVID-19;14;2023.7;X800000051;30AUG23;12:11:16
"mco";"dgf";"2023";"7";"2023/08/30 12:11:53";="800000051";Nombre RSA correctement chainés;14;2023.7;X800000051;30AUG23;12:11:16
"mco";"dgf";"2023";"7";"2023/08/30 12:11:53";="800000051";Nombre RSA groupés en CM 90;0;2023.7;X800000051;30AUG23;12:11:16
"mco";"dgf";"2023";"7";"2023/08/30 13:42:14";="800000135";Nombre RSA avec Diags COVID-19 (sauf U07.13);2;2023.7;X800000135;30AUG23;13:41:48
"mco";"dgf";"2023";"7";"2023/08/30 13:42:14";="800000135";Nombre RSA avec Diags COVID-19;2;2023.7;X800000135;30AUG23;13:41:48
"mco";"dgf";"2023";"7";"2023/08/30 13:42:14";="800000135";Nombre RSA correctement chainés;2;2023.7;X800000135;30AUG23;13:41:48
"mco";"dgf";"2023";"7";"2023/08/30 13:42:14";="800000135";Nombre RSA groupés en CM 90;0;2023.7;X800000135;30AUG23;13:41:48
"mco";"dgf";"2023";"7";"2023/08/30 14:11:25";="590782165";Nombre RSA avec Diags COVID-19 (sauf U07.13);214;2023.7;X590782165;30AUG23;14:10:49
"mco";"dgf";"2023";"7";"2023/08/30 14:11:25";="590782165";Nombre RSA avec Diags COVID-19;1701;2023.7;X590782165;30AUG23;14:10:49
"mco";"dgf";"2023";"7";"2023/08/30 14:11:25";="590782165";Nombre RSA correctement chainés;1697;2023.7;X590782165;30AUG23;14:10:49
"mco";"dgf";"2023";"7";"2023/08/30 14:11:25";="590782165";Nombre RSA groupés en CM 90;5;2023.7;X590782165;30AUG23;14:10:49
"mco";"dgf";"2023";"7";"2023/08/30 14:39:25";="620101360";Nombre RSA avec Diags COVID-19 (sauf U07.13);154;2023.7;X620101360;30AUG23;14:38:44
"mco";"dgf";"2023";"7";"2023/08/30 14:39:25";="620101360";Nombre RSA avec Diags COVID-19;187;2023.7;X620101360;30AUG23;14:38:44
"mco";"dgf";"2023";"7";"2023/08/30 14:39:25";="620101360";Nombre RSA correctement chainés;187;2023.7;X620101360;30AUG23;14:38:44
