"champ";"statut";"annee";"periode";"date du resultat";"ipe";cage;nbh;nbf;nb;pcth;pctf;pct;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/29 09:24:14";="020000055";4;26;15;41;22.413793103;10.273972603;15.648854962;2023.7;X020000055;29AUG23;9:24:09
"mco";"dgf";"2023";"7";"2023/08/29 09:24:14";="020000055";5;57;56;113;49.137931034;38.356164384;43.129770992;2023.7;X020000055;29AUG23;9:24:09
"mco";"dgf";"2023";"7";"2023/08/29 09:24:14";="020000055";6;33;75;108;28.448275862;51.369863014;41.221374046;2023.7;X020000055;29AUG23;9:24:09
"mco";"dgf";"2023";"7";"2023/08/29 09:28:19";="590782652";0;277;210;487;7.816027088;4.1625371655;5.6700430784;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:28:19";="590782652";1;2;;2;0.0564334086;;0.0232855979;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:28:19";="590782652";2;46;42;88;1.2979683973;0.8325074331;1.0245663057;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:28:19";="590782652";3;84;80;164;2.3702031603;1.585728444;1.9094190243;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:28:19";="590782652";4;1527;2557;4084;43.086907449;50.683845391;47.549190825;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:28:19";="590782652";5;1289;1573;2862;36.371331828;31.17938553;33.321690534;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:28:19";="590782652";6;319;583;902;9.0011286682;11.555996036;10.501804634;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:48:35";="590780052";4;610;465;1075;90.37037037;74.519230769;82.755966128;2023.7;X590780052;29AUG23;9:48:30
"mco";"dgf";"2023";"7";"2023/08/29 09:48:35";="590780052";5;37;61;98;5.4814814815;9.7756410256;7.5442648191;2023.7;X590780052;29AUG23;9:48:30
"mco";"dgf";"2023";"7";"2023/08/29 09:48:35";="590780052";6;28;98;126;4.1481481481;15.705128205;9.6997690531;2023.7;X590780052;29AUG23;9:48:30
"mco";"dgf";"2023";"7";"2023/08/29 10:19:17";="600100648";2;32;15;47;1.8369690011;0.8797653959;1.3635044967;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 10:19:17";="600100648";3;49;37;86;2.812858783;2.1700879765;2.4949231216;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 10:19:17";="600100648";4;947;861;1808;54.362801378;50.498533724;52.451407021;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 10:19:17";="600100648";5;570;469;1039;32.721010333;27.507331378;30.142152596;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 10:19:17";="600100648";6;144;323;467;8.2663605052;18.944281525;13.548012765;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 13:05:08";="620000026";0;5;;5;0.164365549;;0.070008401;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:08";="620000026";1;7;4;11;0.2301117686;0.0975609756;0.1540184822;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:08";="620000026";2;64;45;109;2.103879027;1.0975609756;1.526183142;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:08";="620000026";3;176;221;397;5.7856673241;5.3902439024;5.55866704;2023.7;X620000026;29AUG23;13:05:03
