"champ";"statut";"annee";"periode";"date du resultat";"ipe";mois;semaine;ponder;ponder_cn;dms;moy_age;med_age;pct_homme;pct_rea;pct_si;pct_sc;annee;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/29 10:19:43";="600100648";6;;1;1;7;90;90;0;0;0;0;2023;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 10:19:43";="600100648";7;;4;4;12.5;76.5;91.5;25;0;0;0;2023;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 10:19:43";="600100648";99;;51;51;9.568627451;79.176470588;84;41.176470588;0;0;0;9999;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 13:05:29";="620000026";1;;4;4;18.25;78.25;77;25;0;0;0;2023;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:29";="620000026";2;;2;2;20;72;72;0;0;0;0;2023;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:29";="620000026";3;;1;1;13;86;86;0;0;0;0;2023;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:29";="620000026";4;;2;2;3.5;70;70;50;50;0;0;2023;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:29";="620000026";99;;9;9;14.777777778;75.888888889;75;22.222222222;11.111111111;0;0;9999;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:23:21";="590065223";99;;;;;;0;;;;;9999;2023.7;X590065223;29AUG23;13:23:00
"mco";"dgf";"2023";"7";"2023/08/29 14:21:24";="620003350";1;;36;36;13.361111111;84.777777778;87;27.777777778;0;0;16.666666667;2023;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:21:24";="620003350";2;;13;13;13.307692308;85.307692308;86;23.076923077;0;0;30.769230769;2023;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:21:24";="620003350";3;;27;27;7.6296296296;83.851851852;87;33.333333333;0;0;40.740740741;2023;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:21:24";="620003350";4;;39;39;9.3846153846;84.666666667;86;23.076923077;0;0;38.461538462;2023;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:21:24";="620003350";5;;34;34;11.029411765;82.617647059;85;32.352941176;0;0;14.705882353;2023;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:21:24";="620003350";6;;13;13;10.384615385;80.461538462;85;38.461538462;0;0;15.384615385;2023;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:21:24";="620003350";7;;1;1;5;98;98;100;0;0;0;2023;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:21:24";="620003350";99;;163;163;10.680981595;83.926380368;86;29.447852761;0;0;26.380368098;9999;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:23:25";="590000600";1;;9;9;16.666666667;89.444444444;87;0;0;0;0;2023;2023.7;X590000600;29AUG23;14:23:02
"mco";"dgf";"2023";"7";"2023/08/29 14:23:25";="590000600";2;;2;2;19.5;77;77;50;0;0;0;2023;2023.7;X590000600;29AUG23;14:23:02
"mco";"dgf";"2023";"7";"2023/08/29 14:23:25";="590000600";3;;5;5;9.8;76.4;79;60;0;0;0;2023;2023.7;X590000600;29AUG23;14:23:02
"mco";"dgf";"2023";"7";"2023/08/29 14:23:25";="590000600";4;;8;8;12.875;83.75;85.5;50;0;0;0;2023;2023.7;X590000600;29AUG23;14:23:02
"mco";"dgf";"2023";"7";"2023/08/29 14:23:25";="590000600";5;;5;5;22;77.8;80;40;0;0;0;2023;2023.7;X590000600;29AUG23;14:23:02
"mco";"dgf";"2023";"7";"2023/08/29 14:23:25";="590000600";6;;1;1;13;83;83;0;0;0;0;2023;2023.7;X590000600;29AUG23;14:23:02
"mco";"dgf";"2023";"7";"2023/08/29 14:23:25";="590000600";99;;30;30;15.466666667;82.766666667;84.5;33.333333333;0;0;0;9999;2023.7;X590000600;29AUG23;14:23:02
"mco";"dgf";"2023";"7";"2023/08/29 14:25:00";="620025346";1;;57;57;13.105263158;79.596491228;83;40.350877193;0;8.7719298246;7.0175438596;2023;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:25:00";="620025346";2;;13;13;6.8461538462;68.846153846;69;38.461538462;0;0;0;2023;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:25:00";="620025346";3;;27;27;5.3333333333;72.444444444;76;44.444444444;0;0;3.7037037037;2023;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:25:00";="620025346";4;;37;37;6.8918918919;74.972972973;81;40.540540541;0;0;2.7027027027;2023;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:25:00";="620025346";5;;16;16;8.1875;72.125;80;31.25;0;0;0;2023;2023.7;X620025346;29AUG23;14:24:34
