"champ";"statut";"annee";"periode";"date du resultat";"ipe";mois_e;semaine_e;ponder;ponder_cn;dms;moy_age;med_age;pct_homme;pct_rea;pct_si;pct_sc;annee_e;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/25 10:37:53";="620003376";3;;3;3;0;66.333333333;65;66.666666667;0;0;0;2023;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:53";="620003376";4;;3;3;4.6666666667;76.666666667;82;66.666666667;0;0;0;2023;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:53";="620003376";5;;10;10;1;70.7;77;40;0;0;0;2023;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:53";="620003376";6;;1;1;0;37;37;0;0;0;0;2023;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:53";="620003376";99;;66;66;7.3484848485;75.409090909;77.5;46.96969697;0;3.0303030303;7.5757575758;9999;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 12:05:56";="620101337";10;;1;1;76;63;63;0;100;0;100;2022;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:56";="620101337";11;;5;5;46.6;58.2;79;60;20;40;20;2022;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:56";="620101337";12;;35;35;16.942857143;73.257142857;83;57.142857143;5.7142857143;11.428571429;8.5714285714;2022;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:56";="620101337";1;;38;38;9.5789473684;65.72408075;75.5;50;2.6315789474;7.8947368421;2.6315789474;2023;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:56";="620101337";2;;17;17;7.2941176471;59.284770346;68;47.058823529;5.8823529412;11.764705882;11.764705882;2023;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:56";="620101337";3;;39;39;8;66.825992273;72;46.153846154;5.1282051282;10.256410256;2.5641025641;2023;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:56";="620101337";4;;50;50;11.46;63.489589041;75;52;4;12;4;2023;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:56";="620101337";5;;17;17;10.588235294;66.005962933;71;58.823529412;5.8823529412;17.647058824;5.8823529412;2023;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:56";="620101337";6;;9;9;11.444444444;68.466666667;77;66.666666667;11.111111111;22.222222222;11.111111111;2023;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:56";="620101337";7;;7;7;5;76.857142857;79;57.142857143;0;14.285714286;0;2023;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:56";="620101337";99;;218;218;11.894495413;66.423626995;75;52.293577982;5.504587156;12.385321101;5.9633027523;9999;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 14:46:57";="800000077";11;;1;1;39;69;69;100;0;0;0;2022;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/25 14:46:57";="800000077";12;;2;2;11.5;68;68;100;0;0;0;2022;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/25 14:46:57";="800000077";1;;3;3;9.6666666667;80.666666667;80;66.666666667;0;0;0;2023;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/25 14:46:57";="800000077";3;;1;1;8;80;80;0;0;0;0;2023;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/25 14:46:57";="800000077";4;;4;4;6.5;75.25;81.5;25;0;0;0;2023;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/25 14:46:57";="800000077";5;;4;4;10.5;84.5;84.5;75;0;0;0;2023;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/25 14:46:57";="800000077";99;;15;15;11.133333333;77.733333333;80;60;0;0;0;9999;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/28 12:10:07";="590782645";12;;7;7;20.142857143;86.571428571;85;28.571428571;0;0;0;2022;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 12:10:07";="590782645";1;;5;5;12.2;86.6;87;80;0;0;0;2023;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 12:10:07";="590782645";2;;3;3;33;86.666666667;90;66.666666667;0;0;0;2023;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 12:10:07";="590782645";3;;8;8;17.375;82.5;84;37.5;0;0;0;2023;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 12:10:07";="590782645";4;;8;8;16.125;81.125;83;62.5;0;0;0;2023;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 12:10:07";="590782645";5;;3;3;13.666666667;88.666666667;89;0;0;0;0;2023;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 12:10:07";="590782645";6;;2;2;14.5;87;87;50;0;0;0;2023;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 12:10:07";="590782645";99;;36;36;17.75;84.666666667;85.5;47.222222222;0;0;0;9999;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 12:51:31";="600100572";12;;1;1;3;91;91;0;0;0;0;2022;2023.7;X600100572;28AUG23;12:51:09
"mco";"dgf";"2023";"7";"2023/08/28 12:51:31";="600100572";1;;3;3;9;83.666666667;87;0;0;0;0;2023;2023.7;X600100572;28AUG23;12:51:09
"mco";"dgf";"2023";"7";"2023/08/28 12:51:31";="600100572";2;;2;2;9.5;67;67;100;0;0;0;2023;2023.7;X600100572;28AUG23;12:51:09
"mco";"dgf";"2023";"7";"2023/08/28 12:51:31";="600100572";3;;4;4;14.75;88.25;88;25;0;0;0;2023;2023.7;X600100572;28AUG23;12:51:09
"mco";"dgf";"2023";"7";"2023/08/28 12:51:31";="600100572";4;;1;1;27;92;92;0;0;0;0;2023;2023.7;X600100572;28AUG23;12:51:09
"mco";"dgf";"2023";"7";"2023/08/28 12:51:31";="600100572";6;;2;2;7.5;91;91;50;0;0;0;2023;2023.7;X600100572;28AUG23;12:51:09
"mco";"dgf";"2023";"7";"2023/08/28 12:51:31";="600100572";99;;13;13;11.538461538;84.846153846;89;30.769230769;0;0;0;9999;2023.7;X600100572;28AUG23;12:51:09
"mco";"dgf";"2023";"7";"2023/08/28 15:44:37";="020004495";11;;2;2;48.5;85;85;0;0;0;0;2022;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:44:37";="020004495";12;;10;10;24.6;81.8;85;40;0;0;0;2022;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:44:37";="020004495";1;;10;10;6.5;71.8;78.5;50;0;0;0;2023;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:44:37";="020004495";2;;9;9;33.333333333;75;81;22.222222222;0;0;0;2023;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:44:37";="020004495";3;;11;11;21.272727273;74;72;45.454545455;0;0;0;2023;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:44:37";="020004495";4;;12;12;9.5833333333;72.782876712;85;41.666666667;0;0;0;2023;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:44:37";="020004495";5;;4;4;6.5;80.25;82.5;50;0;0;0;2023;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:44:37";="020004495";6;;1;1;4;86;86;0;0;0;0;2023;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:44:37";="020004495";99;;59;59;18.423728814;75.854144416;81;38.983050847;0;0;0;9999;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/29 09:24:37";="020000055";12;;1;1;12;98;98;100;0;0;0;2022;2023.7;X020000055;29AUG23;9:24:09
"mco";"dgf";"2023";"7";"2023/08/29 09:24:37";="020000055";1;;4;4;11;86.25;86;25;0;0;0;2023;2023.7;X020000055;29AUG23;9:24:09
"mco";"dgf";"2023";"7";"2023/08/29 09:24:37";="020000055";3;;4;4;15;90.5;89;25;0;0;0;2023;2023.7;X020000055;29AUG23;9:24:09
"mco";"dgf";"2023";"7";"2023/08/29 09:24:37";="020000055";4;;3;3;11;88;87;66.666666667;0;0;0;2023;2023.7;X020000055;29AUG23;9:24:09
"mco";"dgf";"2023";"7";"2023/08/29 09:24:37";="020000055";5;;1;1;8;74;74;100;0;0;0;2023;2023.7;X020000055;29AUG23;9:24:09
"mco";"dgf";"2023";"7";"2023/08/29 09:24:37";="020000055";99;;13;13;12.076923077;87.923076923;87;46.153846154;0;0;0;9999;2023.7;X020000055;29AUG23;9:24:09
"mco";"dgf";"2023";"7";"2023/08/29 09:28:39";="590782652";12;;4;4;8.25;82.25;84;25;0;0;0;2022;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:28:39";="590782652";1;;21;21;5.619047619;67.666666667;73;66.666666667;0;0;0;2023;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:28:39";="590782652";2;;14;14;8.4285714286;77.785714286;87.5;35.714285714;0;0;0;2023;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:28:39";="590782652";3;;21;21;3.7142857143;68.238095238;73;47.619047619;0;0;0;2023;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:28:39";="590782652";4;;32;32;7.28125;79.40625;84.5;43.75;0;0;0;2023;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:28:39";="590782652";5;;12;12;3.25;80.333333333;80.5;41.666666667;0;0;0;2023;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:28:39";="590782652";6;;3;3;0.6666666667;70.666666667;72;33.333333333;0;0;0;2023;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:28:39";="590782652";7;;2;2;4.5;72;72;100;0;0;0;2023;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:28:39";="590782652";99;;109;109;5.7798165138;74.614678899;80;47.706422018;0;0;0;9999;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:48:52";="590780052";12;;2;2;14;84.5;84.5;0;0;0;0;2022;2023.7;X590780052;29AUG23;9:48:30
"mco";"dgf";"2023";"7";"2023/08/29 09:48:52";="590780052";1;;2;2;20;92.5;92.5;50;0;0;0;2023;2023.7;X590780052;29AUG23;9:48:30
"mco";"dgf";"2023";"7";"2023/08/29 09:48:52";="590780052";2;;3;3;12;89;86;33.333333333;0;0;0;2023;2023.7;X590780052;29AUG23;9:48:30
"mco";"dgf";"2023";"7";"2023/08/29 09:48:52";="590780052";3;;16;16;17;71.125;83.5;43.75;0;0;0;2023;2023.7;X590780052;29AUG23;9:48:30
"mco";"dgf";"2023";"7";"2023/08/29 09:48:52";="590780052";4;;5;5;16.4;87.2;87;20;0;0;0;2023;2023.7;X590780052;29AUG23;9:48:30
"mco";"dgf";"2023";"7";"2023/08/29 09:48:52";="590780052";6;;3;3;23.333333333;82;83;66.666666667;0;0;0;2023;2023.7;X590780052;29AUG23;9:48:30
"mco";"dgf";"2023";"7";"2023/08/29 09:48:52";="590780052";99;;31;31;17.032258065;78.741935484;86;38.709677419;0;0;0;9999;2023.7;X590780052;29AUG23;9:48:30
"mco";"dgf";"2023";"7";"2023/08/29 10:19:43";="600100648";12;;5;5;21.2;87.6;90;20;0;0;0;2022;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 10:19:43";="600100648";1;;8;8;6.75;69.375;72;50;0;0;0;2023;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 10:19:43";="600100648";2;;2;2;4;78;78;0;0;0;0;2023;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 10:19:43";="600100648";3;;14;14;10.357142857;83.571428571;85;42.857142857;0;0;0;2023;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 10:19:43";="600100648";4;;12;12;8.25;79.083333333;78;50;0;0;0;2023;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 10:19:43";="600100648";5;;5;5;3.8;74.8;84;60;0;0;0;2023;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 10:19:43";="600100648";6;;3;3;11.666666667;91;91;0;0;0;0;2023;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 10:19:43";="600100648";7;;2;2;11;61.5;61.5;50;0;0;0;2023;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 10:19:43";="600100648";99;;51;51;9.568627451;79.176470588;84;41.176470588;0;0;0;9999;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 13:05:29";="620000026";12;;3;3;26.666666667;80.666666667;83;0;0;0;0;2022;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:29";="620000026";1;;2;2;16;77;77;50;0;0;0;2023;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:29";="620000026";2;;1;1;1;61;61;0;0;0;0;2023;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:29";="620000026";3;;2;2;8.5;77.5;77.5;50;0;0;0;2023;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:29";="620000026";4;;1;1;3;71;71;0;100;0;0;2023;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:29";="620000026";99;;9;9;14.777777778;75.888888889;75;22.222222222;11.111111111;0;0;9999;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:23:21";="590065223";99;;;;;;0;;;;;9999;2023.7;X590065223;29AUG23;13:23:00
"mco";"dgf";"2023";"7";"2023/08/29 14:21:23";="620003350";12;;21;21;17.19047619;84;85;23.80952381;0;0;14.285714286;2022;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:21:23";="620003350";1;;22;22;11.636363636;85.909090909;88.5;27.272727273;0;0;22.727272727;2023;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:21:23";="620003350";2;;11;11;9.5454545455;86.727272727;88;36.363636364;0;0;27.272727273;2023;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:21:23";="620003350";3;;36;36;9.2777777778;84.305555556;86;30.555555556;0;0;38.888888889;2023;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:21:23";="620003350";4;;41;41;10;85.146341463;87;19.512195122;0;0;29.268292683;2023;2023.7;X620003350;29AUG23;14:20:57
