"champ";"statut";"annee";"periode";"date du resultat";"ipe";ghm;ghs;eff;nbj;nb0j;mnt_ghs_am;mnt_exinf_am;mnt_ghs50_am;mnt_exh_am;mnt_9615_am;mnt_rdth_am;mnt_rea_am;mnt_rep_am;mnt_si_am;mnt_sc_am;mnt_suppdia_am;mnt_nn1_am;mnt_nn2_am;mnt_nn3_am;mnt_caisson_am;mnt_ant_am;mnt_rap_am;mnt_sdc_am;mnt_ctc_am;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/25 12:07:10";="620101337";08M062;3047;1;3;0;3037.329828;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:07:10";="620101337";08M151;5532;1;1;0;266.826424;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:07:10";="620101337";08M231;3097;1;3;0;861.3605832;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:07:10";="620101337";08M29T;5544;1;1;0;314.601924;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:07:10";="620101337";08M36Z;5551;1;1;0;310.472448;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:07:10";="620101337";09C292;3632;1;3;0;3555.1901736;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:07:10";="620101337";09M021;5569;1;1;0;324.0475992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:07:10";="620101337";09M031;3520;1;1;0;692.348748;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:07:10";="620101337";09M031;5570;6;7;0;2236.5562752;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:07:10";="620101337";09M03T;5570;4;0;4;1491.0375168;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023.7;X620101337;25AUG23;12:05:23
