"champ";"statut";"annee";"periode";"date du resultat";"ipe";mois;nbatu;mnt_br;mnt_remb;nb_gyn;mnt_br_gyn;mnt_remb_gyn;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/30 08:07:13";="600100713";1;720;19450.89432;17300.489892;0;0;0;2023.7;X600100713;30AUG23;8:06:51
"mco";"dgf";"2023";"7";"2023/08/30 08:07:13";="600100713";2;606;16371.169386;14589.394525;0;0;0;2023.7;X600100713;30AUG23;8:06:51
"mco";"dgf";"2023";"7";"2023/08/30 08:07:13";="600100713";3;636;18123.099204;15917.552225;0;0;0;2023.7;X600100713;30AUG23;8:06:51
"mco";"dgf";"2023";"7";"2023/08/30 08:07:13";="600100713";4;646;18408.053594;16470.363742;0;0;0;2023.7;X600100713;30AUG23;8:06:51
"mco";"dgf";"2023";"7";"2023/08/30 08:07:13";="600100713";5;668;19034.953252;16927.669945;0;0;0;2023.7;X600100713;30AUG23;8:06:51
"mco";"dgf";"2023";"7";"2023/08/30 08:07:13";="600100713";6;745;21229.102055;19081.925134;0;0;0;2023.7;X600100713;30AUG23;8:06:51
"mco";"dgf";"2023";"7";"2023/08/30 08:07:13";="600100713";7;715;20374.238885;18145.895555;0;0;0;2023.7;X600100713;30AUG23;8:06:51
"mco";"dgf";"2023";"7";"2023/08/30 10:39:28";="590797353";1;586;15477.428538;13431.999753;0;0;0;2023.7;X590797353;30AUG23;10:39:02
"mco";"dgf";"2023";"7";"2023/08/30 10:39:28";="590797353";2;539;14224.437799;12197.45364;0;0;0;2023.7;X590797353;30AUG23;10:39:02
"mco";"dgf";"2023";"7";"2023/08/30 10:39:28";="590797353";3;642;17846.593527;15171.912505;0;0;0;2023.7;X590797353;30AUG23;10:39:02
"mco";"dgf";"2023";"7";"2023/08/30 10:39:28";="590797353";4;554;15403.068835;13342.159758;0;0;0;2023.7;X590797353;30AUG23;10:39:02
"mco";"dgf";"2023";"7";"2023/08/30 10:39:28";="590797353";5;711;19761.614145;17109.585179;0;0;0;2023.7;X590797353;30AUG23;10:39:02
"mco";"dgf";"2023";"7";"2023/08/30 10:39:28";="590797353";6;659;18315.504256;15859.436752;0;0;0;2023.7;X590797353;30AUG23;10:39:02
"mco";"dgf";"2023";"7";"2023/08/30 10:39:28";="590797353";7;656;18235.300174;15978.794649;0;0;0;2023.7;X590797353;30AUG23;10:39:02
"mco";"dgf";"2023";"7";"2023/08/30 14:08:20";="620101360";1;296;7996.478776;6580.8859116;0;0;0;2023.7;X620101360;30AUG23;14:08:01
"mco";"dgf";"2023";"7";"2023/08/30 14:08:20";="620101360";2;237;6402.586047;5251.7414664;0;0;0;2023.7;X620101360;30AUG23;14:08:01
"mco";"dgf";"2023";"7";"2023/08/30 14:08:20";="620101360";3;249;7095.364311;5790.2732048;0;0;0;2023.7;X620101360;30AUG23;14:08:01
"mco";"dgf";"2023";"7";"2023/08/30 14:08:20";="620101360";4;267;7608.282213;6263.2974922;0;0;0;2023.7;X620101360;30AUG23;14:08:01
"mco";"dgf";"2023";"7";"2023/08/30 14:08:20";="620101360";5;227;6468.464653;5300.151654;0;0;0;2023.7;X620101360;30AUG23;14:08:01
"mco";"dgf";"2023";"7";"2023/08/30 14:08:20";="620101360";6;108;3077.507412;2558.8904222;0;0;0;2023.7;X620101360;30AUG23;14:08:01
"mco";"dgf";"2023";"7";"2023/08/30 14:08:20";="620101360";7;27;769.376853;655.395097;0;0;0;2023.7;X620101360;30AUG23;14:08:01
"mco";"dgf";"2023";"7";"2023/08/30 14:17:44";="590782165";1;143;3863.163733;3149.9642746;0;0;0;2023.7;X590782165;30AUG23;14:17:25
"mco";"dgf";"2023";"7";"2023/08/30 14:17:44";="590782165";2;122;3295.845982;2701.5131;0;0;0;2023.7;X590782165;30AUG23;14:17:25
"mco";"dgf";"2023";"7";"2023/08/30 14:17:44";="590782165";3;157;4473.783923;3658.8143676;0;0;0;2023.7;X590782165;30AUG23;14:17:25
"mco";"dgf";"2023";"7";"2023/08/30 14:17:44";="590782165";4;137;3903.875143;3168.6928168;0;0;0;2023.7;X590782165;30AUG23;14:17:25
"mco";"dgf";"2023";"7";"2023/08/30 14:17:44";="590782165";5;141;4017.856899;3276.975485;0;0;0;2023.7;X590782165;30AUG23;14:17:25
"mco";"dgf";"2023";"7";"2023/08/30 14:17:44";="590782165";6;139;3960.866021;3254.1791338;0;0;0;2023.7;X590782165;30AUG23;14:17:25
"mco";"dgf";"2023";"7";"2023/08/30 14:17:44";="590782165";7;166;4730.242874;3886.7778796;0;0;0;2023.7;X590782165;30AUG23;14:17:25
"mco";"dgf";"2023";"7";"2023/08/30 15:54:20";="620100685";1;548;14804.291788;12271.496286;0;0;0;2023.7;X620100685;30AUG23;15:53:57
"mco";"dgf";"2023";"7";"2023/08/30 15:54:20";="620100685";2;544;14696.231264;12329.705788;0;0;0;2023.7;X620100685;30AUG23;15:53:57
"mco";"dgf";"2023";"7";"2023/08/30 15:54:20";="620100685";3;583;16612.840937;13871.579705;0;0;0;2023.7;X620100685;30AUG23;15:53:57
"mco";"dgf";"2023";"7";"2023/08/30 15:54:20";="620100685";4;501;14276.214939;11859.801712;0;0;0;2023.7;X620100685;30AUG23;15:53:57
"mco";"dgf";"2023";"7";"2023/08/30 15:54:20";="620100685";5;588;16755.318132;13734.801598;0;0;0;2023.7;X620100685;30AUG23;15:53:57
"mco";"dgf";"2023";"7";"2023/08/30 15:54:20";="620100685";6;560;15957.44584;13085.105589;0;0;0;2023.7;X620100685;30AUG23;15:53:57
"mco";"dgf";"2023";"7";"2023/08/30 15:54:20";="620100685";7;416;11854.102624;9830.926455;0;0;0;2023.7;X620100685;30AUG23;15:53:57
"mco";"dgf";"2023";"7";"2023/08/30 16:30:21";="620103440";1;179;4835.708449;4117.1059644;166;4484.511746;3782.11834;2023.7;X620103440;30AUG23;16:29:46
"mco";"dgf";"2023";"7";"2023/08/30 16:30:21";="620103440";2;169;4565.557139;3876.6712985;164;4430.481484;3757.8047221;2023.7;X620103440;30AUG23;16:29:46
"mco";"dgf";"2023";"7";"2023/08/30 16:30:21";="620103440";3;179;5100.683581;4262.9176744;167;4758.738313;3972.2641966;2023.7;X620103440;30AUG23;16:29:46
"mco";"dgf";"2023";"7";"2023/08/30 16:30:21";="620103440";4;173;4929.710947;4274.31585;162;4616.261118;4006.4587234;2023.7;X620103440;30AUG23;16:29:46
"mco";"dgf";"2023";"7";"2023/08/30 16:30:21";="620103440";5;182;5186.169898;4393.9966938;176;5015.197264;4245.820411;2023.7;X620103440;30AUG23;16:29:46
"mco";"dgf";"2023";"7";"2023/08/30 16:30:21";="620103440";6;173;4929.710947;4103.343216;170;4844.22463;4023.5559868;2023.7;X620103440;30AUG23;16:29:46
"mco";"dgf";"2023";"7";"2023/08/30 16:30:21";="620103440";7;183;5214.665337;4428.1912206;175;4986.701825;4228.7231476;2023.7;X620103440;30AUG23;16:29:46
"mco";"dgf";"2023";"7";"2023/08/30 17:55:25";="600100721";1;568;15344.594408;13696.671417;560;15128.47336;13502.162474;2023.7;X600100721;30AUG23;17:55:00
"mco";"dgf";"2023";"7";"2023/08/30 17:55:25";="600100721";2;507;13696.671417;12162.211976;493;13318.459583;11794.806195;2023.7;X600100721;30AUG23;17:55:00
"mco";"dgf";"2023";"7";"2023/08/30 17:55:25";="600100721";3;349;9944.908211;8842.1347217;338;9631.458382;8557.1803317;2023.7;X600100721;30AUG23;17:55:00
"mco";"dgf";"2023";"7";"2023/08/30 17:55:25";="600100721";4;402;11455.166478;10013.297265;387;11027.734893;9631.458382;2023.7;X600100721;30AUG23;17:55:00
"mco";"dgf";"2023";"7";"2023/08/30 17:55:25";="600100721";5;447;12737.461233;11272.795668;440;12537.99316;11090.424859;2023.7;X600100721;30AUG23;17:55:00
"mco";"dgf";"2023";"7";"2023/08/30 17:55:25";="600100721";6;402;11455.166478;10024.69544;386;10999.239454;9585.8656796;2023.7;X600100721;30AUG23;17:55:00
"mco";"dgf";"2023";"7";"2023/08/30 17:55:25";="600100721";7;400;11398.1756;10187.119443;393;11198.707527;9999.0495451;2023.7;X600100721;30AUG23;17:55:00
"mco";"dgf";"2023";"7";"2023/08/31 09:35:23";="590783239";1;39;1053.590109;880.6932706;0;0;0;2023.7;X590783239;31AUG23;9:35:03
"mco";"dgf";"2023";"7";"2023/08/31 09:35:23";="590783239";2;24;648.363144;540.30262;0;0;0;2023.7;X590783239;31AUG23;9:35:03
"mco";"dgf";"2023";"7";"2023/08/31 09:35:23";="590783239";3;24;683.890536;558.5106044;0;0;0;2023.7;X590783239;31AUG23;9:35:03
"mco";"dgf";"2023";"7";"2023/08/31 09:35:23";="590783239";4;15;427.431585;364.7416192;0;0;0;2023.7;X590783239;31AUG23;9:35:03
"mco";"dgf";"2023";"7";"2023/08/31 09:35:23";="590783239";5;6;170.972634;148.1762828;0;0;0;2023.7;X590783239;31AUG23;9:35:03
"mco";"dgf";"2023";"7";"2023/08/31 09:35:23";="590783239";6;5;142.477195;125.3799316;0;0;0;2023.7;X590783239;31AUG23;9:35:03
"mco";"dgf";"2023";"7";"2023/08/31 09:35:23";="590783239";7;4;113.981756;91.1854048;0;0;0;2023.7;X590783239;31AUG23;9:35:03
"mco";"dgf";"2023";"7";"2023/08/31 09:47:39";="590782215";1;428;11562.476068;9452.5943369;0;0;0;2023.7;X590782215;31AUG23;9:47:03
"mco";"dgf";"2023";"7";"2023/08/31 09:47:39";="590782215";2;390;10535.90109;8574.6025794;0;0;0;2023.7;X590782215;31AUG23;9:47:03
"mco";"dgf";"2023";"7";"2023/08/31 09:47:39";="590782215";3;206;5870.060434;4844.22463;0;0;0;2023.7;X590782215;31AUG23;9:47:03
"mco";"dgf";"2023";"7";"2023/08/31 09:47:39";="590782215";4;14;398.936146;321.9984607;0;0;0;2023.7;X590782215;31AUG23;9:47:03
"mco";"dgf";"2023";"7";"2023/08/31 09:47:39";="590782215";5;41;1168.312999;957.4467504;0;0;0;2023.7;X590782215;31AUG23;9:47:03
"mco";"dgf";"2023";"7";"2023/08/31 09:47:39";="590782215";6;388;11056.230332;9050.1514264;0;0;0;2023.7;X590782215;31AUG23;9:47:03
"mco";"dgf";"2023";"7";"2023/08/31 09:47:39";="590782215";7;420;11968.08438;9808.1301038;0;0;0;2023.7;X590782215;31AUG23;9:47:03
"mco";"dgf";"2023";"7";"2023/08/31 10:50:13";="590781415";1;216;5835.268296;4706.0358202;186;5024.814366;4057.6726762;2023.7;X590781415;31AUG23;10:49:44
"mco";"dgf";"2023";"7";"2023/08/31 10:50:13";="590781415";2;186;5024.814366;4046.8666238;165;4457.496615;3593.012423;2023.7;X590781415;31AUG23;10:49:44
"mco";"dgf";"2023";"7";"2023/08/31 10:50:13";="590781415";3;193;5499.619727;4445.288484;176;5015.197264;4052.0514258;2023.7;X590781415;31AUG23;10:49:44
"mco";"dgf";"2023";"7";"2023/08/31 10:50:13";="590781415";4;232;6610.941848;5351.4434442;207;5898.555873;4775.8355764;2023.7;X590781415;31AUG23;10:49:44
