"champ";"statut";"annee";"periode";"date du resultat";"ipe";mod_ent;tum1;eff;nbchir;chirurg0;nbmutrf;nbdom;nbdc;nb0j;nbj;agem;type;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/28 12:51:15";="600100572";URG;ZAUM;1;0;0;0;1;0;0;23;84;URG;2023.7;X600100572;28AUG23;12:51:09
"mco";"dgf";"2023";"7";"2023/08/28 15:44:21";="020004495";DOM;ZAUM;633;0;0;32;598;3;567;684;52.679928153;DOM;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:44:21";="020004495";TRMUT;ZAUM;71;0;0;30;30;11;6;876;72.563380282;TRMUT;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:44:21";="020004495";URG;ZAUM;1421;0;0;527;839;55;644;6128;64.079029817;URG;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/29 09:24:16";="020000055";DOM;ZAUM;153;0;0;65;79;9;1;1473;77.071895425;DOM;2023.7;X020000055;29AUG23;9:24:09
"mco";"dgf";"2023";"7";"2023/08/29 09:24:16";="020000055";TRMUT;ZAUM;108;0;0;74;21;13;0;1250;79.592592593;TRMUT;2023.7;X020000055;29AUG23;9:24:09
"mco";"dgf";"2023";"7";"2023/08/29 09:24:16";="020000055";URG;ZAUM;1;0;0;0;1;0;0;12;71;URG;2023.7;X020000055;29AUG23;9:24:09
"mco";"dgf";"2023";"7";"2023/08/29 09:28:21";="590782652";DOM;CA;1770;1545;1545;2;1768;0;1770;0;62.423728814;DOM;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:28:21";="590782652";DOM;HP;760;0;0;0;760;0;609;151;51.477631579;DOM;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:28:21";="590782652";DOM;UHCD;8;0;0;3;5;0;8;0;60.125;DOM;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:28:21";="590782652";DOM;ZAUM;755;219;115;56;687;12;276;3081;60.42384106;DOM;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:28:21";="590782652";TRMUT;CA;1;0;0;1;0;0;1;0;61;TRMUT;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:28:21";="590782652";TRMUT;ZAUM;69;2;1;28;31;10;2;532;73.637681159;TRMUT;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:28:21";="590782652";URG;CA;18;18;18;0;18;0;18;0;40.111111111;URG;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:28:21";="590782652";URG;UHCD;1844;0;0;591;1245;8;1267;577;54.717246605;URG;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:28:21";="590782652";URG;ZAUM;1015;110;34;215;730;70;10;6844;72.818719212;URG;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:48:37";="590780052";DOM;HP;925;0;0;0;925;0;925;0;48.904864865;DOM;2023.7;X590780052;29AUG23;9:48:30
"mco";"dgf";"2023";"7";"2023/08/29 09:48:37";="590780052";DOM;ZAUM;300;0;0;55;237;8;2;3649;64.89;DOM;2023.7;X590780052;29AUG23;9:48:30
"mco";"dgf";"2023";"7";"2023/08/29 09:48:37";="590780052";TRMUT;ZAUM;25;0;0;12;13;0;0;355;86.2;TRMUT;2023.7;X590780052;29AUG23;9:48:30
"mco";"dgf";"2023";"7";"2023/08/29 09:48:37";="590780052";URG;HP;2;0;0;0;2;0;2;0;51.5;URG;2023.7;X590780052;29AUG23;9:48:30
"mco";"dgf";"2023";"7";"2023/08/29 09:48:37";="590780052";URG;ZAUM;47;0;0;11;34;2;0;605;81.510638298;URG;2023.7;X590780052;29AUG23;9:48:30
"mco";"dgf";"2023";"7";"2023/08/29 10:19:19";="600100648";DOM;CA;543;293;293;3;540;0;520;30;47.418047882;DOM;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 10:19:19";="600100648";DOM;HP;521;0;0;0;521;0;520;2;54.917466411;DOM;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 10:19:19";="600100648";DOM;UHCD;105;0;0;31;70;4;28;211;58.695238095;DOM;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 10:19:19";="600100648";DOM;ZAUM;304;93;73;56;247;1;16;1789;60.282894737;DOM;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 10:19:19";="600100648";TRMUT;ZAUM;29;0;0;12;16;1;3;182;66.551724138;TRMUT;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 10:19:19";="600100648";URG;CA;7;4;4;0;7;0;6;1;37.285714286;URG;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 10:19:19";="600100648";URG;HP;1;0;0;0;1;0;1;0;79;URG;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 10:19:19";="600100648";URG;UHCD;955;7;0;328;590;37;193;2115;61.316230366;URG;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 10:19:19";="600100648";URG;ZAUM;750;194;48;196;518;36;12;5006;68.302666667;URG;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 13:05:10";="620000026";DOM;CA;2106;1594;1594;2;2104;0;2104;2;56.117714553;DOM;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:10";="620000026";DOM;HP;735;8;8;1;734;0;735;0;50.962877644;DOM;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:10";="620000026";DOM;REA;10;2;1;3;7;0;0;165;52.7;DOM;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:10";="620000026";DOM;ZAUM;2845;1681;1470;882;1960;3;18;8059;56.250642078;DOM;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:10";="620000026";TRMUT;CA;28;18;18;28;0;0;28;0;40.997945205;TRMUT;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:10";="620000026";TRMUT;HP;9;0;0;8;1;0;9;0;52.555555556;TRMUT;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:10";="620000026";TRMUT;REA;53;6;0;48;3;2;1;1821;52.132075472;TRMUT;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:10";="620000026";TRMUT;ZAUM;252;94;13;171;79;2;5;2282;62.464285714;TRMUT;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 14:21:05";="620003350";DOM;HP;437;0;0;0;437;0;437;0;77.729977117;DOM;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:21:05";="620003350";DOM;SC;130;0;0;25;91;14;6;942;76.453846154;DOM;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:21:05";="620003350";DOM;UHCD;516;0;0;89;421;6;511;22;52.889534884;DOM;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:21:05";="620003350";DOM;ZAUM;1143;2;0;200;906;37;3;5831;69.581802275;DOM;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:21:05";="620003350";TRMUT;HP;13;0;0;12;1;0;13;0;78;TRMUT;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:21:05";="620003350";TRMUT;SC;12;0;0;8;3;1;0;54;78.166666667;TRMUT;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:21:05";="620003350";TRMUT;UHCD;2;0;0;2;0;0;2;0;78;TRMUT;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:21:05";="620003350";TRMUT;ZAUM;393;1;0;125;226;42;3;4156;83.928753181;TRMUT;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:21:05";="620003350";URG;SC;59;0;0;17;31;11;1;435;76.118644068;URG;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:21:05";="620003350";URG;UHCD;178;0;0;34;141;3;177;22;55.994382022;URG;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:21:05";="620003350";URG;ZAUM;429;1;0;88;323;18;0;2637;72.118881119;URG;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:23:08";="590000600";DOM;HP;198;0;0;0;198;0;198;0;49.95959596;DOM;2023.7;X590000600;29AUG23;14:23:02
"mco";"dgf";"2023";"7";"2023/08/29 14:23:08";="590000600";DOM;ZAUM;190;0;0;16;167;7;4;1245;57.536842105;DOM;2023.7;X590000600;29AUG23;14:23:02
"mco";"dgf";"2023";"7";"2023/08/29 14:23:08";="590000600";TRMUT;ZAUM;408;0;0;73;306;29;1;4298;79.980392157;TRMUT;2023.7;X590000600;29AUG23;14:23:02
"mco";"dgf";"2023";"7";"2023/08/29 14:23:08";="590000600";URG;ZAUM;126;0;0;20;100;6;0;1375;78.26984127;URG;2023.7;X590000600;29AUG23;14:23:02
"mco";"dgf";"2023";"7";"2023/08/29 14:24:41";="620025346";DOM;CA;3331;1868;1868;1;3330;0;3331;0;56.210447313;DOM;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:24:41";="620025346";DOM;SC;7;1;0;1;6;0;0;81;64.714285714;DOM;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:24:41";="620025346";DOM;UHCD;116;13;2;25;83;8;23;657;68.862068966;DOM;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:24:41";="620025346";DOM;ZAUM;1627;690;529;93;1523;11;134;5132;61.145666872;DOM;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:24:41";="620025346";TRMUT;CA;12;0;0;7;5;0;12;0;76.5;TRMUT;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:24:41";="620025346";TRMUT;SC;6;0;0;3;3;0;0;61;71.166666667;TRMUT;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:24:41";="620025346";TRMUT;SI;1;0;0;0;1;0;0;10;52;TRMUT;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:24:41";="620025346";TRMUT;UHCD;2;0;0;2;0;0;2;0;59;TRMUT;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:24:41";="620025346";TRMUT;ZAUM;112;13;5;29;82;1;0;809;72.285714286;TRMUT;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:24:41";="620025346";URG;CA;56;32;32;0;56;0;56;0;39.660714286;URG;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:24:41";="620025346";URG;SC;23;1;1;5;15;3;0;232;69.565217391;URG;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:24:41";="620025346";URG;SI;5;0;0;1;4;0;0;106;73;URG;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:24:41";="620025346";URG;UHCD;919;61;19;222;647;50;220;5952;68.829162133;URG;2023.7;X620025346;29AUG23;14:24:34
