"champ";"statut";"annee";"periode";"date du resultat";"ipe";let_ghm;adnp_11;adnp_10;adnp_21;adnp_20;adnp_v1;adnp_v0;adnp_x1;adnp_x0;Total_Dans;Total_Hors;Total;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/29 14:50:51";="020000261";K;14;0;107;0;2;71;0;0;123;71;194;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:50:51";="020000261";M;110;0;147;4;6;1504;0;0;263;1508;1771;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:50:51";="020000261";Z;12;0;0;0;8;54;0;0;20;54;74;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 16:13:46";="620100651";C;0;0;126;9;4;170;0;0;130;179;309;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:13:46";="620100651";K;0;0;83;2;1;18;0;0;84;20;104;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:13:46";="620100651";M;0;0;277;162;12;2094;0;0;289;2256;2545;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:13:46";="620100651";Z;0;0;2;0;0;35;0;0;2;35;37;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/30 08:35:43";="590780284";C;10;27;117;74;232;166;0;0;359;267;626;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:35:43";="590780284";K;5;7;90;20;147;54;0;0;242;81;323;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:35:43";="590780284";M;12;102;121;374;250;1320;0;0;383;1796;2179;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:35:43";="590780284";Z;1;1;0;1;1;11;0;0;2;13;15;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:42:47";="020000287";C;11;0;12;0;0;10;0;0;23;10;33;2023.7;X020000287;30AUG23;8:42:17
"mco";"dgf";"2023";"7";"2023/08/30 08:42:47";="020000287";K;3;0;17;0;0;2;0;0;20;2;22;2023.7;X020000287;30AUG23;8:42:17
"mco";"dgf";"2023";"7";"2023/08/30 08:42:47";="020000287";M;73;1;71;5;3;967;0;0;147;973;1120;2023.7;X020000287;30AUG23;8:42:17
"mco";"dgf";"2023";"7";"2023/08/30 10:32:50";="590797353";C;4;7;25;23;75;78;0;0;104;108;212;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:32:50";="590797353";K;1;1;7;2;12;3;0;0;20;6;26;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:32:50";="590797353";M;23;90;132;201;279;952;0;0;434;1243;1677;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:32:50";="590797353";Z;7;4;7;9;16;33;0;0;30;46;76;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 11:29:30";="590782421";C;23;0;285;5;2;318;0;0;310;323;633;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 11:29:30";="590782421";K;7;0;108;2;1;76;0;0;116;78;194;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 11:29:30";="590782421";M;143;2;247;19;1;2420;0;0;391;2441;2832;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 11:29:30";="590782421";Z;2;0;8;41;0;25;0;0;10;66;76;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 12:11:49";="800000051";M;107;4;2;0;0;40;0;0;109;44;153;2023.7;X800000051;30AUG23;12:11:16
"mco";"dgf";"2023";"7";"2023/08/30 12:11:49";="800000051";Z;1;1;0;0;0;3;0;0;1;4;5;2023.7;X800000051;30AUG23;12:11:16
"mco";"dgf";"2023";"7";"2023/08/30 13:42:11";="800000135";M;20;0;7;3;0;44;0;0;27;47;74;2023.7;X800000135;30AUG23;13:41:48
"mco";"dgf";"2023";"7";"2023/08/30 13:42:11";="800000135";Z;5;0;2;0;0;37;0;0;7;37;44;2023.7;X800000135;30AUG23;13:41:48
"mco";"dgf";"2023";"7";"2023/08/30 14:11:21";="590782165";C;0;0;148;37;0;104;0;0;148;141;289;2023.7;X590782165;30AUG23;14:10:49
"mco";"dgf";"2023";"7";"2023/08/30 14:11:21";="590782165";K;0;0;22;2;0;5;0;0;22;7;29;2023.7;X590782165;30AUG23;14:10:49
"mco";"dgf";"2023";"7";"2023/08/30 14:11:21";="590782165";M;21;2;173;161;0;907;0;0;194;1070;1264;2023.7;X590782165;30AUG23;14:10:49
"mco";"dgf";"2023";"7";"2023/08/30 14:11:21";="590782165";Z;0;0;1;2;0;12;0;0;1;14;15;2023.7;X590782165;30AUG23;14:10:49
"mco";"dgf";"2023";"7";"2023/08/30 14:39:21";="620101360";C;8;0;115;1;1;183;0;0;124;184;308;2023.7;X620101360;30AUG23;14:38:44
"mco";"dgf";"2023";"7";"2023/08/30 14:39:21";="620101360";K;3;0;11;0;0;2;0;0;14;2;16;2023.7;X620101360;30AUG23;14:38:44
"mco";"dgf";"2023";"7";"2023/08/30 14:39:21";="620101360";M;34;1;137;4;10;1612;0;0;181;1617;1798;2023.7;X620101360;30AUG23;14:38:44
"mco";"dgf";"2023";"7";"2023/08/30 14:39:21";="620101360";Z;3;0;3;0;9;40;0;0;15;40;55;2023.7;X620101360;30AUG23;14:38:44
"mco";"dgf";"2023";"7";"2023/08/30 14:55:59";="590781662";C;1;0;24;0;0;45;0;0;25;45;70;2023.7;X590781662;30AUG23;14:55:22
"mco";"dgf";"2023";"7";"2023/08/30 14:55:59";="590781662";K;0;0;5;0;0;1;0;0;5;1;6;2023.7;X590781662;30AUG23;14:55:22
"mco";"dgf";"2023";"7";"2023/08/30 14:55:59";="590781662";M;8;0;3;0;0;566;0;0;11;566;577;2023.7;X590781662;30AUG23;14:55:22
