"champ";"statut";"annee";"periode";"date du resultat";"ipe";code;mois;nb;mnt_br;mnt_remb;nb_fides;mnt_br_fides;mnt_remb_fides;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/10 13:22:54";="590780227";SB2;6;341;17820.66;17820.66;0;0;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:54";="590780227";SB2;7;341;17820.66;17820.66;0;0;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:54";="590780227";SB3;1;386;20948.22;20948.22;0;0;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:54";="590780227";SB3;2;326;17692.02;17692.02;0;0;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:54";="590780227";SB3;3;377;20682.22;20682.22;0;0;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:54";="590780227";SB3;4;354;19420.44;19420.44;0;0;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:54";="590780227";SB3;5;406;22273.16;22273.16;0;0;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:54";="590780227";SB3;6;391;21450.26;21450.26;0;0;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:54";="590780227";SB3;7;366;20078.76;20078.76;0;0;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:54";="590780227";SIC;1;154;8235.92;8235.92;0;0;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:54";="590780227";SIC;2;133;7112.84;7112.84;0;0;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:54";="590780227";SIC;3;142;7660.9;7660.9;0;0;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:54";="590780227";SIC;4;141;7606.95;7606.95;0;0;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:54";="590780227";SIC;5;157;8470.15;8470.15;0;0;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:54";="590780227";SIC;6;133;7175.35;7175.35;0;0;0;2023.7;X590780227;10AUG23;13:22:39
