"champ";"statut";"annee";"periode";"date du resultat";"ipe";cretc;COUNT;PERCENT;pctcum;effcum;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/30 10:33:22";="590797353";000000010;2;0.0063832504;98.659517426;30912;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:33:22";="590797353";000000011;1;0.0031916252;98.662709051;30913;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:33:22";="590797353";100000000;102;0.3255457679;98.988254819;31015;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:33:22";="590797353";200000000;294;0.9383378016;99.926592621;31309;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:33:22";="590797353";200000010;1;0.0031916252;99.929784246;31310;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:33:22";="590797353";300000000;9;0.0287246266;99.958508873;31319;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:33:22";="590797353";999910011;13;0.0414911273;100;31332;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 11:30:06";="590782421";000000000;42949;98.586020888;98.586020888;42949;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 11:30:06";="590782421";000000010;354;0.8125789051;99.398599793;43303;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 11:30:06";="590782421";200000000;260;0.5968093653;99.995409159;43563;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 11:30:06";="590782421";999910011;2;0.0045908413;100;43565;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 12:12:14";="800000051";000000000;535;100;100;535;2023.7;X800000051;30AUG23;12:11:16
"mco";"dgf";"2023";"7";"2023/08/30 13:42:30";="800000135";000000000;190;100;100;190;2023.7;X800000135;30AUG23;13:41:48
"mco";"dgf";"2023";"7";"2023/08/30 14:11:49";="590782165";000000000;11854;99.688840299;99.688840299;11854;2023.7;X590782165;30AUG23;14:10:49
