"champ";"statut";"annee";"periode";"date du resultat";"ipe";contrat;COUNT;PERCENT;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/30 16:33:50";="590781795";Non renseigné;866;99.884659746;2023.7;X590781795;30AUG23;16:33:32
"mco";"dgf";"2023";"7";"2023/08/30 16:33:50";="590781795";89 : Bénéficiaire de la CMU complémentaire (en cours);1;0.1153402537;2023.7;X590781795;30AUG23;16:33:32
"mco";"dgf";"2023";"7";"2023/08/31 09:36:46";="620100677";Non renseigné;3232;99.907264297;2023.7;X620100677;31AUG23;9:36:32
"mco";"dgf";"2023";"7";"2023/08/31 09:36:46";="620100677";89 : Bénéficiaire de la CMU complémentaire (en cours);3;0.0927357032;2023.7;X620100677;31AUG23;9:36:32
"mco";"dgf";"2023";"7";"2023/08/31 10:37:20";="590781415";Non renseigné;30008;88.981141027;2023.7;X590781415;31AUG23;10:37:00
"mco";"dgf";"2023";"7";"2023/08/31 10:37:20";="590781415";89 : Bénéficiaire de la CMU complémentaire (en cours);3682;10.918040565;2023.7;X590781415;31AUG23;10:37:00
"mco";"dgf";"2023";"7";"2023/08/31 10:37:20";="590781415";XX;34;0.1008184083;2023.7;X590781415;31AUG23;10:37:00
"mco";"dgf";"2023";"7";"2023/08/31 10:38:21";="620103440";Non renseigné;43461;92.7840994;2023.7;X620103440;31AUG23;10:37:57
"mco";"dgf";"2023";"7";"2023/08/31 10:38:21";="620103440";89 : Bénéficiaire de la CMU complémentaire (en cours);3380;7.2159005999;2023.7;X620103440;31AUG23;10:37:57
"mco";"dgf";"2023";"7";"2023/08/31 11:13:22";="800000085";Non renseigné;1493;99.400798935;2023.7;X800000085;31AUG23;11:13:08
"mco";"dgf";"2023";"7";"2023/08/31 11:13:22";="800000085";89 : Bénéficiaire de la CMU complémentaire (en cours);6;0.3994673768;2023.7;X800000085;31AUG23;11:13:08
"mco";"dgf";"2023";"7";"2023/08/31 11:13:22";="800000085";XX;3;0.1997336884;2023.7;X800000085;31AUG23;11:13:08
"mco";"dgf";"2023";"7";"2023/08/31 11:46:49";="590780193";Non renseigné;120493;90.601009076;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:46:49";="590780193";89 : Bénéficiaire de la CMU complémentaire (en cours);12354;9.2892107103;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:46:49";="590780193";XX;146;0.109780214;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 12:24:56";="020004404";Non renseigné;9146;99.197396963;2023.7;X020004404;31AUG23;12:24:34
"mco";"dgf";"2023";"7";"2023/08/31 12:24:56";="020004404";89 : Bénéficiaire de la CMU complémentaire (en cours);73;0.7917570499;2023.7;X020004404;31AUG23;12:24:34
"mco";"dgf";"2023";"7";"2023/08/31 12:24:56";="020004404";XX;1;0.010845987;2023.7;X020004404;31AUG23;12:24:34
"mco";"dgf";"2023";"7";"2023/08/31 14:25:30";="590781605";Non renseigné;14166;99.950610315;2023.7;X590781605;31AUG23;14:25:07
"mco";"dgf";"2023";"7";"2023/08/31 14:25:30";="590781605";89 : Bénéficiaire de la CMU complémentaire (en cours);6;0.0423340154;2023.7;X590781605;31AUG23;14:25:07
