"champ";"statut";"annee";"periode";"date du resultat";"ipe";lib;code_;nb;pb_taux;pb_remb;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/28 12:52:15";="590782421";7;CFU;5320;0;17;2023.7;X590782421;28AUG23;12:51:57
"mco";"dgf";"2023";"7";"2023/08/28 12:52:15";="590782421";7;FU1;11006;0;26;2023.7;X590782421;28AUG23;12:51:57
"mco";"dgf";"2023";"7";"2023/08/28 12:52:15";="590782421";7;FU2;9712;0;3;2023.7;X590782421;28AUG23;12:51:57
"mco";"dgf";"2023";"7";"2023/08/28 12:52:15";="590782421";7;FU3;5619;0;1;2023.7;X590782421;28AUG23;12:51:57
"mco";"dgf";"2023";"7";"2023/08/28 12:52:15";="590782421";7;FU4;1893;0;1;2023.7;X590782421;28AUG23;12:51:57
"mco";"dgf";"2023";"7";"2023/08/28 12:52:15";="590782421";7;SIC;1347;0;2;2023.7;X590782421;28AUG23;12:51:57
"mco";"dgf";"2023";"7";"2023/08/28 12:52:15";="590782421";7;SIM;7666;0;4;2023.7;X590782421;28AUG23;12:51:57
"mco";"dgf";"2023";"7";"2023/08/28 12:52:15";="590782421";7;SSN;3484;0;1;2023.7;X590782421;28AUG23;12:51:57
"mco";"dgf";"2023";"7";"2023/08/28 12:52:15";="590782421";7;SUF;7735;0;3;2023.7;X590782421;28AUG23;12:51:57
"mco";"dgf";"2023";"7";"2023/08/28 12:52:15";="590782421";7;SUM;4707;0;3;2023.7;X590782421;28AUG23;12:51:57
"mco";"dgf";"2023";"7";"2023/08/28 12:52:15";="590782421";7;SUN;6239;0;2;2023.7;X590782421;28AUG23;12:51:57
"mco";"dgf";"2023";"7";"2023/08/28 14:31:06";="020000063";1;AATU;2515;1;0;2023.7;X020000063;28AUG23;14:30:50
"mco";"dgf";"2023";"7";"2023/08/28 14:31:06";="020000063";2;ASE;3029;13;0;2023.7;X020000063;28AUG23;14:30:50
"mco";"dgf";"2023";"7";"2023/08/28 14:31:06";="020000063";2;SE1;381;0;4;2023.7;X020000063;28AUG23;14:30:50
"mco";"dgf";"2023";"7";"2023/08/28 14:31:06";="020000063";2;SE2;1090;1;10;2023.7;X020000063;28AUG23;14:30:50
"mco";"dgf";"2023";"7";"2023/08/28 14:31:06";="020000063";2;SE3;65;1;0;2023.7;X020000063;28AUG23;14:30:50
"mco";"dgf";"2023";"7";"2023/08/28 14:31:06";="020000063";2;SE5;136;0;12;2023.7;X020000063;28AUG23;14:30:50
"mco";"dgf";"2023";"7";"2023/08/28 14:31:06";="020000063";2;SE7;21;0;1;2023.7;X020000063;28AUG23;14:30:50
"mco";"dgf";"2023";"7";"2023/08/28 14:31:06";="020000063";7;AURG;2151;3;0;2023.7;X020000063;28AUG23;14:30:50
"mco";"dgf";"2023";"7";"2023/08/28 14:31:06";="020000063";7;SU2;180;2;0;2023.7;X020000063;28AUG23;14:30:50
"mco";"dgf";"2023";"7";"2023/08/28 15:42:14";="020004495";2;ASE;66;2;0;2023.7;X020004495;28AUG23;15:42:08
"mco";"dgf";"2023";"7";"2023/08/28 15:42:14";="020004495";7;AURG;309;2;0;2023.7;X020004495;28AUG23;15:42:08
"mco";"dgf";"2023";"7";"2023/08/28 15:42:14";="020004495";7;CFU;1157;0;2;2023.7;X020004495;28AUG23;15:42:08
"mco";"dgf";"2023";"7";"2023/08/28 15:42:14";="020004495";7;FU1;1210;0;2;2023.7;X020004495;28AUG23;15:42:08
"mco";"dgf";"2023";"7";"2023/08/28 15:42:14";="020004495";7;SUF;1315;0;1;2023.7;X020004495;28AUG23;15:42:08
"mco";"dgf";"2023";"7";"2023/08/29 09:49:29";="590782652";1;AATU;1656;5;3;2023.7;X590782652;29AUG23;9:49:22
"mco";"dgf";"2023";"7";"2023/08/29 09:49:29";="590782652";1;ATU;906;4;1;2023.7;X590782652;29AUG23;9:49:22
"mco";"dgf";"2023";"7";"2023/08/29 09:49:29";="590782652";2;ASE;2468;7;0;2023.7;X590782652;29AUG23;9:49:22
"mco";"dgf";"2023";"7";"2023/08/29 09:49:29";="590782652";2;SE2;1734;4;0;2023.7;X590782652;29AUG23;9:49:22
"mco";"dgf";"2023";"7";"2023/08/29 09:49:29";="590782652";2;SE4;241;2;0;2023.7;X590782652;29AUG23;9:49:22
"mco";"dgf";"2023";"7";"2023/08/29 09:49:29";="590782652";7;FU2;3095;0;2;2023.7;X590782652;29AUG23;9:49:22
"mco";"dgf";"2023";"7";"2023/08/29 09:49:29";="590782652";7;SIM;3278;0;2;2023.7;X590782652;29AUG23;9:49:22
"mco";"dgf";"2023";"7";"2023/08/29 09:49:29";="590782652";7;SUM;1219;0;1;2023.7;X590782652;29AUG23;9:49:22
"mco";"dgf";"2023";"7";"2023/08/29 11:59:16";="020000261";1;AATU;2183;1;11;2023.7;X020000261;29AUG23;11:59:04
"mco";"dgf";"2023";"7";"2023/08/29 11:59:16";="020000261";1;ATU;1448;1;0;2023.7;X020000261;29AUG23;11:59:04
"mco";"dgf";"2023";"7";"2023/08/29 11:59:16";="020000261";7;FU1;6805;0;1;2023.7;X020000261;29AUG23;11:59:04
"mco";"dgf";"2023";"7";"2023/08/29 11:59:16";="020000261";7;FU2;5924;0;1;2023.7;X020000261;29AUG23;11:59:04
"mco";"dgf";"2023";"7";"2023/08/29 11:59:16";="020000261";7;SIM;4758;0;1;2023.7;X020000261;29AUG23;11:59:04
"mco";"dgf";"2023";"7";"2023/08/29 14:32:39";="620003350";2;SE1;771;0;1;2023.7;X620003350;29AUG23;14:32:33
"mco";"dgf";"2023";"7";"2023/08/29 14:32:39";="620003350";7;CFU;1728;1;0;2023.7;X620003350;29AUG23;14:32:33
"mco";"dgf";"2023";"7";"2023/08/29 14:32:39";="620003350";7;FU1;1677;3;0;2023.7;X620003350;29AUG23;14:32:33
"mco";"dgf";"2023";"7";"2023/08/29 15:41:11";="590001749";2;ASE;1250;6;0;2023.7;X590001749;29AUG23;15:40:58
"mco";"dgf";"2023";"7";"2023/08/29 15:41:11";="590001749";2;SE1;1052;5;0;2023.7;X590001749;29AUG23;15:40:58
"mco";"dgf";"2023";"7";"2023/08/29 15:41:11";="590001749";2;SE4;195;2;0;2023.7;X590001749;29AUG23;15:40:58
"mco";"dgf";"2023";"7";"2023/08/29 15:41:11";="590001749";7;AURG;457;0;133;2023.7;X590001749;29AUG23;15:40:58
"mco";"dgf";"2023";"7";"2023/08/29 15:41:11";="590001749";7;FPX;157;0;156;2023.7;X590001749;29AUG23;15:40:58
"mco";"dgf";"2023";"7";"2023/08/29 15:58:08";="620025346";2;ASE;814;1;0;2023.7;X620025346;29AUG23;15:57:59
"mco";"dgf";"2023";"7";"2023/08/29 15:58:08";="620025346";2;SE1;420;1;1;2023.7;X620025346;29AUG23;15:57:59
"mco";"dgf";"2023";"7";"2023/08/29 15:58:08";="620025346";2;SE6;68;0;2;2023.7;X620025346;29AUG23;15:57:59
"mco";"dgf";"2023";"7";"2023/08/29 16:28:00";="620100651";1;AATU;2717;0;5;2023.7;X620100651;29AUG23;16:27:45
"mco";"dgf";"2023";"7";"2023/08/29 16:28:00";="620100651";1;ATU;1414;0;2;2023.7;X620100651;29AUG23;16:27:45
"mco";"dgf";"2023";"7";"2023/08/29 16:28:00";="620100651";2;ASE;2295;7;0;2023.7;X620100651;29AUG23;16:27:45
"mco";"dgf";"2023";"7";"2023/08/29 16:28:00";="620100651";7;CFU;3643;0;6;2023.7;X620100651;29AUG23;16:27:45
"mco";"dgf";"2023";"7";"2023/08/29 16:28:00";="620100651";7;FPX;928;0;1;2023.7;X620100651;29AUG23;16:27:45
"mco";"dgf";"2023";"7";"2023/08/29 16:28:00";="620100651";7;FU1;4742;0;1;2023.7;X620100651;29AUG23;16:27:45
"mco";"dgf";"2023";"7";"2023/08/29 16:28:00";="620100651";7;FU2;6507;0;3;2023.7;X620100651;29AUG23;16:27:45
"mco";"dgf";"2023";"7";"2023/08/29 16:28:00";="620100651";7;PE2;986;0;1;2023.7;X620100651;29AUG23;16:27:45
"mco";"dgf";"2023";"7";"2023/08/29 16:28:00";="620100651";7;SIM;5765;0;2;2023.7;X620100651;29AUG23;16:27:45
"mco";"dgf";"2023";"7";"2023/08/29 16:28:00";="620100651";7;SUN;3033;0;1;2023.7;X620100651;29AUG23;16:27:45
"mco";"dgf";"2023";"7";"2023/08/30 08:07:07";="600100713";1;AATU;10562;23;0;2023.7;X600100713;30AUG23;8:06:51
"mco";"dgf";"2023";"7";"2023/08/30 08:07:07";="600100713";1;ATU;4737;2;0;2023.7;X600100713;30AUG23;8:06:51
"mco";"dgf";"2023";"7";"2023/08/30 08:07:07";="600100713";2;ASE;1147;1;0;2023.7;X600100713;30AUG23;8:06:51
"mco";"dgf";"2023";"7";"2023/08/30 08:07:07";="600100713";2;SE1;505;1;0;2023.7;X600100713;30AUG23;8:06:51
"mco";"dgf";"2023";"7";"2023/08/30 08:07:07";="600100713";2;SE2;171;0;2;2023.7;X600100713;30AUG23;8:06:51
