"champ";"statut";"annee";"periode";"date du resultat";"ipe";code;pu;nb;mnt_br;mnt_remb;nb_fides;mnt_br_fides;mnt_remb_fides;spec_fx;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/25 11:33:18";="600100648";B;0.27;12820;3461.4;2420.8335;12602;3402.54;2371.4775;0;2023.7;X600100648;25AUG23;11:32:38
"mco";"dgf";"2023";"7";"2023/08/25 11:33:18";="600100648";C;23;2222;51106;38903.35;2222;51106;38903.35;0;2023.7;X600100648;25AUG23;11:32:38
"mco";"dgf";"2023";"7";"2023/08/25 11:33:18";="600100648";CCP;46;29;1334;1334;29;1334;1334;0;2023.7;X600100648;25AUG23;11:32:38
"mco";"dgf";"2023";"7";"2023/08/25 11:33:18";="600100648";COE;46;128;5888;5888;128;5888;5888;0;2023.7;X600100648;25AUG23;11:32:38
"mco";"dgf";"2023";"7";"2023/08/25 11:33:18";="600100648";CS;23;5156;118588;88571.85;5156;118588;88571.85;0;2023.7;X600100648;25AUG23;11:32:38
"mco";"dgf";"2023";"7";"2023/08/25 11:33:18";="600100648";CS  N;23;1;48.15;48.15;1;48.15;48.15;0;2023.7;X600100648;25AUG23;11:32:38
"mco";"dgf";"2023";"7";"2023/08/25 11:33:18";="600100648";CSC;47.73;191;9116.43;7498.383;191;9116.43;7498.383;0;2023.7;X600100648;25AUG23;11:32:38
"mco";"dgf";"2023";"7";"2023/08/25 11:33:18";="600100648";FSD;40;48;1920;1436;48;1920;1436;0;2023.7;X600100648;25AUG23;11:32:38
"mco";"dgf";"2023";"7";"2023/08/25 11:33:18";="600100648";G;25;1186;29650;22940.9775;1186;29650;22940.9775;0;2023.7;X600100648;25AUG23;11:32:38
"mco";"dgf";"2023";"7";"2023/08/25 11:33:18";="600100648";G   F;25;6;264.36;211.488;6;264.36;211.488;0;2023.7;X600100648;25AUG23;11:32:38
"mco";"dgf";"2023";"7";"2023/08/25 11:33:18";="600100648";GS;25;31;775;557.5;31;775;557.5;0;2023.7;X600100648;25AUG23;11:32:38
"mco";"dgf";"2023";"7";"2023/08/25 11:33:18";="600100648";MCC;3.27;190;621.3;511.428;190;621.3;511.428;0;2023.7;X600100648;25AUG23;11:32:38
"mco";"dgf";"2023";"7";"2023/08/25 11:33:18";="600100648";MCG;5;396;1980;1537.75;396;1980;1537.75;0;2023.7;X600100648;25AUG23;11:32:38
"mco";"dgf";"2023";"7";"2023/08/25 11:33:18";="600100648";MCS;5;3486;17430;13240.5;3486;17430;13240.5;0;2023.7;X600100648;25AUG23;11:32:38
"mco";"dgf";"2023";"7";"2023/08/25 11:33:18";="600100648";MEG;5;34;170;120.75;34;170;120.75;0;2023.7;X600100648;25AUG23;11:32:38
"mco";"dgf";"2023";"7";"2023/08/25 11:33:18";="600100648";MOP;5;630;3150;3150;630;3150;3150;0;2023.7;X600100648;25AUG23;11:32:38
"mco";"dgf";"2023";"7";"2023/08/25 11:33:18";="600100648";MPC;2;5184;10368;7744.7;5184;10368;7744.7;0;2023.7;X600100648;25AUG23;11:32:38
"mco";"dgf";"2023";"7";"2023/08/25 11:33:18";="600100648";MSF;2;1896;3792;2880.1;1896;3792;2880.1;0;2023.7;X600100648;25AUG23;11:32:38
"mco";"dgf";"2023";"7";"2023/08/25 11:33:18";="600100648";SF;2.8;10331.35;28927.78;23860.606;10331.35;28927.78;23860.606;0;2023.7;X600100648;25AUG23;11:32:38
"mco";"dgf";"2023";"7";"2023/08/25 11:33:18";="600100648";SFI;2.18;213.5;465.43;400.03;213.5;465.43;400.03;0;2023.7;X600100648;25AUG23;11:32:38
"mco";"dgf";"2023";"7";"2023/08/25 11:33:18";="600100648";TC;23;48;1104;848.7;48;1104;848.7;0;2023.7;X600100648;25AUG23;11:32:38
"mco";"dgf";"2023";"7";"2023/08/25 11:33:18";="600100648";TMF;-24;56;-1344;-1344;21;-504;-504;0;2023.7;X600100648;25AUG23;11:32:38
"mco";"dgf";"2023";"7";"2023/08/25 12:07:06";="620101337";AMC;2.15;310;666.5;666.5;310;666.5;666.5;0;2023.7;X620101337;25AUG23;12:06:41
"mco";"dgf";"2023";"7";"2023/08/25 12:07:06";="620101337";AMI;3.15;29766.1;93763.215;72266.174977;29766.1;93763.215;72266.174977;0;2023.7;X620101337;25AUG23;12:06:41
"mco";"dgf";"2023";"7";"2023/08/25 12:07:06";="620101337";APC;55;7244;398420;324048.901;7243;398365;324004.901;0;2023.7;X620101337;25AUG23;12:06:41
"mco";"dgf";"2023";"7";"2023/08/25 12:07:06";="620101337";APU;69;395;27255;23473.8;395;27255;23473.8;0;2023.7;X620101337;25AUG23;12:06:41
"mco";"dgf";"2023";"7";"2023/08/25 12:07:06";="620101337";B;0.26;2329178;605586.28;529036.03282;2202637;572685.62;500967.08282;0;2023.7;X620101337;25AUG23;12:06:41
"mco";"dgf";"2023";"7";"2023/08/25 12:07:06";="620101337";B;0.27;395272;106723.44;90184.4145;372328;100528.56;84985.8885;0;2023.7;X620101337;25AUG23;12:06:41
"mco";"dgf";"2023";"7";"2023/08/25 12:07:06";="620101337";C;23;3821;87883;78932.55;3801;87423;78546.15;0;2023.7;X620101337;25AUG23;12:06:41
"mco";"dgf";"2023";"7";"2023/08/25 12:07:06";="620101337";C   F;23;152;6688;6353.6;129;5676;5491.2;0;2023.7;X620101337;25AUG23;12:06:41
"mco";"dgf";"2023";"7";"2023/08/25 12:07:06";="620101337";C   N;23;81;4698;4425.4;60;3480;3427.8;0;2023.7;X620101337;25AUG23;12:06:41
"mco";"dgf";"2023";"7";"2023/08/25 12:07:06";="620101337";CCE;60;172;10320;9294;172;10320;9294;0;2023.7;X620101337;25AUG23;12:06:41
"mco";"dgf";"2023";"7";"2023/08/25 12:07:06";="620101337";CCP;46;5;230;230;5;230;230;0;2023.7;X620101337;25AUG23;12:06:41
"mco";"dgf";"2023";"7";"2023/08/25 12:07:06";="620101337";CCX;46;1;46;32.2;1;46;32.2;0;2023.7;X620101337;25AUG23;12:06:41
"mco";"dgf";"2023";"7";"2023/08/25 12:07:06";="620101337";CDE;46;114;5244;4321.7;114;5244;4321.7;0;2023.7;X620101337;25AUG23;12:06:41
"mco";"dgf";"2023";"7";"2023/08/25 12:07:06";="620101337";CNP;42.5;1637;69572.5;61718.18975;1636;69530;61675.68975;0;2023.7;X620101337;25AUG23;12:06:41
"mco";"dgf";"2023";"7";"2023/08/25 12:07:06";="620101337";COE;46;3;138;138;3;138;138;0;2023.7;X620101337;25AUG23;12:06:41
"mco";"dgf";"2023";"7";"2023/08/25 12:07:06";="620101337";CS;23;26149;601427;483892.4276;25933;596459;479816.8276;2;2023.7;X620101337;25AUG23;12:06:41
"mco";"dgf";"2023";"7";"2023/08/25 12:07:06";="620101337";CS  F;23;159;6687.54;5564.538;64;2691.84;2300.682;0;2023.7;X620101337;25AUG23;12:06:41
"mco";"dgf";"2023";"7";"2023/08/25 12:07:06";="620101337";CS  N;23;195;9418.8;7792.095;21;1040.7;930.72;0;2023.7;X620101337;25AUG23;12:06:41
"mco";"dgf";"2023";"7";"2023/08/25 12:07:06";="620101337";CSC;47.73;537;25631.01;22275.591;537;25631.01;22275.591;0;2023.7;X620101337;25AUG23;12:06:41
"mco";"dgf";"2023";"7";"2023/08/25 12:07:06";="620101337";FSD;40;147;5880;4532;147;5880;4532;0;2023.7;X620101337;25AUG23;12:06:41
"mco";"dgf";"2023";"7";"2023/08/25 12:07:06";="620101337";G;25;893;22325;18332.5;885;22125;18172.5;0;2023.7;X620101337;25AUG23;12:06:41
"mco";"dgf";"2023";"7";"2023/08/25 12:07:06";="620101337";G   F;25;3;132.18;105.744;0;0;0;0;2023.7;X620101337;25AUG23;12:06:41
"mco";"dgf";"2023";"7";"2023/08/25 12:07:06";="620101337";G   N;25;9;540;396;6;360;252;0;2023.7;X620101337;25AUG23;12:06:41
"mco";"dgf";"2023";"7";"2023/08/25 12:07:06";="620101337";K;1.92;354;679.68;595.872;354;679.68;595.872;0;2023.7;X620101337;25AUG23;12:06:41
"mco";"dgf";"2023";"7";"2023/08/25 12:07:06";="620101337";MCC;3.27;534;1746.18;1517.28;534;1746.18;1517.28;0;2023.7;X620101337;25AUG23;12:06:41
"mco";"dgf";"2023";"7";"2023/08/25 12:07:06";="620101337";MCG;5;856;4280;3528.5;856;4280;3528.5;0;2023.7;X620101337;25AUG23;12:06:41
"mco";"dgf";"2023";"7";"2023/08/25 12:07:06";="620101337";MCS;5;28513;142565;116245.574;28501;142505;116192.574;0;2023.7;X620101337;25AUG23;12:06:41
"mco";"dgf";"2023";"7";"2023/08/25 12:07:06";="620101337";MEG;5;1;5;3.5;1;5;3.5;0;2023.7;X620101337;25AUG23;12:06:41
"mco";"dgf";"2023";"7";"2023/08/25 12:07:06";="620101337";MM;40;34;1360;1316;33;1320;1284;0;2023.7;X620101337;25AUG23;12:06:41
"mco";"dgf";"2023";"7";"2023/08/25 12:07:06";="620101337";MOP;5;2005;10025;10025;2003;10015;10015;0;2023.7;X620101337;25AUG23;12:06:41
"mco";"dgf";"2023";"7";"2023/08/25 12:07:06";="620101337";MPC;2.7;1635;4414.5;3916.23012;1634;4411.8;3913.53012;1;2023.7;X620101337;25AUG23;12:06:41
"mco";"dgf";"2023";"7";"2023/08/25 12:07:06";="620101337";MSF;2;3743;7486;6721.7;3737;7474;6710.5;0;2023.7;X620101337;25AUG23;12:06:41
"mco";"dgf";"2023";"7";"2023/08/25 12:07:06";="620101337";PAI;10;1252.4;12524;12424;1252.4;12524;12424;0;2023.7;X620101337;25AUG23;12:06:41
"mco";"dgf";"2023";"7";"2023/08/25 12:07:06";="620101337";PAI;32.7;334.26;10930.302;10831.6788;334.26;10930.302;10831.6788;0;2023.7;X620101337;25AUG23;12:06:41
"mco";"dgf";"2023";"7";"2023/08/25 12:07:06";="620101337";SF;2.8;29923.15;83784.82;82718.104;29898.15;83714.82;82648.104;0;2023.7;X620101337;25AUG23;12:06:41
"mco";"dgf";"2023";"7";"2023/08/25 12:07:06";="620101337";SFI;2.18;4081.6;8897.888;8603.152;4015.1;8752.918;8480.2;0;2023.7;X620101337;25AUG23;12:06:41
"mco";"dgf";"2023";"7";"2023/08/25 12:07:06";="620101337";TC;23;1361;31303;28982.3;1361;31303;28982.3;0;2023.7;X620101337;25AUG23;12:06:41
"mco";"dgf";"2023";"7";"2023/08/25 12:07:06";="620101337";TCG;25;67;1675;1600;67;1675;1600;0;2023.7;X620101337;25AUG23;12:06:41
"mco";"dgf";"2023";"7";"2023/08/25 12:07:06";="620101337";TMF;-24;560;-13440;-13440;547;-13128;-13128;0;2023.7;X620101337;25AUG23;12:06:41
"mco";"dgf";"2023";"7";"2023/08/25 14:11:48";="020000287";AMI;3.15;6511.25;20510.4375;17350.75125;6511.25;20510.4375;17350.75125;0;2023.7;X020000287;25AUG23;14:11:36
