"champ";"statut";"annee";"periode";"date du resultat";"ipe";type;pbnb;fsd;fsd_ssact;act;act_ssfsd;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/31 14:29:31";="590781811";FSD;0;0;0;0;0;2023.7;X590781811;31AUG23;14:29:25
"mco";"dgf";"2023";"7";"2023/08/31 14:50:01";="800000093";FSD;0;13;0;13;0;2023.7;X800000093;31AUG23;14:49:52
"mco";"dgf";"2023";"7";"2023/08/31 18:57:41";="800000069";FSD;0;53;0;53;0;2023.7;X800000069;31AUG23;18:57:32
"mco";"dgf";"2023";"7";"2023/09/01 10:58:22";="800000085";FSD;0;64;0;64;0;2023.7;X800000085;01SEP23;10:58:10
"mco";"dgf";"2023";"7";"2023/09/01 13:04:21";="590782637";FSD;0;128;0;138;3;2023.7;X590782637;01SEP23;13:04:07
"mco";"dgf";"2023";"7";"2023/09/01 13:09:15";="620100057";FSD;0;210;0;220;1;2023.7;X620100057;01SEP23;13:09:00
"mco";"dgf";"2023";"7";"2023/09/01 15:20:13";="800000028";FSD;0;72;0;75;0;2023.7;X800000028;01SEP23;15:19:59
"mco";"dgf";"2023";"7";"2023/09/01 17:22:38";="600101984";FSD;0;204;6;209;5;2023.7;X600101984;01SEP23;17:22:22
"mco";"dgf";"2023";"7";"2023/09/04 11:00:11";="800000044";FSD;0;1088;1;1180;0;2023.7;X800000044;04SEP23;10:59:15
"mco";"dgf";"2023";"7";"2023/09/04 16:02:53";="620103432";FSD;0;37;0;41;0;2023.7;X620103432;04SEP23;16:02:33
"mco";"dgf";"2023";"7";"2023/09/05 10:29:56";="590781803";FSD;0;150;0;176;22;2023.7;X590781803;05SEP23;10:29:44
"mco";"dgf";"2023";"7";"2023/09/05 14:40:05";="590780193";FSD;0;1353;1;1518;82;2023.7;X590780193;05SEP23;14:38:10
"mco";"dgf";"2023";"7";"2023/09/07 20:06:54";="590781902";FSD;0;51;0;67;15;2023.7;X590781902;07SEP23;20:06:41
