"champ";"statut";"annee";"periode";"date du resultat";"ipe";factur18;COUNT;PERCENT;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/09/01 08:06:32";="020000071";Non facturation du TMF;226;100;2023.7;X020000071;01SEP23;8:06:20
"mco";"dgf";"2023";"7";"2023/09/01 09:18:31";="600100721";Non facturation du TMF;17484;83.707569301;2023.7;X600100721;01SEP23;9:18:13
"mco";"dgf";"2023";"7";"2023/09/01 09:18:31";="600100721";Facturation du TMF;3403;16.292430699;2023.7;X600100721;01SEP23;9:18:13
"mco";"dgf";"2023";"7";"2023/09/01 12:15:01";="620100057";Non facturation du TMF;28255;93.303173398;2023.7;X620100057;01SEP23;12:14:44
"mco";"dgf";"2023";"7";"2023/09/01 12:15:01";="620100057";Facturation du TMF;2028;6.6968266024;2023.7;X620100057;01SEP23;12:14:44
"mco";"dgf";"2023";"7";"2023/09/01 12:21:13";="600101984";Non facturation du TMF;29837;91.987298064;2023.7;X600101984;01SEP23;12:20:52
"mco";"dgf";"2023";"7";"2023/09/01 12:21:13";="600101984";Facturation du TMF;2599;8.0127019361;2023.7;X600101984;01SEP23;12:20:52
"mco";"dgf";"2023";"7";"2023/09/01 13:07:42";="800000028";Non facturation du TMF;13758;87.308034014;2023.7;X800000028;01SEP23;13:07:27
"mco";"dgf";"2023";"7";"2023/09/01 13:07:42";="800000028";Facturation du TMF;2000;12.691965986;2023.7;X800000028;01SEP23;13:07:27
"mco";"dgf";"2023";"7";"2023/09/01 14:02:30";="590783239";Non facturation du TMF;25402;92.189881687;2023.7;X590783239;01SEP23;14:02:13
"mco";"dgf";"2023";"7";"2023/09/01 14:02:30";="590783239";Facturation du TMF;2152;7.8101183131;2023.7;X590783239;01SEP23;14:02:13
"mco";"dgf";"2023";"7";"2023/09/01 16:12:50";="590785374";Non facturation du TMF;4647;99.486191394;2023.7;X590785374;01SEP23;16:12:38
"mco";"dgf";"2023";"7";"2023/09/01 16:12:50";="590785374";Facturation du TMF;24;0.5138086063;2023.7;X590785374;01SEP23;16:12:38
