"champ";"statut";"annee";"periode";"date du resultat";"ipe";finess;type;moiss;moist;mnt_am;mnt3;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/09 14:38:46";="600100168";600100168;4;2;7;6983.9615955;9.094947E-13;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:46";="600100168";600100168;4;3;1;0;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:46";="600100168";600100168;4;3;2;0;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:46";="600100168";600100168;4;3;3;0;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:46";="600100168";600100168;4;3;4;9432.626669;9432.626669;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:46";="600100168";600100168;4;3;5;9432.626669;3.637979E-12;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:46";="600100168";600100168;4;3;6;9432.626669;-1.81899E-12;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:46";="600100168";600100168;4;3;7;9432.626669;3.637979E-12;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:46";="600100168";600100168;4;4;1;0;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:46";="600100168";600100168;4;4;2;0;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:46";="600100168";600100168;4;4;3;0;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:46";="600100168";600100168;4;4;4;7131.1286238;7131.1286238;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:46";="600100168";600100168;4;4;5;7131.1286238;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:46";="600100168";600100168;4;4;6;7131.1286238;-9.09495E-13;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:46";="600100168";600100168;4;4;7;7131.1286238;-9.09495E-13;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:46";="600100168";600100168;4;5;1;0;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:46";="600100168";600100168;4;5;2;0;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:46";="600100168";600100168;4;5;3;0;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:46";="600100168";600100168;4;5;4;0;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:46";="600100168";600100168;4;5;5;5370.3622208;5370.3622208;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:46";="600100168";600100168;4;5;6;5453.4229948;83.060774;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:46";="600100168";600100168;4;5;7;5586.3202332;132.8972384;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:46";="600100168";600100168;4;6;1;0;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:46";="600100168";600100168;4;6;2;0;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:46";="600100168";600100168;4;6;3;0;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:46";="600100168";600100168;4;6;4;0;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:46";="600100168";600100168;4;6;5;0;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:46";="600100168";600100168;4;6;6;10183.440679;10183.440679;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:46";="600100168";600100168;4;6;7;10183.440679;-1.81899E-12;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:46";="600100168";600100168;4;7;1;0;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:46";="600100168";600100168;4;7;2;0;0;2023.7;X600100168;09AUG23;14:38:36
