"champ";"statut";"annee";"periode";"date du resultat";"ipe";type_test;code;code_c;nbtot;i;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/28 14:07:21";="020000063";2;INF-I;INF;3720;2;2023.7;X020000063;28AUG23;14:07:19
"mco";"dgf";"2023";"7";"2023/08/28 15:40:25";="020004495";1;PCR;PCR;385;2;2023.7;X020004495;28AUG23;15:40:23
"mco";"dgf";"2023";"7";"2023/08/28 15:40:25";="020004495";2;INF-I;INF;1525;2;2023.7;X020004495;28AUG23;15:40:23
"mco";"dgf";"2023";"7";"2023/08/29 09:20:18";="020000055";1;PCR;PCR;81;2;2023.7;X020000055;29AUG23;9:20:17
"mco";"dgf";"2023";"7";"2023/08/29 10:48:41";="600101984";1;INF-I;INF;4925;2;2023.7;X600101984;29AUG23;10:48:40
"mco";"dgf";"2023";"7";"2023/08/29 10:48:41";="600101984";1;PCR;PCR;4925;2;2023.7;X600101984;29AUG23;10:48:40
"mco";"dgf";"2023";"7";"2023/08/29 10:48:41";="600101984";1;PRA;PRA;4925;2;2023.7;X600101984;29AUG23;10:48:40
"mco";"dgf";"2023";"7";"2023/08/29 10:48:41";="600101984";2;INF-I;INF;3317;2;2023.7;X600101984;29AUG23;10:48:40
"mco";"dgf";"2023";"7";"2023/08/29 11:10:49";="590780284";1;MED-I;MED;2965;2;2023.7;X590780284;29AUG23;11:10:48
"mco";"dgf";"2023";"7";"2023/08/29 11:10:49";="590780284";1;PCR;PCR;2965;2;2023.7;X590780284;29AUG23;11:10:48
"mco";"dgf";"2023";"7";"2023/08/29 11:10:49";="590780284";2;ADB;ADB;791;2;2023.7;X590780284;29AUG23;11:10:48
"mco";"dgf";"2023";"7";"2023/08/29 11:10:49";="590780284";2;INF-I;INF;791;2;2023.7;X590780284;29AUG23;11:10:48
"mco";"dgf";"2023";"7";"2023/08/29 11:10:49";="590780284";2;MED-I;MED;791;2;2023.7;X590780284;29AUG23;11:10:48
"mco";"dgf";"2023";"7";"2023/08/29 11:12:01";="590797353";1;MED-I;MED;3575;2;2023.7;X590797353;29AUG23;11:12:00
"mco";"dgf";"2023";"7";"2023/08/29 11:12:01";="590797353";1;PCR;PCR;3575;2;2023.7;X590797353;29AUG23;11:12:00
"mco";"dgf";"2023";"7";"2023/08/29 11:12:01";="590797353";2;ADB;ADB;649;2;2023.7;X590797353;29AUG23;11:12:00
"mco";"dgf";"2023";"7";"2023/08/29 11:12:01";="590797353";2;INF-I;INF;325;2;2023.7;X590797353;29AUG23;11:12:00
"mco";"dgf";"2023";"7";"2023/08/29 11:12:01";="590797353";2;MED-I;MED;325;2;2023.7;X590797353;29AUG23;11:12:00
"mco";"dgf";"2023";"7";"2023/08/29 11:59:05";="020000261";1;INF-I;INF;1177;2;2023.7;X020000261;29AUG23;11:59:04
"mco";"dgf";"2023";"7";"2023/08/29 11:59:05";="020000261";1;INF-IF;INF;184;2;2023.7;X020000261;29AUG23;11:59:04
"mco";"dgf";"2023";"7";"2023/08/29 11:59:05";="020000261";1;INF-IN;INF;105;2;2023.7;X020000261;29AUG23;11:59:04
"mco";"dgf";"2023";"7";"2023/08/29 11:59:05";="020000261";1;PCR;PCR;1244;2;2023.7;X020000261;29AUG23;11:59:04
"mco";"dgf";"2023";"7";"2023/08/29 11:59:05";="020000261";1;PCR-F;PCR;182;2;2023.7;X020000261;29AUG23;11:59:04
"mco";"dgf";"2023";"7";"2023/08/29 11:59:05";="020000261";1;PCR-N;PCR;40;2;2023.7;X020000261;29AUG23;11:59:04
"mco";"dgf";"2023";"7";"2023/08/29 11:59:05";="020000261";1;PRA;PRA;1466;2;2023.7;X020000261;29AUG23;11:59:04
"mco";"dgf";"2023";"7";"2023/08/29 11:59:05";="020000261";2;ADB;ADB;117;2;2023.7;X020000261;29AUG23;11:59:04
"mco";"dgf";"2023";"7";"2023/08/29 11:59:05";="020000261";2;INF-I;INF;675;2;2023.7;X020000261;29AUG23;11:59:04
"mco";"dgf";"2023";"7";"2023/08/29 11:59:05";="020000261";2;INF-IF;INF;357;2;2023.7;X020000261;29AUG23;11:59:04
"mco";"dgf";"2023";"7";"2023/08/29 11:59:05";="020000261";2;INF-IN;INF;1279;2;2023.7;X020000261;29AUG23;11:59:04
"mco";"dgf";"2023";"7";"2023/08/29 14:02:56";="590000600";1;MED-I;MED;196;2;2023.7;X590000600;29AUG23;14:02:54
"mco";"dgf";"2023";"7";"2023/08/29 14:02:56";="590000600";1;PCR;PCR;196;2;2023.7;X590000600;29AUG23;14:02:54
"mco";"dgf";"2023";"7";"2023/08/29 14:02:56";="590000600";1;PRA;PRA;196;2;2023.7;X590000600;29AUG23;14:02:54
"mco";"dgf";"2023";"7";"2023/08/29 14:14:45";="620000026";1;INF-I;INF;412;2;2023.7;X620000026;29AUG23;14:14:44
"mco";"dgf";"2023";"7";"2023/08/29 14:14:45";="620000026";1;INF-IF;INF;152;2;2023.7;X620000026;29AUG23;14:14:44
"mco";"dgf";"2023";"7";"2023/08/29 14:14:45";="620000026";1;MED-I;MED;1;2;2023.7;X620000026;29AUG23;14:14:44
"mco";"dgf";"2023";"7";"2023/08/29 14:14:45";="620000026";1;MED-IF;MED;4;2;2023.7;X620000026;29AUG23;14:14:44
"mco";"dgf";"2023";"7";"2023/08/29 14:14:45";="620000026";1;PCR;PCR;413;2;2023.7;X620000026;29AUG23;14:14:44
"mco";"dgf";"2023";"7";"2023/08/29 14:14:45";="620000026";1;PCR-F;PCR;156;2;2023.7;X620000026;29AUG23;14:14:44
"mco";"dgf";"2023";"7";"2023/08/29 14:14:45";="620000026";1;PRA;PRA;569;2;2023.7;X620000026;29AUG23;14:14:44
"mco";"dgf";"2023";"7";"2023/08/29 14:14:45";="620000026";2;INF-I;INF;238;2;2023.7;X620000026;29AUG23;14:14:44
"mco";"dgf";"2023";"7";"2023/08/29 14:42:51";="590001749";2;MED-I;MED;634;2;2023.7;X590001749;29AUG23;14:42:50
"mco";"dgf";"2023";"7";"2023/08/29 14:46:18";="590781670";1;INF-C;INF;0;2;2023.7;X590781670;29AUG23;14:46:17
"mco";"dgf";"2023";"7";"2023/08/29 14:46:18";="590781670";1;INF-I;INF;306;2;2023.7;X590781670;29AUG23;14:46:17
"mco";"dgf";"2023";"7";"2023/08/29 14:46:18";="590781670";1;INF-IF;INF;38;2;2023.7;X590781670;29AUG23;14:46:17
"mco";"dgf";"2023";"7";"2023/08/29 14:46:18";="590781670";1;MED-I;MED;12;2;2023.7;X590781670;29AUG23;14:46:17
"mco";"dgf";"2023";"7";"2023/08/29 14:46:18";="590781670";2;INF-I;INF;33;2;2023.7;X590781670;29AUG23;14:46:17
"mco";"dgf";"2023";"7";"2023/08/29 14:46:18";="590781670";2;MED-I;MED;0;2;2023.7;X590781670;29AUG23;14:46:17
