"champ";"statut";"annee";"periode";"date du resultat";"ipe";COUNT;PERCENT;pctcum;effcum;cret33;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/09/01 16:12:58";="590785374";10;0.2140869193;100;4671;;2023.7;X590785374;01SEP23;16:12:38
"mco";"dgf";"2023";"7";"2023/09/01 16:55:29";="020000063";45155;99.977858962;99.977858962;45155;0;2023.7;X020000063;01SEP23;16:55:02
"mco";"dgf";"2023";"7";"2023/09/01 16:55:29";="020000063";10;0.0221410384;100;45165;;2023.7;X020000063;01SEP23;16:55:02
"mco";"dgf";"2023";"7";"2023/09/01 18:27:02";="590000188";49314;100;100;49314;0;2023.7;X590000188;01SEP23;18:26:37
"mco";"dgf";"2023";"7";"2023/09/04 15:54:18";="620103432";11935;99.991621984;99.991621984;11935;0;2023.7;X620103432;04SEP23;15:53:55
"mco";"dgf";"2023";"7";"2023/09/04 15:54:18";="620103432";1;0.0083780161;100;11936;;2023.7;X620103432;04SEP23;15:53:55
"mco";"dgf";"2023";"7";"2023/09/05 09:23:46";="590782637";12837;99.984422463;99.984422463;12837;0;2023.7;X590782637;05SEP23;9:23:23
"mco";"dgf";"2023";"7";"2023/09/05 09:23:46";="590782637";2;0.0155775372;100;12839;;2023.7;X590782637;05SEP23;9:23:23
"mco";"dgf";"2023";"7";"2023/09/05 12:09:32";="590781803";12753;96.038858348;96.038858348;12753;0;2023.7;X590781803;05SEP23;12:09:07
"mco";"dgf";"2023";"7";"2023/09/05 12:09:32";="590781803";526;3.9611416522;100;13279;;2023.7;X590781803;05SEP23;12:09:07
"mco";"dgf";"2023";"7";"2023/09/05 17:40:56";="590780227";14327;99.909344491;99.909344491;14327;0;2023.7;X590780227;05SEP23;17:40:33
"mco";"dgf";"2023";"7";"2023/09/05 17:40:56";="590780227";13;0.0906555091;100;14340;;2023.7;X590780227;05SEP23;17:40:33
"mco";"dgf";"2023";"7";"2023/09/05 17:44:43";="800000044";79130;99.454527173;99.454527173;79130;0;2023.7;X800000044;05SEP23;17:44:11
"mco";"dgf";"2023";"7";"2023/09/05 17:44:43";="800000044";434;0.5454728269;100;79564;;2023.7;X800000044;05SEP23;17:44:11
"mco";"dgf";"2023";"7";"2023/09/07 20:01:03";="590781902";18895;99.920676891;99.920676891;18895;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:01:03";="590781902";15;0.0793231095;100;18910;;2023.7;X590781902;07SEP23;20:00:41
