"champ";"statut";"annee";"periode";"date du resultat";"ipe";ghm;ghs;nb;mnt_br;mnt_tot_am;taux_app;mtm;mnt_fj;mpf;rac;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/31 11:51:23";="590780193";05C192;1500;1;24268.278957;23888.852763;99.89;1049.11;180;3.04;1232.15;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:23";="590780193";05C212;85;1;7709.771784;7467.5531585;99.91;767.17;180;1.36;948.53;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:23";="590780193";05K051;1693;1;4377.625434;4236.9371457;99.5;853.43;77.6;10.71;941.74;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:23";="590780193";05K061;1697;6;16872.858522;16111.246166;99.74;2747.64;574.2;25.74;3347.58;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:23";="590780193";05K101;1702;5;13650.754689;12408.162049;99.57;2325.55;1067;21.75;3414.3;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:23";="590780193";05K102;1703;2;8027.678516;7673.2337436;99.535;2922.87;253.8;7.37;3184.04;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:23";="590780193";05K103;1704;1;6686.463576;6472.3796976;99.6;2650.35;137.2;3.52;2791.07;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:23";="590780193";05M041;1729;1;2979.757716;2840.5596439;97.98;786.35;54;4.57;844.92;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:23";="590780193";05M08T;1752;2;1800.297348;1611.8436876;93.43;438.48;56.8;1.6;496.88;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:23";="590780193";05M08T;5297;1;484.639213;436.62329052;90.74;181.09;0;0.06;181.15;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:23";="590780193";05M092;1754;1;5385.281777;4735.3835915;97.98;1235.78;504;0.18;1739.96;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:23";="590780193";05M094;1756;3;24557.071656;23155.3994;98.4;9545.04;837;2.61;10384.65;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:23";="590780193";05M09T;1757;1;827.314112;763.8510331;97.25;314.24;34.8;0.28;349.32;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:23";="590780193";05M11T;5039;1;381.084483;358.26683859;94.95;235.34;0;1.04;236.38;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:23";="590780193";05M121;1767;3;5718.260855;5271.8185818;95.796666667;2382.07;165.8;2.14;2550.01;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:23";="590780193";05M122;1768;5;18125.203779;16697.615721;96.298;7284.13;631.8;2.44;7918.37;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:23";="590780193";05M123;1769;4;22580.825235;21161.564978;96.8925;8024.6;562.4;1.64;8588.64;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:23";="590780193";05M124;1770;1;8163.803661;7827.5679033;97.91;2750.07;109.2;0.46;2859.73;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:23";="590780193";05M12T;1771;3;2143.268205;1988.2659796;95.12;700.65;32;4.14;736.79;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:23";="590780193";05M12T;5335;1;461.579196;411.79041469;92.84;198.41;13.6;0.14;212.15;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:23";="590780193";05M131;1772;1;1478.863581;1262.2578835;91.31;568.7;78.4;0.24;647.34;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:23";="590780193";05M132;1773;1;2047.017668;1897.7927435;95.73;832.52;48;0.1;880.62;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:23";="590780193";05M13T;1815;3;2589.695176;2269.8504653;89.793333333;713.04;39.6;0.26;752.9;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:23";="590780193";05M144;1779;1;11528.685129;10987.505167;97.23;5570.97;139.2;4.17;5714.34;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:23";="590780193";05M151;1780;1;1786.780164;1577.5689868;91.23;651.07;40.8;0.3;692.17;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:23";="590780193";05M161;1785;6;6968.162361;6209.5389025;94.96;2561.16;355.2;5.9;2922.26;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:23";="590780193";05M162;1786;3;7921.997668;7301.6929643;96.716666667;2990.03;302.4;3.61;3296.04;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:23";="590780193";05M16T;5043;1;381.084483;370.6707121;97.99;168.94;0;0.14;169.08;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:23";="590780193";05M17T;1794;1;659.162595;639.64566171;97.74;237.78;0;0.11;237.89;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:23";="590780193";05M17T;5044;1;326.14842;319.7970638;98.75;212.3;0;0.02;212.32;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:23";="590780193";05M20Z;1803;5;4103.317141;3478.7599791;95.704;1084.53;420;0.65;1505.18;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:23";="590780193";05M20Z;1868;5;1829.875182;1756.5094627;96.68;973.1;0;0.23;973.33;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:23";="590780193";05M23Z;1807;1;1407.537423;1272.9207149;93.26;362.2;30;0.56;392.76;2023.7;X590780193;31AUG23;11:45:29
