"champ";"statut";"annee";"periode";"date du resultat";"ipe";eff;lib;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/30 14:56:48";="590781662";;Nombre de séjours/séance en SU;2023.7;X590781662;30AUG23;14:55:22
"mco";"dgf";"2023";"7";"2023/08/30 14:56:48";="590781662";;Nombre de séjours/séances en SU non valorisés (CM90, ghs 9999, PIE);2023.7;X590781662;30AUG23;14:55:22
"mco";"dgf";"2023";"7";"2023/08/30 14:56:48";="590781662";;Nombre de séjours/séances en SU valorisés;2023.7;X590781662;30AUG23;14:55:22
"mco";"dgf";"2023";"7";"2023/08/30 15:05:38";="590781621";;Nombre de séjours/séance en SU;2023.7;X590781621;30AUG23;15:03:46
"mco";"dgf";"2023";"7";"2023/08/30 15:05:38";="590781621";;Nombre de séjours/séances en SU non valorisés (CM90, ghs 9999, PIE);2023.7;X590781621;30AUG23;15:03:46
"mco";"dgf";"2023";"7";"2023/08/30 15:05:38";="590781621";;Nombre de séjours/séances en SU valorisés;2023.7;X590781621;30AUG23;15:03:46
"mco";"dgf";"2023";"7";"2023/08/30 15:20:16";="590052056";;Nombre de séjours/séance en SU;2023.7;X590052056;30AUG23;15:19:03
"mco";"dgf";"2023";"7";"2023/08/30 15:20:16";="590052056";;Nombre de séjours/séances en SU non valorisés (CM90, ghs 9999, PIE);2023.7;X590052056;30AUG23;15:19:03
"mco";"dgf";"2023";"7";"2023/08/30 15:20:16";="590052056";;Nombre de séjours/séances en SU valorisés;2023.7;X590052056;30AUG23;15:19:03
"mco";"dgf";"2023";"7";"2023/08/30 16:35:38";="590781795";;Nombre de séjours/séance en SU;2023.7;X590781795;30AUG23;16:33:32
"mco";"dgf";"2023";"7";"2023/08/30 16:35:38";="590781795";;Nombre de séjours/séances en SU non valorisés (CM90, ghs 9999, PIE);2023.7;X590781795;30AUG23;16:33:32
"mco";"dgf";"2023";"7";"2023/08/30 16:35:38";="590781795";;Nombre de séjours/séances en SU valorisés;2023.7;X590781795;30AUG23;16:33:32
"mco";"dgf";"2023";"7";"2023/08/31 09:37:38";="620100677";;Nombre de séjours/séance en SU;2023.7;X620100677;31AUG23;9:36:32
"mco";"dgf";"2023";"7";"2023/08/31 09:37:38";="620100677";;Nombre de séjours/séances en SU non valorisés (CM90, ghs 9999, PIE);2023.7;X620100677;31AUG23;9:36:32
"mco";"dgf";"2023";"7";"2023/08/31 09:37:38";="620100677";;Nombre de séjours/séances en SU valorisés;2023.7;X620100677;31AUG23;9:36:32
"mco";"dgf";"2023";"7";"2023/08/31 10:38:52";="590781415";48;Nombre de séjours/séance en SU;2023.7;X590781415;31AUG23;10:37:00
"mco";"dgf";"2023";"7";"2023/08/31 10:38:52";="590781415";;Nombre de séjours/séances en SU non valorisés (CM90, ghs 9999, PIE);2023.7;X590781415;31AUG23;10:37:00
"mco";"dgf";"2023";"7";"2023/08/31 10:38:52";="590781415";48;Nombre de séjours/séances en SU valorisés;2023.7;X590781415;31AUG23;10:37:00
"mco";"dgf";"2023";"7";"2023/08/31 10:39:53";="620103440";26;Nombre de séjours/séance en SU;2023.7;X620103440;31AUG23;10:37:57
"mco";"dgf";"2023";"7";"2023/08/31 10:39:53";="620103440";;Nombre de séjours/séances en SU non valorisés (CM90, ghs 9999, PIE);2023.7;X620103440;31AUG23;10:37:57
"mco";"dgf";"2023";"7";"2023/08/31 10:39:53";="620103440";26;Nombre de séjours/séances en SU valorisés;2023.7;X620103440;31AUG23;10:37:57
"mco";"dgf";"2023";"7";"2023/08/31 11:14:36";="800000085";;Nombre de séjours/séance en SU;2023.7;X800000085;31AUG23;11:13:08
"mco";"dgf";"2023";"7";"2023/08/31 11:14:36";="800000085";;Nombre de séjours/séances en SU non valorisés (CM90, ghs 9999, PIE);2023.7;X800000085;31AUG23;11:13:08
"mco";"dgf";"2023";"7";"2023/08/31 11:14:36";="800000085";;Nombre de séjours/séances en SU valorisés;2023.7;X800000085;31AUG23;11:13:08
"mco";"dgf";"2023";"7";"2023/08/31 11:51:32";="590780193";212;Nombre de séjours/séance en SU;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:32";="590780193";;Nombre de séjours/séances en SU non valorisés (CM90, ghs 9999, PIE);2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:32";="590780193";212;Nombre de séjours/séances en SU valorisés;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 12:26:25";="020004404";;Nombre de séjours/séance en SU;2023.7;X020004404;31AUG23;12:24:34
"mco";"dgf";"2023";"7";"2023/08/31 12:26:25";="020004404";;Nombre de séjours/séances en SU non valorisés (CM90, ghs 9999, PIE);2023.7;X020004404;31AUG23;12:24:34
"mco";"dgf";"2023";"7";"2023/08/31 12:26:25";="020004404";;Nombre de séjours/séances en SU valorisés;2023.7;X020004404;31AUG23;12:24:34
"mco";"dgf";"2023";"7";"2023/08/31 14:26:40";="590781605";;Nombre de séjours/séance en SU;2023.7;X590781605;31AUG23;14:25:07
"mco";"dgf";"2023";"7";"2023/08/31 14:26:40";="590781605";;Nombre de séjours/séances en SU non valorisés (CM90, ghs 9999, PIE);2023.7;X590781605;31AUG23;14:25:07
"mco";"dgf";"2023";"7";"2023/08/31 14:26:40";="590781605";;Nombre de séjours/séances en SU valorisés;2023.7;X590781605;31AUG23;14:25:07
"mco";"dgf";"2023";"7";"2023/08/31 14:29:49";="590781811";;Nombre de séjours/séance en SU;2023.7;X590781811;31AUG23;14:28:53
"mco";"dgf";"2023";"7";"2023/08/31 14:29:49";="590781811";;Nombre de séjours/séances en SU non valorisés (CM90, ghs 9999, PIE);2023.7;X590781811;31AUG23;14:28:53
"mco";"dgf";"2023";"7";"2023/08/31 14:29:49";="590781811";;Nombre de séjours/séances en SU valorisés;2023.7;X590781811;31AUG23;14:28:53
"mco";"dgf";"2023";"7";"2023/08/31 14:34:37";="800000093";1;Nombre de séjours/séance en SU;2023.7;X800000093;31AUG23;14:33:22
"mco";"dgf";"2023";"7";"2023/08/31 14:34:37";="800000093";;Nombre de séjours/séances en SU non valorisés (CM90, ghs 9999, PIE);2023.7;X800000093;31AUG23;14:33:22
"mco";"dgf";"2023";"7";"2023/08/31 14:34:37";="800000093";1;Nombre de séjours/séances en SU valorisés;2023.7;X800000093;31AUG23;14:33:22
"mco";"dgf";"2023";"7";"2023/08/31 14:54:11";="600100713";18;Nombre de séjours/séance en SU;2023.7;X600100713;31AUG23;14:51:48
"mco";"dgf";"2023";"7";"2023/08/31 14:54:11";="600100713";;Nombre de séjours/séances en SU non valorisés (CM90, ghs 9999, PIE);2023.7;X600100713;31AUG23;14:51:48
"mco";"dgf";"2023";"7";"2023/08/31 14:54:11";="600100713";18;Nombre de séjours/séances en SU valorisés;2023.7;X600100713;31AUG23;14:51:48
"mco";"dgf";"2023";"7";"2023/08/31 15:00:17";="020000048";;Nombre de séjours/séance en SU;2023.7;X020000048;31AUG23;14:59:10
"mco";"dgf";"2023";"7";"2023/08/31 15:00:17";="020000048";;Nombre de séjours/séances en SU non valorisés (CM90, ghs 9999, PIE);2023.7;X020000048;31AUG23;14:59:10
"mco";"dgf";"2023";"7";"2023/08/31 15:00:17";="020000048";;Nombre de séjours/séances en SU valorisés;2023.7;X020000048;31AUG23;14:59:10
"mco";"dgf";"2023";"7";"2023/08/31 15:44:33";="590782215";3;Nombre de séjours/séance en SU;2023.7;X590782215;31AUG23;15:42:07
