"champ";"statut";"annee";"periode";"date du resultat";"ipe";cl_age_cov;ponder;ponder_cn;dms;pct_homme;pct_dc;pct_rea;nb_rea;pct_sc;nb_sc;pct_si;nb_si;moy_igs_rea;med_igs_rea;moy_igs_sc;med_igs_sc;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/29 14:21:24";="620003350";0-17;;;;;;;;;;;;;;;;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:21:24";="620003350";18-39;1;1;0;100;0;0;0;0;0;0;0;;;;;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:21:24";="620003350";40-59;4;4;3.75;50;0;0;0;50;1;0;0;;;15.5;15.5;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:21:24";="620003350";60-69;5;5;2.8;20;0;0;0;100;7;0;0;;;21.6;19;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:21:24";="620003350";70-79;28;28;12.642857143;32.142857143;3.5714285714;0;0;28.571428571;10;0;0;;;27.375;25;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:21:24";="620003350";80-89;81;81;10.716049383;33.333333333;6.1728395062;0;0;29.62962963;47;0;0;;;34.269230769;31.5;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:21:24";="620003350";>90;44;44;11.136363636;18.181818182;2.2727272727;0;0;9.0909090909;11;0;0;;;37;40.5;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:23:25";="590000600";0-17;;;;;;;;;;;;;;;;2023.7;X590000600;29AUG23;14:23:02
"mco";"dgf";"2023";"7";"2023/08/29 14:23:25";="590000600";18-39;;;;;;;;;;;;;;;;2023.7;X590000600;29AUG23;14:23:02
"mco";"dgf";"2023";"7";"2023/08/29 14:23:25";="590000600";40-59;1;1;7;100;0;0;0;0;0;0;0;;;;;2023.7;X590000600;29AUG23;14:23:02
"mco";"dgf";"2023";"7";"2023/08/29 14:23:25";="590000600";60-69;1;1;20;100;0;0;0;0;0;0;0;;;;;2023.7;X590000600;29AUG23;14:23:02
"mco";"dgf";"2023";"7";"2023/08/29 14:23:25";="590000600";70-79;8;8;15.25;37.5;12.5;0;0;0;0;0;0;;;;;2023.7;X590000600;29AUG23;14:23:02
"mco";"dgf";"2023";"7";"2023/08/29 14:23:25";="590000600";80-89;12;12;16.416666667;25;16.666666667;0;0;0;0;0;0;;;;;2023.7;X590000600;29AUG23;14:23:02
"mco";"dgf";"2023";"7";"2023/08/29 14:23:25";="590000600";>90;8;8;14.75;25;12.5;0;0;0;0;0;0;;;;;2023.7;X590000600;29AUG23;14:23:02
"mco";"dgf";"2023";"7";"2023/08/29 14:25:00";="620025346";0-17;1;1;1;100;0;0;0;0;0;0;0;;;;;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:25:00";="620025346";18-39;6;6;2.1666666667;0;0;0;0;0;0;0;0;;;;;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:25:00";="620025346";40-59;16;16;4.5;43.75;0;0;0;12.5;24;6.25;18;;;13;13;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:25:00";="620025346";60-69;24;24;6.2083333333;70.833333333;4.1666666667;0;0;4.1666666667;3;0;0;;;29;29;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:25:00";="620025346";70-79;27;27;10.074074074;48.148148148;7.4074074074;0;0;0;0;11.111111111;14;;;;;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:25:00";="620025346";80-89;53;53;10.075471698;35.849056604;9.4339622642;0;0;5.6603773585;11;0;0;;;40;43;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:25:00";="620025346";>90;35;35;12.4;28.571428571;14.285714286;0;0;0;0;2.8571428571;2;;;;;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:40:32";="590001749";0-17;;;;;;;;;;;;;;;;2023.7;X590001749;29AUG23;14:40:05
"mco";"dgf";"2023";"7";"2023/08/29 14:40:32";="590001749";18-39;1;1;6;100;0;0;0;0;0;0;0;;;;;2023.7;X590001749;29AUG23;14:40:05
