"champ";"statut";"annee";"periode";"date du resultat";"ipe";mode;ponder;pct_ponder;ponder_cn;dms;age_moy;age_med;pct_homme;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/29 09:28:41";="590782652";74;1;0.9174311927;1;0;68;68;0;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:28:41";="590782652";76;3;2.752293578;3;12;62.666666667;61;0;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:28:41";="590782652";8;62;56.880733945;62;5.435483871;73.741935484;79.5;45.161290323;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:28:41";="590782652";9;7;6.4220183486;7;8.1428571429;86.285714286;85;57.142857143;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:48:53";="590780052";62;4;12.903225806;4;22.75;87.5;86;25;2023.7;X590780052;29AUG23;9:48:30
"mco";"dgf";"2023";"7";"2023/08/29 09:48:53";="590780052";71;1;3.2258064516;1;18;86;86;100;2023.7;X590780052;29AUG23;9:48:30
"mco";"dgf";"2023";"7";"2023/08/29 09:48:53";="590780052";72;2;6.4516129032;2;20;87.5;87.5;50;2023.7;X590780052;29AUG23;9:48:30
"mco";"dgf";"2023";"7";"2023/08/29 09:48:53";="590780052";74;1;3.2258064516;1;21;55;55;100;2023.7;X590780052;29AUG23;9:48:30
"mco";"dgf";"2023";"7";"2023/08/29 09:48:53";="590780052";8;22;70.967741935;22;15.045454545;76.727272727;86;36.363636364;2023.7;X590780052;29AUG23;9:48:30
"mco";"dgf";"2023";"7";"2023/08/29 09:48:53";="590780052";87;1;3.2258064516;1;27;87;87;0;2023.7;X590780052;29AUG23;9:48:30
"mco";"dgf";"2023";"7";"2023/08/29 10:19:44";="600100648";62;4;7.8431372549;4;11;84;85;0;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 10:19:44";="600100648";71;4;7.8431372549;4;15.25;90.5;91.5;25;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 10:19:44";="600100648";72;6;11.764705882;6;16.5;83.166666667;84;33.333333333;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 10:19:44";="600100648";8;33;64.705882353;33;6.4848484848;74.878787879;80;45.454545455;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 10:19:44";="600100648";9;4;7.8431372549;4;17.5;92.5;96.5;75;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 13:05:30";="620000026";72;3;33.333333333;3;17.666666667;78.333333333;79;66.666666667;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:30";="620000026";8;5;55.555555556;5;13.8;74.6;72;0;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:30";="620000026";9;1;11.111111111;1;11;75;75;0;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 14:21:26";="620003350";62;42;25.766871166;42;15.214285714;84.5;85;40.476190476;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:21:26";="620003350";71;9;5.5214723926;9;10.444444444;83.666666667;86;44.444444444;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:21:26";="620003350";72;5;3.0674846626;5;12.6;86.4;84;0;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:21:26";="620003350";76;1;0.6134969325;1;17;86;86;0;2023.7;X620003350;29AUG23;14:20:57
