"champ";"statut";"annee";"periode";"date du resultat";"ipe";code;code1;dep22a;nb22a;dep22_vala;dep22b;nb22b;dep22_valb;valo;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/09/05 14:09:37";="590780193";8121737;8121737;15070.72;58;15146.12;15070.72;58;15146.12;1.818989E-12;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:37";="590780193";8121915;8121915;10441.37;28;21516.405;10441.37;28;21516.405;-3.63798E-12;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:37";="590780193";8121944;8121944;24688.896;55;24812.398;24688.896;55;24812.398;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:37";="590780193";8121950;8121950;60664.97;61;61661.435;60664.97;61;61661.435;7.275958E-12;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:37";="590780193";8125280;8125280;36313.508;228;36605.374;36313.508;228;36605.374;7.275958E-12;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:37";="590780193";8125327;8125327;83.95;1;84.37;83.95;1;84.37;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:37";="590780193";8125333;8125333;14234.33;68;14305.445;14234.33;68;14305.445;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:37";="590780193";8125356;8125356;1686.538;26;1695.029;1686.538;26;1695.029;4.547474E-13;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:37";="590780193";8125379;8125379;29802.712;171;29951.921;29802.712;171;29951.921;-3.63798E-12;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:37";="590780193";8125391;8125391;44023.423;393;44243.7215;44023.423;393;44243.7215;-1.45519E-11;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:37";="590780193";8126350;8126350;246.85;1;254.645;246.85;1;254.645;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:37";="590780193";8126516;8126516;12863.384;22;13661.692;12863.384;22;13661.692;3.637979E-12;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:37";="590780193";8126551;8126551;220891.004;399;243703.857;220891.004;399;243663.857;40;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:37";="590780193";8126597;8126597;10911.723;17;11100.8615;10911.723;17;11100.8615;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:37";="590780193";8127177;8127177;658.62;4;661.91;658.62;4;661.91;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:37";="590780193";8127183;8127183;414.75;15;416.85;414.75;15;416.85;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:37";="590780193";8127208;8127208;2902.96;42;2919.8;2902.96;42;2919.8;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:37";="590780193";8127214;8127214;658.53;4;661.825;658.53;4;661.825;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:37";="590780193";8127220;8127220;9670.84;157;9718.905;9670.84;157;9718.905;1.818989E-12;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:37";="590780193";8127378;8127378;24833.6;80;24957.6;24833.6;80;24957.6;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:37";="590780193";8127390;8127390;232974;63;234139.5;225578;61;226706.5;7433;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:37";="590780193";8127562;8127562;55.3;2;55.58;55.3;2;55.58;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:37";="590780193";8127616;8127616;25732.549;372;25871.3945;25732.549;372;25871.3945;7.275958E-12;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:37";="590780193";8127645;8127645;16785.255;102;16872.9075;16785.255;102;16872.9075;3.637979E-12;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:37";="590780193";8127651;8127651;1455.294;3;1337.935;1455.294;3;1337.935;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:37";="590780193";8127668;8127668;51354.112;828;51234.3675;51477.309;830;51358.176;-123.8085;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:37";="590780193";8127680;8127680;10515.219;62;10567.9095;10515.219;62;10567.9095;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:37";="590780193";8127697;8127697;274135.689;1668;275757.28;274135.689;1668;275757.28;-1.16415E-10;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:37";="590780193";8127711;8127711;26041.47;192;25170.237;26041.47;192;25170.237;-7.27596E-12;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:37";="590780193";8127728;8127728;16380.555;121;16462.4425;16380.555;121;16462.4425;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:37";="590780193";8127734;8127734;5601.803;18;4170.78;5601.803;18;4170.78;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:37";="590780193";8127757;8127757;1156.616;7;1165.223;1156.616;7;1165.223;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:37";="590780193";8127763;8127763;3577.404;55;3595.177;3577.404;55;3595.177;4.547474E-13;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:37";="590780193";8127770;8127770;1047.157;42;1110.1085;1047.157;42;1110.1085;2.273737E-13;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:37";="590780193";8129584;8129584;1560.308;64;1567.994;1560.308;64;1567.994;2.273737E-13;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:37";="590780193";8130825;8130825;141.6;3;141.6;141.6;3;141.6;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:37";="590780193";8131167;8131167;155.58;1;156.365;155.58;1;156.365;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:37";="590780193";8131180;8131180;448.89;1;451.135;448.89;1;451.135;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:37";="590780193";8131210;8131210;22576.314;94;23003.847;22576.314;94;23003.847;3.637979E-12;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:37";="590780193";8131240;8131240;59462.571;37;49131.3005;59462.571;37;49131.3005;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:37";="590780193";8131262;8131262;46854.33;48;47109.885;46854.33;48;47109.885;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:37";="590780193";8131291;8131291;14342.78;11;13245.09;14342.78;11;13245.09;-1.81899E-12;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:37";="590780193";8131322;8131322;619.42;1;622.52;619.42;1;622.52;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:37";="590780193";8131339;8131339;8150.16;12;8190.96;8150.16;12;8190.96;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:37";="590780193";8131345;8131345;2964.96;24;2979.84;2964.96;24;2979.84;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:37";="590780193";8131380;8131380;1165.87;1;1171.7;1165.87;1;1171.7;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:37";="590780193";8131397;8131397;16693.341;50;16775.1705;16693.341;50;16775.1705;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:37";="590780193";8131428;8131428;8125.36;34;8293.13;8125.36;34;8293.13;1.818989E-12;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:37";="590780193";8131492;8131492;93.3;1;89.32;93.3;1;89.32;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:37";="590780193";8131523;8131523;39940.413;233;40559.2515;39940.413;233;40559.2515;7.275958E-12;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:37";="590780193";8131546;8131546;5574.05;18;5601.955;5574.05;18;5601.955;9.094947E-13;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:37";="590780193";8131569;8131569;113108.73;153;113686.86;113108.73;153;113686.86;-1.45519E-11;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:37";="590780193";8132008;8132008;619.34;2;622.44;619.34;2;622.44;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:37";="590780193";8132327;8132327;371.23;1;382.55;371.23;1;382.55;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:37";="590780193";8132356;8132356;217.76;2;222.02;217.76;2;222.02;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:37";="590780193";8132362;8132362;1220.01;7;1226.11;1220.01;7;1226.11;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:37";="590780193";8132379;8132379;198.87;1;205.145;198.87;1;205.145;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:37";="590780193";8133150;8133150;1548.35;5;1556.1;1548.35;5;1556.1;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:37";="590780193";8133670;8133670;5675.599;10;5826.9995;5675.599;10;5826.9995;9.094947E-13;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:37";="590780193";8133686;8133686;33410.465;50;33736.7325;33410.465;50;33736.7325;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:37";="590780193";8133858;8133858;14161.688;324;14310.904;14161.688;324;14310.904;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:37";="590780193";8133864;8133864;604.911;29;784.5805;604.911;29;784.5805;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:37";="590780193";8134007;8134007;2654.761;4;2265.36;2654.761;4;2265.36;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:37";="590780193";8134289;8134289;62164.074;501;35002.2935;62164.074;501;35002.2935;0;2023.7;X590780193;05SEP23;14:08:27
