"champ";"statut";"annee";"periode";"date du resultat";"ipe";mois;semaine;ponder;dms;moy_age;med_age;pct_homme;pct_rea;pct_si;pct_sc;annee;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/31 11:48:31";="590780193";2;;5;5.8;59.6;56;20;0;0;0;2023;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:48:31";="590780193";3;;3;5;76.666666667;76;33.333333333;0;0;0;2023;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:48:31";="590780193";4;;5;0.4;65.4;68;60;20;20;0;2023;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:48:31";="590780193";5;;6;7.1666666667;67.166666667;70.5;66.666666667;50;50;0;2023;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:48:31";="590780193";6;;3;20.333333333;72;69;66.666666667;66.666666667;66.666666667;33.333333333;2023;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:48:31";="590780193";7;;1;9;70;70;0;0;0;0;2023;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:48:31";="590780193";99;;30;5.7333333333;69.3;69.5;46.666666667;20;20;3.3333333333;9999;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 12:25:33";="020004404";1;;1;0;58;58;100;0;0;0;2023;2023.7;X020004404;31AUG23;12:24:34
"mco";"dgf";"2023";"7";"2023/08/31 12:25:33";="020004404";2;;3;8.3333333333;64;58;66.666666667;0;0;0;2023;2023.7;X020004404;31AUG23;12:24:34
"mco";"dgf";"2023";"7";"2023/08/31 12:25:33";="020004404";5;;2;4;85.5;85.5;50;0;0;0;2023;2023.7;X020004404;31AUG23;12:24:34
"mco";"dgf";"2023";"7";"2023/08/31 12:25:33";="020004404";6;;2;3;74;74;50;0;0;0;2023;2023.7;X020004404;31AUG23;12:24:34
"mco";"dgf";"2023";"7";"2023/08/31 12:25:33";="020004404";7;;1;5;92;92;0;0;0;0;2023;2023.7;X020004404;31AUG23;12:24:34
"mco";"dgf";"2023";"7";"2023/08/31 12:25:33";="020004404";99;;9;4.8888888889;73.444444444;82;55.555555556;0;0;0;9999;2023.7;X020004404;31AUG23;12:24:34
"mco";"dgf";"2023";"7";"2023/08/31 14:25:56";="590781605";1;;1;10;82;82;0;0;0;0;2023;2023.7;X590781605;31AUG23;14:25:07
"mco";"dgf";"2023";"7";"2023/08/31 14:25:56";="590781605";5;;1;12;80;80;100;0;0;0;2023;2023.7;X590781605;31AUG23;14:25:07
"mco";"dgf";"2023";"7";"2023/08/31 14:25:56";="590781605";6;;1;14;91;91;0;0;0;0;2023;2023.7;X590781605;31AUG23;14:25:07
"mco";"dgf";"2023";"7";"2023/08/31 14:25:56";="590781605";7;;5;11.4;75.6;78;40;0;20;0;2023;2023.7;X590781605;31AUG23;14:25:07
