"champ";"statut";"annee";"periode";"date du resultat";"ipe";tum1;eff;nbchir;chirurg0;nbmutrf;nbdom;nbdc;nb0j;nbj;agem;type;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/25 12:05:32";="620101337";CA;2164;1225;1224;12;2152;0;2031;183;41.605822551;1;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:32";="620101337";HP;4718;169;169;9;4705;4;2135;2783;51.394921229;1;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:32";="620101337";REA;104;11;9;39;44;21;2;1284;62.423076923;1;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:32";="620101337";SC;205;1;0;10;195;0;9;544;4.6792114935;1;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:32";="620101337";SI;530;32;10;115;386;29;8;5343;66.898113208;1;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:32";="620101337";UHCD;3648;96;21;825;2684;139;789;14361;58.868815339;1;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:32";="620101337";ZAUM;5974;1140;642;388;5445;141;182;33095;33.213494091;1;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:32";="620101337";tot;17343;2674;2075;1398;15611;334;5156;57593;45.470468129;1;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:32";="620101337";CA;2014;1170;1169;12;2002;0;1953;111;41.973187686;2;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:32";="620101337";HP;1442;168;168;7;1431;4;1413;222;50.043161135;2;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:32";="620101337";REA;103;11;9;39;43;21;2;1278;62.776699029;2;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:32";="620101337";SC;204;1;0;10;194;0;9;543;4.6923448832;2;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:32";="620101337";SI;529;32;10;115;385;29;8;5337;66.982986767;2;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:32";="620101337";UHCD;3645;96;21;825;2681;139;788;14355;58.881601744;2;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:32";="620101337";ZAUM;3417;925;524;311;2984;122;140;17893;46.408107729;2;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:32";="620101337";tot;11354;2403;1901;1319;9720;315;4313;39739;50.445078314;2;2023.7;X620101337;25AUG23;12:05:23
