"champ";"statut";"annee";"periode";"date du resultat";"ipe";ghm;ghs;eff;nbj;nb0j;mnt_ghs_am;mnt_exinf_am;mnt_ghs50_am;mnt_exh_am;mnt_9615_am;mnt_rdth_am;mnt_rea_am;mnt_rep_am;mnt_si_am;mnt_sc_am;mnt_suppdia_am;mnt_nn1_am;mnt_nn2_am;mnt_nn3_am;mnt_caisson_am;mnt_ant_am;mnt_rap_am;mnt_fjs_ame;mnt_tjp20_ame;mnt_sdc_am;mnt_ctc_am;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/25 12:07:09";="620101337";06M032;2130;1;10;0;2749.790004;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;2314.94;0;0;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:07:09";="620101337";06M063;2145;1;16;0;3988.1618792;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3685.056;0;0;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:07:09";="620101337";09C291;3631;1;1;0;1104.7463056;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:07:09";="620101337";09K02J;3514;1;0;1;642.1376952;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:07:09";="620101337";09M021;5569;1;1;0;302.632912;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;226.316;0;0;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:07:09";="620101337";09M031;5570;1;1;0;348.131984;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;226.316;0;0;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:07:09";="620101337";14M03T;5481;1;0;1;443.9948448;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:07:09";="620101337";14Z14A;5495;2;8;0;3935.911824;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40;2082.112;0;0;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:07:09";="620101337";18M062;6778;1;13;0;4035.3110936;0;0;0;0;0;0;0;3224.1699792;0;0;0;0;0;0;0;0;20;0;0;0;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:07:09";="620101337";19M22T;5793;1;1;0;292.190496;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:07:09";="620101337";19M22Z;5793;1;2;0;272.8822864;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;460.632;0;0;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:07:09";="620101337";20Z051;5797;4;4;0;1138.7371456;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;80;681.578;0;0;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:07:09";="620101337";21M10T;7616;1;1;0;488.674452;0;0;0;0;0;0;0;358.2411088;0;0;0;0;0;0;0;0;20;0;0;0;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:07:09";="620101337";23K02Z;7959;2;2;0;931.5616752;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;473.892;0;0;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/28 12:10:39";="590782645";04M172;1201;1;17;0;2845.9188912;0;0;284.76972;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1944.29;0;0;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 15:45:12";="020004495";04M052;1143;1;6;0;2840.1252984;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;929.808;0;0;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:45:12";="020004495";09M03T;3524;1;0;1;646.599488;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;143.986;0;0;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:45:12";="020004495";23M20T;7989;1;1;0;612.1888032;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;154.968;0;0;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/29 09:29:50";="590782652";01M21T;337;1;0;1;376.8567816;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;105.448;0;0;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 10:20:22";="600100648";04M03T;5186;1;1;0;296.0072544;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;198.446;0;0;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 10:20:22";="600100648";08C14J;2768;1;0;1;1134.3470112;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;237.892;0;0;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 10:20:22";="600100648";08C45J;2875;1;0;1;1243.0364232;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;237.892;0;0;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 10:20:22";="600100648";08C601;2943;1;1;0;1594.5181824;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;224.042;0;0;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 10:20:22";="600100648";08M151;5532;1;1;0;285.7036104;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;198.446;0;0;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 10:20:22";="600100648";08M36Z;3154;1;17;0;1467.1747584;0;0;1752.2850072;0;0;0;0;0;0;0;0;0;0;0;0;0;20;3373.582;0;0;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 10:20:22";="600100648";09C08J;3347;1;0;1;1073.2708584;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;237.892;0;0;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 10:20:22";="600100648";12C08J;4540;3;0;3;2293.6392648;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;659.388;0;0;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 10:20:22";="600100648";23M20Z;7990;2;11;0;4468.3977312;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40;2182.906;0;0;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 13:06:04";="620000026";01K04J;197;1;0;1;333.13512529;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;210.67;0;0;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:06:04";="620000026";08C351;2821;1;4;0;2294.874521;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;984.832;0;0;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:06:04";="620000026";28Z17Z;9616;1;1;0;290.917736;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;133.228;0;0;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 14:22:03";="620003350";04M052;1143;1;6;0;2763.1968366;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;1140.264;0;0;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:25:37";="620025346";06K04J;2121;1;0;1;604.37614314;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41.302;0;0;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:25:37";="620025346";14Z14A;5495;1;2;0;1914.6512845;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:41:05";="590001749";06M04T;2199;1;1;0;690.85966853;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;176;0;0;2023.7;X590001749;29AUG23;14:40:05
