"champ";"statut";"annee";"periode";"date du resultat";"ipe";col1;col2;_name_;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/28 14:31:09";="020000063";0;0;qte_diffbc;2023.7;X020000063;28AUG23;14:30:50
"mco";"dgf";"2023";"7";"2023/08/28 14:31:09";="020000063";0;0;qte_diffl;2023.7;X020000063;28AUG23;14:30:50
"mco";"dgf";"2023";"7";"2023/08/28 15:42:16";="020004495";0;0;sansrsfl;2023.7;X020004495;28AUG23;15:42:08
"mco";"dgf";"2023";"7";"2023/08/28 15:42:16";="020004495";0;0;sansrsfbc;2023.7;X020004495;28AUG23;15:42:08
"mco";"dgf";"2023";"7";"2023/08/28 15:42:16";="020004495";591;94244;qte_ok;2023.7;X020004495;28AUG23;15:42:08
"mco";"dgf";"2023";"7";"2023/08/28 15:42:16";="020004495";0;;qte_diff;2023.7;X020004495;28AUG23;15:42:08
"mco";"dgf";"2023";"7";"2023/08/28 15:42:16";="020004495";0;0;qte_diffbc;2023.7;X020004495;28AUG23;15:42:08
"mco";"dgf";"2023";"7";"2023/08/28 15:42:16";="020004495";0;0;qte_diffl;2023.7;X020004495;28AUG23;15:42:08
"mco";"dgf";"2023";"7";"2023/08/28 17:55:42";="800000051";0;0;sansrsfl;2023.7;X800000051;28AUG23;17:55:36
"mco";"dgf";"2023";"7";"2023/08/28 17:55:42";="800000051";0;0;sansrsfbc;2023.7;X800000051;28AUG23;17:55:36
"mco";"dgf";"2023";"7";"2023/08/28 17:55:42";="800000051";0;0;qte_ok;2023.7;X800000051;28AUG23;17:55:36
"mco";"dgf";"2023";"7";"2023/08/28 17:55:42";="800000051";0;;qte_diff;2023.7;X800000051;28AUG23;17:55:36
"mco";"dgf";"2023";"7";"2023/08/28 17:55:42";="800000051";0;0;qte_diffbc;2023.7;X800000051;28AUG23;17:55:36
"mco";"dgf";"2023";"7";"2023/08/28 17:55:42";="800000051";0;0;qte_diffl;2023.7;X800000051;28AUG23;17:55:36
"mco";"dgf";"2023";"7";"2023/08/28 18:05:54";="800000036";0;0;sansrsfl;2023.7;X800000036;28AUG23;18:05:49
"mco";"dgf";"2023";"7";"2023/08/28 18:05:54";="800000036";0;0;sansrsfbc;2023.7;X800000036;28AUG23;18:05:49
"mco";"dgf";"2023";"7";"2023/08/28 18:05:54";="800000036";0;0;qte_ok;2023.7;X800000036;28AUG23;18:05:49
"mco";"dgf";"2023";"7";"2023/08/28 18:05:54";="800000036";0;;qte_diff;2023.7;X800000036;28AUG23;18:05:49
"mco";"dgf";"2023";"7";"2023/08/28 18:05:54";="800000036";0;0;qte_diffbc;2023.7;X800000036;28AUG23;18:05:49
"mco";"dgf";"2023";"7";"2023/08/28 18:05:54";="800000036";0;0;qte_diffl;2023.7;X800000036;28AUG23;18:05:49
"mco";"dgf";"2023";"7";"2023/08/29 09:15:25";="020000055";0;0;sansrsfl;2023.7;X020000055;29AUG23;9:15:15
"mco";"dgf";"2023";"7";"2023/08/29 09:15:25";="020000055";0;0;sansrsfbc;2023.7;X020000055;29AUG23;9:15:15
"mco";"dgf";"2023";"7";"2023/08/29 09:15:25";="020000055";0;0;qte_ok;2023.7;X020000055;29AUG23;9:15:15
"mco";"dgf";"2023";"7";"2023/08/29 09:15:25";="020000055";0;;qte_diff;2023.7;X020000055;29AUG23;9:15:15
"mco";"dgf";"2023";"7";"2023/08/29 09:15:25";="020000055";0;0;qte_diffbc;2023.7;X020000055;29AUG23;9:15:15
"mco";"dgf";"2023";"7";"2023/08/29 09:15:25";="020000055";0;0;qte_diffl;2023.7;X020000055;29AUG23;9:15:15
"mco";"dgf";"2023";"7";"2023/08/29 09:49:31";="590782652";0;0;sansrsfl;2023.7;X590782652;29AUG23;9:49:22
"mco";"dgf";"2023";"7";"2023/08/29 09:49:31";="590782652";0;0;sansrsfbc;2023.7;X590782652;29AUG23;9:49:22
"mco";"dgf";"2023";"7";"2023/08/29 09:49:31";="590782652";3044;615162;qte_ok;2023.7;X590782652;29AUG23;9:49:22
"mco";"dgf";"2023";"7";"2023/08/29 09:49:31";="590782652";57;;qte_diff;2023.7;X590782652;29AUG23;9:49:22
"mco";"dgf";"2023";"7";"2023/08/29 09:49:31";="590782652";48;10187;qte_diffbc;2023.7;X590782652;29AUG23;9:49:22
"mco";"dgf";"2023";"7";"2023/08/29 09:49:31";="590782652";9;6070;qte_diffl;2023.7;X590782652;29AUG23;9:49:22
"mco";"dgf";"2023";"7";"2023/08/29 11:59:18";="020000261";0;0;sansrsfl;2023.7;X020000261;29AUG23;11:59:04
"mco";"dgf";"2023";"7";"2023/08/29 11:59:18";="020000261";0;0;sansrsfbc;2023.7;X020000261;29AUG23;11:59:04
"mco";"dgf";"2023";"7";"2023/08/29 11:59:18";="020000261";7992;1261756;qte_ok;2023.7;X020000261;29AUG23;11:59:04
"mco";"dgf";"2023";"7";"2023/08/29 11:59:18";="020000261";1;;qte_diff;2023.7;X020000261;29AUG23;11:59:04
"mco";"dgf";"2023";"7";"2023/08/29 11:59:18";="020000261";0;0;qte_diffbc;2023.7;X020000261;29AUG23;11:59:04
"mco";"dgf";"2023";"7";"2023/08/29 11:59:18";="020000261";1;244;qte_diffl;2023.7;X020000261;29AUG23;11:59:04
"mco";"dgf";"2023";"7";"2023/08/29 13:08:34";="620000026";0;0;sansrsfl;2023.7;X620000026;29AUG23;13:08:26
"mco";"dgf";"2023";"7";"2023/08/29 13:08:34";="620000026";0;0;sansrsfbc;2023.7;X620000026;29AUG23;13:08:26
"mco";"dgf";"2023";"7";"2023/08/29 13:08:34";="620000026";0;0;qte_ok;2023.7;X620000026;29AUG23;13:08:26
"mco";"dgf";"2023";"7";"2023/08/29 13:08:34";="620000026";0;;qte_diff;2023.7;X620000026;29AUG23;13:08:26
"mco";"dgf";"2023";"7";"2023/08/29 13:08:34";="620000026";0;0;qte_diffbc;2023.7;X620000026;29AUG23;13:08:26
"mco";"dgf";"2023";"7";"2023/08/29 13:08:34";="620000026";0;0;qte_diffl;2023.7;X620000026;29AUG23;13:08:26
"mco";"dgf";"2023";"7";"2023/08/29 13:23:06";="590065223";0;0;sansrsfl;2023.7;X590065223;29AUG23;13:22:52
"mco";"dgf";"2023";"7";"2023/08/29 13:23:06";="590065223";0;0;sansrsfbc;2023.7;X590065223;29AUG23;13:22:52
"mco";"dgf";"2023";"7";"2023/08/29 13:23:06";="590065223";60932;10383652;qte_ok;2023.7;X590065223;29AUG23;13:22:52
"mco";"dgf";"2023";"7";"2023/08/29 13:23:06";="590065223";0;;qte_diff;2023.7;X590065223;29AUG23;13:22:52
"mco";"dgf";"2023";"7";"2023/08/29 13:23:06";="590065223";0;0;qte_diffbc;2023.7;X590065223;29AUG23;13:22:52
"mco";"dgf";"2023";"7";"2023/08/29 13:23:06";="590065223";0;0;qte_diffl;2023.7;X590065223;29AUG23;13:22:52
"mco";"dgf";"2023";"7";"2023/08/29 14:03:36";="590000600";0;0;sansrsfl;2023.7;X590000600;29AUG23;14:03:29
"mco";"dgf";"2023";"7";"2023/08/29 14:03:36";="590000600";0;0;sansrsfbc;2023.7;X590000600;29AUG23;14:03:29
"mco";"dgf";"2023";"7";"2023/08/29 14:03:36";="590000600";0;0;qte_ok;2023.7;X590000600;29AUG23;14:03:29
"mco";"dgf";"2023";"7";"2023/08/29 14:03:36";="590000600";0;;qte_diff;2023.7;X590000600;29AUG23;14:03:29
"mco";"dgf";"2023";"7";"2023/08/29 14:03:36";="590000600";0;0;qte_diffbc;2023.7;X590000600;29AUG23;14:03:29
"mco";"dgf";"2023";"7";"2023/08/29 14:03:36";="590000600";0;0;qte_diffl;2023.7;X590000600;29AUG23;14:03:29
"mco";"dgf";"2023";"7";"2023/08/29 14:32:41";="620003350";0;0;sansrsfl;2023.7;X620003350;29AUG23;14:32:33
"mco";"dgf";"2023";"7";"2023/08/29 14:32:41";="620003350";0;0;sansrsfbc;2023.7;X620003350;29AUG23;14:32:33
"mco";"dgf";"2023";"7";"2023/08/29 14:32:41";="620003350";0;0;qte_ok;2023.7;X620003350;29AUG23;14:32:33
"mco";"dgf";"2023";"7";"2023/08/29 14:32:41";="620003350";0;;qte_diff;2023.7;X620003350;29AUG23;14:32:33
"mco";"dgf";"2023";"7";"2023/08/29 14:32:41";="620003350";0;0;qte_diffbc;2023.7;X620003350;29AUG23;14:32:33
"mco";"dgf";"2023";"7";"2023/08/29 14:32:41";="620003350";0;0;qte_diffl;2023.7;X620003350;29AUG23;14:32:33
"mco";"dgf";"2023";"7";"2023/08/29 14:46:24";="590781670";0;0;sansrsfl;2023.7;X590781670;29AUG23;14:46:17
"mco";"dgf";"2023";"7";"2023/08/29 14:46:24";="590781670";0;0;sansrsfbc;2023.7;X590781670;29AUG23;14:46:17
"mco";"dgf";"2023";"7";"2023/08/29 14:46:24";="590781670";0;0;qte_ok;2023.7;X590781670;29AUG23;14:46:17
"mco";"dgf";"2023";"7";"2023/08/29 14:46:24";="590781670";0;;qte_diff;2023.7;X590781670;29AUG23;14:46:17
"mco";"dgf";"2023";"7";"2023/08/29 14:46:24";="590781670";0;0;qte_diffbc;2023.7;X590781670;29AUG23;14:46:17
"mco";"dgf";"2023";"7";"2023/08/29 14:46:24";="590781670";0;0;qte_diffl;2023.7;X590781670;29AUG23;14:46:17
"mco";"dgf";"2023";"7";"2023/08/29 15:41:13";="590001749";0;0;sansrsfl;2023.7;X590001749;29AUG23;15:40:58
"mco";"dgf";"2023";"7";"2023/08/29 15:41:13";="590001749";0;0;sansrsfbc;2023.7;X590001749;29AUG23;15:40:58
"mco";"dgf";"2023";"7";"2023/08/29 15:41:13";="590001749";0;0;qte_ok;2023.7;X590001749;29AUG23;15:40:58
"mco";"dgf";"2023";"7";"2023/08/29 15:41:13";="590001749";0;;qte_diff;2023.7;X590001749;29AUG23;15:40:58
