"champ";"statut";"annee";"periode";"date du resultat";"ipe";libel;dp;eff_sej;eff_mon;dep;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/24 14:38:24";="020000253";PRIVIGEN;D69;1;3;1945.77;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:24";="020000253";PRIVIGEN;K59;1;2;1684.64;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:24";="020000253";REMICADE;K50;11;65;6570.16;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:24";="020000253";REMICADE;M45;8;30;3032.4;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:24";="020000253";REMICADE;K51;4;20;2021.6;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:24";="020000253";REMICADE;M06;4;16;1617.28;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:24";="020000253";REMICADE;M86;1;3;303.24;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:24";="020000253";REMSIMA;K50;39;211;13356.77;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:24";="020000253";REMSIMA;L40;16;70;4431.16;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:24";="020000253";REMSIMA;M07;2;8;506.42;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:24";="020000253";REMSIMA;K51;1;6;379.81;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:24";="020000253";REMSIMA;M79;2;6;379.82;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:24";="020000253";RIXATHON;M06;4;8;836.16;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:24";="020000253";RIXATHON;M31;2;2;209.04;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:24";="020000253";RIXATHON;N04;1;2;209.04;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:24";="020000253";ROACTEMRA;M06;60;144;42309.12;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:24";="020000253";STELARA;K50;2;6;12667.16;2023.7;X020000253;24AUG23;14:38:01
