"champ";"statut";"annee";"periode";"date du resultat";"ipe";racine;ghm;ghs;majo;COUNT;PERCENT;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/25 10:37:31";="620003376";09C22;09C221;3461;;5;9.6153846154;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:31";="620003376";09C22;09C22J;3460;;38;73.076923077;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:31";="620003376";09C22;09C22J;3595;***;9;17.307692308;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:31";="620003376";11C03;11C031;4116;;4;66.666666667;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:31";="620003376";11C03;11C032;4117;;2;33.333333333;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:31";="620003376";13C12;13C12J;4968;;42;100;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:31";="620003376";20Z04;20Z041;7267;;2;100;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 12:05:36";="620101337";04M03;04M031;1134;;5;14.705882353;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:36";="620101337";04M03;04M032;1135;;9;26.470588235;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:36";="620101337";04M03;04M033;1136;;18;52.941176471;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:36";="620101337";04M03;04M034;1137;;2;5.8823529412;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:36";="620101337";06C19;06C191;1991;;3;25;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:36";="620101337";06C19;06C19J;1995;;9;75;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:36";="620101337";08C61;08C613;2950;;1;100;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:36";="620101337";08C62;08C622;2953;;1;16.666666667;2023.7;X620101337;25AUG23;12:05:23
