"champ";"statut";"annee";"periode";"date du resultat";"ipe";racine;ghm;ghs;majo_;COUNT;PERCENT;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/18 15:14:40";="020000022";08M37;08M37T;3173;Plein;4;100;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:14:40";="020000022";09M03;09M03T;3524;Plein;5;100;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:14:40";="020000022";09M05;09M05T;3574;Intermédiaire;1;100;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:14:40";="020000022";10M16;10M16T;3961;Plein;1;100;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:14:40";="020000022";11M02;11M02T;4342;Plein;4;100;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:14:40";="020000022";11M04;11M04T;4297;Plein;2;100;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:14:40";="020000022";16M11;16M11T;6186;Plein;1;100;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:14:40";="020000022";18M04;18M04T;6776;Plein;1;100;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:14:40";="020000022";19M02;19M02T;7068;Plein;1;100;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:14:40";="020000022";19M19;19M19T;7127;Plein;6;100;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:14:40";="020000022";21M07;21M07T;7615;Plein;1;100;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:14:40";="020000022";23M06;23M06T;7967;Plein;4;100;2023.7;X020000022;18AUG23;15:14:25
