"champ";"statut";"annee";"periode";"date du resultat";"ipe";nb;lib;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/28 17:55:42";="800000051";0;Factures avec APE sans code PI,PME, PH8;2023.7;X800000051;28AUG23;17:55:36
"mco";"dgf";"2023";"7";"2023/08/28 17:55:42";="800000051";0;Factures avec code PII ou PME sans APE;2023.7;X800000051;28AUG23;17:55:36
"mco";"dgf";"2023";"7";"2023/08/28 17:55:42";="800000051";0;Factures avec PH8 sans APE;2023.7;X800000051;28AUG23;17:55:36
"mco";"dgf";"2023";"7";"2023/08/28 17:55:42";="800000051";0;Factures avec code PII ou PME  et code PH8;2023.7;X800000051;28AUG23;17:55:36
"mco";"dgf";"2023";"7";"2023/08/28 18:05:54";="800000036";0;Factures avec APE sans code PI,PME, PH8;2023.7;X800000036;28AUG23;18:05:49
"mco";"dgf";"2023";"7";"2023/08/28 18:05:54";="800000036";0;Factures avec code PII ou PME sans APE;2023.7;X800000036;28AUG23;18:05:49
"mco";"dgf";"2023";"7";"2023/08/28 18:05:54";="800000036";0;Factures avec PH8 sans APE;2023.7;X800000036;28AUG23;18:05:49
"mco";"dgf";"2023";"7";"2023/08/28 18:05:54";="800000036";0;Factures avec code PII ou PME  et code PH8;2023.7;X800000036;28AUG23;18:05:49
"mco";"dgf";"2023";"7";"2023/08/29 09:15:24";="020000055";0;Factures avec APE sans code PI,PME, PH8;2023.7;X020000055;29AUG23;9:15:15
"mco";"dgf";"2023";"7";"2023/08/29 09:15:24";="020000055";0;Factures avec code PII ou PME sans APE;2023.7;X020000055;29AUG23;9:15:15
"mco";"dgf";"2023";"7";"2023/08/29 09:15:24";="020000055";0;Factures avec PH8 sans APE;2023.7;X020000055;29AUG23;9:15:15
"mco";"dgf";"2023";"7";"2023/08/29 09:15:24";="020000055";0;Factures avec code PII ou PME  et code PH8;2023.7;X020000055;29AUG23;9:15:15
"mco";"dgf";"2023";"7";"2023/08/29 09:49:31";="590782652";0;Factures avec APE sans code PI,PME, PH8;2023.7;X590782652;29AUG23;9:49:22
"mco";"dgf";"2023";"7";"2023/08/29 09:49:31";="590782652";0;Factures avec code PII ou PME sans APE;2023.7;X590782652;29AUG23;9:49:22
"mco";"dgf";"2023";"7";"2023/08/29 09:49:31";="590782652";0;Factures avec PH8 sans APE;2023.7;X590782652;29AUG23;9:49:22
"mco";"dgf";"2023";"7";"2023/08/29 09:49:31";="590782652";0;Factures avec code PII ou PME  et code PH8;2023.7;X590782652;29AUG23;9:49:22
"mco";"dgf";"2023";"7";"2023/08/29 11:59:18";="020000261";0;Factures avec APE sans code PI,PME, PH8;2023.7;X020000261;29AUG23;11:59:04
"mco";"dgf";"2023";"7";"2023/08/29 11:59:18";="020000261";0;Factures avec code PII ou PME sans APE;2023.7;X020000261;29AUG23;11:59:04
"mco";"dgf";"2023";"7";"2023/08/29 11:59:18";="020000261";0;Factures avec PH8 sans APE;2023.7;X020000261;29AUG23;11:59:04
"mco";"dgf";"2023";"7";"2023/08/29 11:59:18";="020000261";0;Factures avec code PII ou PME  et code PH8;2023.7;X020000261;29AUG23;11:59:04
"mco";"dgf";"2023";"7";"2023/08/29 13:08:34";="620000026";0;Factures avec APE sans code PI,PME, PH8;2023.7;X620000026;29AUG23;13:08:26
"mco";"dgf";"2023";"7";"2023/08/29 13:08:34";="620000026";0;Factures avec code PII ou PME sans APE;2023.7;X620000026;29AUG23;13:08:26
"mco";"dgf";"2023";"7";"2023/08/29 13:08:34";="620000026";0;Factures avec PH8 sans APE;2023.7;X620000026;29AUG23;13:08:26
"mco";"dgf";"2023";"7";"2023/08/29 13:08:34";="620000026";0;Factures avec code PII ou PME  et code PH8;2023.7;X620000026;29AUG23;13:08:26
"mco";"dgf";"2023";"7";"2023/08/29 13:23:05";="590065223";0;Factures avec APE sans code PI,PME, PH8;2023.7;X590065223;29AUG23;13:22:52
"mco";"dgf";"2023";"7";"2023/08/29 13:23:05";="590065223";0;Factures avec code PII ou PME sans APE;2023.7;X590065223;29AUG23;13:22:52
"mco";"dgf";"2023";"7";"2023/08/29 13:23:05";="590065223";0;Factures avec PH8 sans APE;2023.7;X590065223;29AUG23;13:22:52
"mco";"dgf";"2023";"7";"2023/08/29 13:23:05";="590065223";0;Factures avec code PII ou PME  et code PH8;2023.7;X590065223;29AUG23;13:22:52
"mco";"dgf";"2023";"7";"2023/08/29 14:03:35";="590000600";0;Factures avec APE sans code PI,PME, PH8;2023.7;X590000600;29AUG23;14:03:29
"mco";"dgf";"2023";"7";"2023/08/29 14:03:35";="590000600";0;Factures avec code PII ou PME sans APE;2023.7;X590000600;29AUG23;14:03:29
"mco";"dgf";"2023";"7";"2023/08/29 14:03:35";="590000600";0;Factures avec PH8 sans APE;2023.7;X590000600;29AUG23;14:03:29
"mco";"dgf";"2023";"7";"2023/08/29 14:03:35";="590000600";0;Factures avec code PII ou PME  et code PH8;2023.7;X590000600;29AUG23;14:03:29
"mco";"dgf";"2023";"7";"2023/08/29 14:32:40";="620003350";0;Factures avec APE sans code PI,PME, PH8;2023.7;X620003350;29AUG23;14:32:33
