"champ";"statut";"annee";"periode";"date du resultat";"ipe";code13;code;indication;code1;nba;nboka;montanta;nbb;nbokb;montantb;valo;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400891906288;9190628;SANS;9190628;70.25;0;0;339.805;0;0;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400892461397;9246139;NUBID05;9246139;42;42;53.863;42;42;53.863;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400892461397;9246139;NXXXX00;9246139;234;234;300.069;234;234;300.069;-5.68434E-14;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400892461458;9246145;NUBID05;9246145;177;177;283.98;177;177;283.98;5.684342E-14;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400892899473;9289947;NXXXX00;9289947;100;100;579.89;100;100;579.89;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400892911113;9291111;NHYDR02;9291111;9;9;412.084;9;9;412.084;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400892911113;9291111;NXXXX00;9291111;6;6;274.723;6;6;274.723;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400892911113;9291111;NXXXX01;9291111;12;12;549.446;12;12;549.446;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400892935584;9293558;NXXXX00;9293558;11;11;12.43;11;11;12.43;1.776357E-15;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400892944630;9294463;NNITA03;9294463;60;60;6610.61;60;60;6610.61;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400892944630;9294463;NXXXX00;9294463;60;30;3305.305;60;30;3305.305;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400892955285;9295528;NDIAZ02;9295528;1;1;392.797;1;1;392.797;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400892955285;9295528;NXXXX00;9295528;1;1;392.797;1;1;392.797;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400892991764;9299176;NXXXX02;9299176;3;3;18001.08;3;3;18001.08;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400892992136;9299213;NCARB04;9299213;4;4;104867.06;4;4;104867.06;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400892992136;9299213;NXXXX00;9299213;4;4;104867.06;4;4;104867.06;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400892992426;9299242;NXXXX00;9299242;5;5;2440.82;5;5;2440.82;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400892993195;9299319;CURSO01;9299319;18;18;1025.12;18;18;1025.12;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400892993195;9299319;NURSO02;9299319;1;1;56.951;1;1;56.951;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400892993195;9299319;NURSO04;9299319;1;1;56.951;1;1;56.951;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400892995908;9299590;NMAFE03;9299590;30;30;9026.78;30;30;9026.78;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400892996097;9299609;NXXXX00;9299609;3;3;1678.08;3;3;1678.08;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400893000113;9300011;NLORA02;9300011;158;158;1928.251;158;158;1928.251;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400893000113;9300011;NXXXX00;9300011;29;29;353.919;29;29;353.919;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400893000861;9300086;NXXXX00;9300086;3;3;120.21;3;3;120.21;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400893002124;9300212;CTHIO01;9300212;4;4;219.676;4;4;219.676;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400893002124;9300212;NXXXX00;9300212;6;6;329.516;6;6;329.516;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400893133446;9313344;CTHIO01;9313344;162;162;9556.436;162;162;9556.436;1.818989E-12;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400893133446;9313344;NTHIO03;9313344;19;19;1120.818;19;19;1120.818;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400893133446;9313344;NTHIO04;9313344;1;1;58.99;1;1;58.99;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400893133446;9313344;NXXXX00;9313344;5;5;294.952;5;5;294.952;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400893170236;9317023;NSODI02;9317023;26;26;66803.958;26;26;66803.958;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400893170236;9317023;NXXXX00;9317023;13;13;33401.979;13;13;33401.979;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400893214961;9321496;NXXXX00;9321496;0.02;0.02;0.44;0.02;0.02;0.44;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400893309636;9330963;NXXXX00;9330963;28;0;0;28;0;0;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400893556672;9355667;NXXXX00;9355667;3;3;3813.78;3;3;3813.78;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400893740507;9374050;CIPIL01;9374050;13;13;37944.634;13;13;37944.634;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400893810507;9381050;NXXXX00;9381050;0.836;0.836;436.864;0.836;0.836;436.864;-5.68434E-14;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400893815649;9381564;CTHYM01;9381564;213;213;121742.2;213;213;121742.2;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400893815649;9381564;NXXXX00;9381564;205;205;117169.722;205;205;117169.722;2.910383E-11;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400893825983;9382598;NARTE02;9382598;103;67;9879.91;103;67;9879.91;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400893825983;9382598;NXXXX00;9382598;8;8;1179.691;8;8;1179.691;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400893825983;9382598;NXXXX01;9382598;6;6;884.768;6;6;884.768;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400893845516;9384551;NPYRI03;9384551;11;11;15954.37;11;11;15954.37;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400893845516;9384551;NXXXX00;9384551;11.442;11.442;16693.801;11.442;11.442;16693.801;-3.63798E-12;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400893869529;9386952;NALEM02;9386952;68.34;68.34;0;68.34;68.34;0;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400893869529;9386952;NXXXX01;9386952;13.52;13.52;0;13.52;13.52;0;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400893880234;9388023;CRUXO01;9388023;788;788;21409.891;0;0;0;21409.891;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400893884195;9388419;NPERC05;9388419;1;1;12.425;1;1;12.425;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400893884195;9388419;NXXXX00;9388419;1;0;0;1;0;0;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400893924150;9392415;NARGI01;9392415;36;36;392.104;36;36;392.104;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400893924150;9392415;NXXXX00;9392415;16;16;174.269;16;16;174.269;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400893999950;9399995;CAMIK01;9399995;168;168;64498.8;168;168;64498.8;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400894031598;9403159;NDROX02;9403159;100;100;120.01;100;100;120.01;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400894049920;9404992;NCIDO02;9404992;1;1;905.043;1;1;905.043;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400894049920;9404992;NCIDO03;9404992;1.8;1.8;1629.08;1.8;1.8;1629.08;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400894049920;9404992;NCIDO05;9404992;4;4;3620.176;4;4;3620.176;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400894049920;9404992;NCIDO07;9404992;2.286;1.026;928.575;2.286;1.026;928.575;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400894049920;9404992;NXXXX00;9404992;5.176;5.176;4684.508;5.176;5.176;4684.508;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400894061007;9406100;NXXXX00;9406100;123;123;118887.69;120;120;115987.99;2899.7;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400894076483;9407648;CCAPT01;9407648;1;1;151.385;1;1;151.385;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400894076483;9407648;CCAPT02;9407648;1;1;151.385;1;1;151.385;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400894076483;9407648;CCAPT03;9407648;8;8;1211.08;8;8;1211.08;0;2023.7;X590780193;05SEP23;14:08:27
