"champ";"statut";"annee";"periode";"date du resultat";"ipe";date_fin;finessg;um;typ_um;mode_hospit;dateeffet;nblits_g;nbsupth;type;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/25 12:06:53";="620101337";;620000323;0033;02B;C;18/03/2019;6;1272;1;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:53";="620101337";;620000323;0052;03A;C;01/05/2007;8;1696;1;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:53";="620101337";;620000323;0059;04;C;01/01/2005;8;1696;1;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:53";="620101337";;620000323;0034;05;C;01/01/2005;14;2968;1;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:53";="620101337";;620000323;0036;06;C;01/01/2005;11;2332;1;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:53";="620101337";;620000323;0050;14A;C;01/10/2012;4;848;1;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:53";="620101337";;620000323;0025;18;C;31/03/2007;6;1272;1;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:53";="620101337";;620000323;0001;07A;C;01/01/2005;12;2544;2;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:53";="620101337";;620000323;0048;07B;C;01/08/2022;0;0;2;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:53";="620101337";;620000323;0003;08;C;04/09/2017;0;0;2;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:53";="620101337";;620000323;0049;17;C;10/03/2014;10;2120;2;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:53";="620101337";;620000323;0058;27;M;01/01/2009;0;0;2;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:53";="620101337";;620000323;0044;28;M;01/01/2012;0;0;2;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:53";="620101337";;620000323;0046;28;P;01/01/2012;0;0;2;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:53";="620101337";;620000323;0002;29;M;01/01/2019;0;0;2;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:53";="620101337";;620000323;0004;29;P;01/01/2012;0;0;2;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:53";="620101337";;620000323;0006;29;P;01/06/2022;0;0;2;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:53";="620101337";;620000323;0007;29;P;01/01/2012;0;0;2;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:53";="620101337";;620000323;0013;29;M;01/01/2009;0;0;2;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:53";="620101337";;620000323;0015;29;P;01/01/2019;0;0;2;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:53";="620101337";;620000323;0016;29;P;01/01/2012;0;0;2;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:53";="620101337";;620000323;0018;29;P;01/01/2012;0;0;2;2023.7;X620101337;25AUG23;12:05:23
