"champ";"statut";"annee";"periode";"date du resultat";"ipe";ghm;nb_cont;mnt_br_cont;mnt_am_cont;nb_rh;mnt_br_rh;mnt_am_rh;nb_re;mnt_br_re;mnt_am_re;nb_pl;mnt_br_pl;mnt_am_pl;nb_inter;mnt_br_inter;mnt_am_inter;nb_uhcd;mnt_br_uhcd;mnt_am_uhcd;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/22 19:10:28";="590782439";01M12T;1;800.178882;794.57762983;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:10:28";="590782439";01M22T;2;1874.321046;1488.9606389;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:10:28";="590782439";01M32Z;1;820.725558;814.98047909;0;0;0;0;0;0;3;2578.318746;2222.7454154;0;0;0;0;0;0;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:10:28";="590782439";02M09Z;0;0;0;0;0;0;0;0;0;1;723.450117;718.38596618;0;0;0;0;0;0;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:10:28";="590782439";03M05T;4;2712.344076;2289.3540173;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:10:28";="590782439";03M09T;1;1033.010472;820.62351896;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:10:28";="590782439";04M05T;1;750.742746;745.48754678;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:10:28";="590782439";04M07T;2;1584.355656;1258.6121331;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:10:28";="590782439";04M10T;0;0;0;0;0;0;0;0;0;1;974.897118;774.45827054;0;0;0;0;0;0;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:10:28";="590782439";04M111;3;3000.104406;2780.4967635;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:10:28";="590782439";04M20T;2;1475.726382;1172.3170379;0;0;0;0;0;0;1;737.863191;732.69814866;0;0;0;0;0;0;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:10:28";="590782439";04M22Z;1;771.239781;765.84110253;0;0;0;0;0;0;58;43457.791323;40886.428208;5;1880.240004;1791.3949456;0;0;0;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:10:28";="590782439";05M05T;2;1419.95841;1269.016831;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:10:28";="590782439";05M06T;1;839.155629;833.2815396;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:10:28";="590782439";05M08T;2;1863.990423;1480.753992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:10:28";="590782439";05M13T;44;30895.712708;26367.1268;0;0;0;0;0;0;1;717.255903;569.78808934;0;0;0;0;0;0;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:10:28";="590782439";05M20Z;1;787.242086;781.7313914;0;0;0;0;0;0;174;143664.3914;139542.47427;7;2617.226559;2598.9059731;0;0;0;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:10:28";="590782439";05M23T;1;624.440719;496.05570717;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:10:28";="590782439";06M03T;1;778.957491;618.80383085;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:10:28";="590782439";06M12T;17;11820.074834;10222.202027;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:10:28";="590782439";06M18T;1;710.560539;705.58661523;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:10:28";="590782439";07M02T;2;1560.48087;1239.6460031;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:10:28";="590782439";07M04T;1;752.126495;597.48928763;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:10:28";="590782439";08M15T;1;663.312117;658.66893218;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:10:28";="590782439";08M19T;1;779.979837;774.51997814;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:10:28";="590782439";08M221;1;904.495566;898.16409704;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:10:28";="590782439";08M29T;2;1412.551717;1122.131084;0;0;0;0;0;0;1;730.406079;725.29323645;0;0;0;0;0;0;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:10:28";="590782439";08M36T;2;1393.998071;1250.5457415;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:10:28";="590782439";09M03T;1;865.435935;687.50230676;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:10:28";="590782439";09M05T;1;703.123473;698.20160869;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:10:28";="590782439";09M09T;1;958.559628;761.47976848;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:10:28";="590782439";09M12Z;0;0;0;0;0;0;0;0;0;0;0;0;1;355.902072;353.4107575;0;0;0;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:10:28";="590782439";10M16T;1;682.927128;678.1466381;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:10:28";="590782439";11M02T;3;2367.38161;1880.647951;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:10:28";="590782439";11M04T;1;689.522262;547.75648493;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:10:28";="590782439";11M18Z;0;0;0;0;0;0;0;0;0;2;1447.682028;1437.5482538;0;0;0;0;0;0;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:10:28";="590782439";12M07T;1;605.529522;601.29081535;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:10:28";="590782439";17M14Z;1;716.019617;568.80598374;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:10:28";="590782439";19M02T;1;601.169517;477.5690643;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:10:28";="590782439";19M21Z;0;0;0;0;0;0;0;0;0;1;724.700888;719.62798178;0;0;0;0;0;0;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:10:28";="590782439";21M10T;1;654.060888;519.58596943;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:10:28";="590782439";23M19Z;0;0;0;0;0;0;0;0;0;11;8730.100153;8034.7069659;0;0;0;0;0;0;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:10:28";="590782439";23M20T;6;4591.416024;4255.324371;0;0;0;0;0;0;4;2909.23959;2736.8990425;1;355.902072;353.4107575;0;0;0;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/24 14:39:23";="020000253";01M07T;0;0;0;1;738.644985;733.47447011;0;0;0;2;1477.28997;1173.5591522;0;0;0;0;0;0;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:23";="020000253";01M08T;0;0;0;6;4057.931826;3492.2561295;0;0;0;0;0;0;0;0;0;0;0;0;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:23";="020000253";01M09T;0;0;0;4;2567.211036;2549.2405587;0;0;0;0;0;0;0;0;0;0;0;0;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:23";="020000253";01M11T;0;0;0;17;12499.542978;11389.877668;0;0;0;0;0;0;0;0;0;0;0;0;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:23";="020000253";01M16T;1;865.263382;859.20653833;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:23";="020000253";01M201;4;2985.133656;2371.3901763;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:23";="020000253";01M21T;0;0;0;54;25095.405002;22986.000438;0;0;0;2;911.012158;817.26275435;0;0;0;0;0;0;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:23";="020000253";01M231;2;2071.974606;1645.976627;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:23";="020000253";01M32Z;0;0;0;117;101018.99938;99113.229177;0;0;0;6;5272.779564;4712.2830963;0;0;0;0;0;0;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:23";="020000253";01M35T;1;679.592323;539.86814139;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023.7;X020000253;24AUG23;14:38:01
