"champ";"statut";"annee";"periode";"date du resultat";"ipe";ghm;nbsej;valobr;valoam;nbseje;valobre;nbsejinc;valobrinc;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";02M023;1;5680.845963;4512.864033;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";02M041;4;8460.775128;7494.1652988;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";02M042;7;28328.494465;19716.234852;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";02M073;1;4269.222784;4059.3382245;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";02M081;1;344.700993;302.28808605;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";02M082;1;3600.151347;3434.9502876;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";02M083;1;5230.542642;4953.9288435;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";02M08T;1;344.700993;273.83046884;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";02M09Z;3;1460.436672;1263.8480855;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";02M10T;1;417.417858;331.5967464;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";03C071;2;3840.051852;3685.171489;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";03C07J;2;3713.173992;3639.1817741;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";03C091;1;1598.154904;1522.9678197;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";03C09J;3;5020.62853;4305.7808682;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";03C101;7;7218.752175;5607.5693939;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";03C111;1;1760.249283;1398.3420304;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";03C121;4;5187.984984;4895.6690891;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";03C131;11;19180.837434;15219.826388;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";03C14J;2;1421.682366;1363.7305894;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";03C161;1;1971.05905;1893.2616367;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";03C162;2;12910.52607;12632.152388;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";03C16J;2;4081.582114;4005.0110392;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";03C171;1;1465.783566;1164.4184648;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";03C20J;2;4429.905402;4350.8960642;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";03C21J;3;4947.944157;4841.3085479;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";03C241;1;3007.160598;2902.1104738;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";03C27J;16;16840.629328;16151.96967;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";03C28J;23;12967.064381;12193.095503;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";03K03J;6;4583.504092;4503.4195634;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";03K04J;3;1855.178703;1473.7539617;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";03M021;5;2201.892142;1069.1199593;1;856.071448;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";03M02T;9;5475.423178;5199.9926546;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";03M031;5;8651.124696;5636.99561;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";03M032;5;12054.022521;9961.3240219;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";03M03T;16;11310.59423;8985.1360563;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";03M041;2;2014.763322;1600.527983;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";03M042;1;2913.144858;2314.2022752;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";03M043;1;4066.421307;3230.3650863;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";03M04T;2;1841.43118;1680.8255664;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";03M051;7;12500.33746;10680.961729;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";03M052;4;14043.962917;9569.916232;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";03M053;4;17396.121579;15601.302532;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";03M05T;11;5646.770829;4900.1747128;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";03M061;1;1597.143591;1525.9635859;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";03M06T;6;2128.257176;1725.2382459;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";03M071;1;1512.129918;1441.5450086;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";03M072;1;5036.306925;4781.0527765;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";03M073;1;8209.298058;7971.8329716;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";03M081;1;1741.987377;1383.8347723;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";03M091;1;964.75255;766.39942572;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";03M093;1;5438.139018;5240.0720449;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";03M09T;9;7693.323903;5903.1013293;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";03M101;1;1650.557571;1311.2029344;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";03M10T;3;3258.799859;2588.790608;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";03M111;3;1468.867395;786.87413959;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";03M113;1;5930.829606;5649.3137988;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";03M11T;6;3073.111938;2441.2801235;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";03M121;1;1819.392139;1445.3251152;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";03M131;2;1931.652606;1534.5048302;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";03M132;2;6644.797965;5735.3513455;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";03M134;1;8602.849184;8322.6292397;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";03M14Z;8;3965.032902;2976.6347765;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";03M15T;5;2299.125855;1826.4255792;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";04C031;1;2598.913785;2580.7213885;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";04K02J;3;2727.919818;2528.2360873;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";04M021;6;10598.72121;8419.6241292;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";04M022;1;2569.43593;0;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";04M02T;15;9469.572905;6921.8435046;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";04M031;7;11702.971716;9817.6751787;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";04M032;12;36512.556057;32326.492851;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";04M033;9;40884.122745;37642.133961;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";04M03T;7;2492.261776;2082.7946746;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";04M041;4;5208.426051;4137.5736549;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";04M051;10;21698.956107;18255.582292;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";04M052;57;202979.52472;185791.11472;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";04M053;57;293487.9934;271976.24217;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";04M054;11;98894.025462;95241.767284;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";04M05T;15;6923.251307;4416.4019694;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";04M06T;1;852.806955;677.46984505;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";04M071;12;31569.857913;28313.038808;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";04M072;30;132334.77929;123733.24747;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";04M073;42;321231.68255;307155.79109;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";04M074;9;121991.68106;116149.61178;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";04M07T;10;4574.393167;3379.7840371;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";04M081;2;1653.05963;1209.4605837;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";04M082;5;19155.75714;18421.66684;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";04M083;2;13265.30356;12852.446435;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";04M091;4;9960.770981;9731.0455841;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";04M092;4;20051.228956;19150.870353;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";04M093;6;59217.534084;56559.011345;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";04M09T;2;2109.42553;2030.6595513;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";04M101;6;25852.243003;23143.012129;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:02:08";="590781902";04M102;15;60484.480263;54892.910356;0;0;0;0;2023.7;X590781902;07SEP23;20:00:41
