"champ";"statut";"annee";"periode";"date du resultat";"ipe";code;FPL;FPM;FPU;FPV;FPX;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/28 15:42:17";="020004495";FPX;0;0;0;0;0;2023.7;X020004495;28AUG23;15:42:08
"mco";"dgf";"2023";"7";"2023/08/29 09:49:32";="590782652";FPL;0;0;0;0;0;2023.7;X590782652;29AUG23;9:49:22
"mco";"dgf";"2023";"7";"2023/08/29 09:49:32";="590782652";FPM;0;0;0;0;0;2023.7;X590782652;29AUG23;9:49:22
"mco";"dgf";"2023";"7";"2023/08/29 09:49:32";="590782652";FPU;0;0;0;7;2;2023.7;X590782652;29AUG23;9:49:22
"mco";"dgf";"2023";"7";"2023/08/29 09:49:32";="590782652";FPV;0;0;7;0;0;2023.7;X590782652;29AUG23;9:49:22
"mco";"dgf";"2023";"7";"2023/08/29 09:49:32";="590782652";FPX;0;0;2;0;0;2023.7;X590782652;29AUG23;9:49:22
"mco";"dgf";"2023";"7";"2023/08/29 11:59:20";="020000261";FPL;0;0;0;0;0;2023.7;X020000261;29AUG23;11:59:04
"mco";"dgf";"2023";"7";"2023/08/29 11:59:20";="020000261";FPM;0;0;0;0;0;2023.7;X020000261;29AUG23;11:59:04
"mco";"dgf";"2023";"7";"2023/08/29 11:59:20";="020000261";FPU;0;0;0;5;0;2023.7;X020000261;29AUG23;11:59:04
"mco";"dgf";"2023";"7";"2023/08/29 11:59:20";="020000261";FPV;0;0;5;0;0;2023.7;X020000261;29AUG23;11:59:04
"mco";"dgf";"2023";"7";"2023/08/29 11:59:20";="020000261";FPX;0;0;0;0;0;2023.7;X020000261;29AUG23;11:59:04
"mco";"dgf";"2023";"7";"2023/08/29 16:28:06";="620100651";FPL;0;0;0;0;0;2023.7;X620100651;29AUG23;16:27:45
"mco";"dgf";"2023";"7";"2023/08/29 16:28:06";="620100651";FPM;0;0;0;0;0;2023.7;X620100651;29AUG23;16:27:45
"mco";"dgf";"2023";"7";"2023/08/29 16:28:06";="620100651";FPU;0;0;0;9;7;2023.7;X620100651;29AUG23;16:27:45
"mco";"dgf";"2023";"7";"2023/08/29 16:28:06";="620100651";FPV;0;0;9;0;4;2023.7;X620100651;29AUG23;16:27:45
"mco";"dgf";"2023";"7";"2023/08/29 16:28:06";="620100651";FPX;0;0;7;4;0;2023.7;X620100651;29AUG23;16:27:45
"mco";"dgf";"2023";"7";"2023/08/30 08:07:12";="600100713";FPL;0;0;0;0;0;2023.7;X600100713;30AUG23;8:06:51
"mco";"dgf";"2023";"7";"2023/08/30 08:07:12";="600100713";FPM;0;0;0;0;0;2023.7;X600100713;30AUG23;8:06:51
"mco";"dgf";"2023";"7";"2023/08/30 08:07:12";="600100713";FPU;0;0;0;2;23;2023.7;X600100713;30AUG23;8:06:51
"mco";"dgf";"2023";"7";"2023/08/30 08:07:12";="600100713";FPV;0;0;2;0;8;2023.7;X600100713;30AUG23;8:06:51
"mco";"dgf";"2023";"7";"2023/08/30 08:07:12";="600100713";FPX;0;0;23;8;0;2023.7;X600100713;30AUG23;8:06:51
"mco";"dgf";"2023";"7";"2023/08/30 14:08:18";="620101360";FPL;0;0;0;0;0;2023.7;X620101360;30AUG23;14:08:01
"mco";"dgf";"2023";"7";"2023/08/30 14:08:18";="620101360";FPM;0;0;0;0;0;2023.7;X620101360;30AUG23;14:08:01
"mco";"dgf";"2023";"7";"2023/08/30 14:08:18";="620101360";FPU;0;0;0;3;6;2023.7;X620101360;30AUG23;14:08:01
"mco";"dgf";"2023";"7";"2023/08/30 14:08:18";="620101360";FPV;0;0;3;0;0;2023.7;X620101360;30AUG23;14:08:01
"mco";"dgf";"2023";"7";"2023/08/30 14:08:18";="620101360";FPX;0;0;6;0;0;2023.7;X620101360;30AUG23;14:08:01
"mco";"dgf";"2023";"7";"2023/08/30 14:17:42";="590782165";FPL;0;0;0;0;0;2023.7;X590782165;30AUG23;14:17:25
"mco";"dgf";"2023";"7";"2023/08/30 14:17:42";="590782165";FPM;0;0;0;0;0;2023.7;X590782165;30AUG23;14:17:25
"mco";"dgf";"2023";"7";"2023/08/30 14:17:42";="590782165";FPU;0;0;0;9;13;2023.7;X590782165;30AUG23;14:17:25
"mco";"dgf";"2023";"7";"2023/08/30 14:17:42";="590782165";FPV;0;0;9;0;3;2023.7;X590782165;30AUG23;14:17:25
"mco";"dgf";"2023";"7";"2023/08/30 14:17:42";="590782165";FPX;0;0;13;3;0;2023.7;X590782165;30AUG23;14:17:25
"mco";"dgf";"2023";"7";"2023/08/30 15:54:19";="620100685";FPL;0;0;1;0;0;2023.7;X620100685;30AUG23;15:53:57
"mco";"dgf";"2023";"7";"2023/08/30 15:54:19";="620100685";FPM;0;0;0;0;0;2023.7;X620100685;30AUG23;15:53:57
"mco";"dgf";"2023";"7";"2023/08/30 15:54:19";="620100685";FPU;1;0;0;5;24;2023.7;X620100685;30AUG23;15:53:57
"mco";"dgf";"2023";"7";"2023/08/30 15:54:19";="620100685";FPV;0;0;5;0;23;2023.7;X620100685;30AUG23;15:53:57
"mco";"dgf";"2023";"7";"2023/08/30 15:54:19";="620100685";FPX;0;0;24;23;0;2023.7;X620100685;30AUG23;15:53:57
"mco";"dgf";"2023";"7";"2023/08/31 09:35:22";="590783239";FPL;0;0;0;0;0;2023.7;X590783239;31AUG23;9:35:03
"mco";"dgf";"2023";"7";"2023/08/31 09:35:22";="590783239";FPM;0;0;0;0;0;2023.7;X590783239;31AUG23;9:35:03
"mco";"dgf";"2023";"7";"2023/08/31 09:35:22";="590783239";FPU;0;0;0;3;6;2023.7;X590783239;31AUG23;9:35:03
"mco";"dgf";"2023";"7";"2023/08/31 09:35:22";="590783239";FPV;0;0;3;0;3;2023.7;X590783239;31AUG23;9:35:03
"mco";"dgf";"2023";"7";"2023/08/31 09:35:22";="590783239";FPX;0;0;6;3;0;2023.7;X590783239;31AUG23;9:35:03
"mco";"dgf";"2023";"7";"2023/08/31 12:34:13";="020004404";FPL;0;0;2;0;0;2023.7;X020004404;31AUG23;12:33:56
