"champ";"statut";"annee";"periode";"date du resultat";"ipe";titre;nb;periode;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/28 12:51:16";="600100572";Performance Globale;0.8936423436;0;2023.7;X600100572;28AUG23;12:51:09
"mco";"dgf";"2023";"7";"2023/08/28 12:51:16";="600100572";Nombre  de journées;2381;1;2023.7;X600100572;28AUG23;12:51:09
"mco";"dgf";"2023";"7";"2023/08/28 12:51:16";="600100572";Nombre  de journées standardisées;1815.7150415;1;2023.7;X600100572;28AUG23;12:51:09
"mco";"dgf";"2023";"7";"2023/08/28 12:51:16";="600100572";Performance Globale;0.7625850657;1;2023.7;X600100572;28AUG23;12:51:09
"mco";"dgf";"2023";"7";"2023/08/28 15:44:23";="020004495";Nombre  de journées;2970;0;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:44:23";="020004495";Nombre  de journées standardisées;2369.2670713;0;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:44:23";="020004495";Performance Globale;0.7977330206;0;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:44:23";="020004495";Nombre  de journées;4719;1;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:44:23";="020004495";Nombre  de journées standardisées;4347.0520904;1;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:44:23";="020004495";Performance Globale;0.9211807778;1;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/29 09:24:17";="020000055";Nombre  de journées;757;0;2023.7;X020000055;29AUG23;9:24:09
"mco";"dgf";"2023";"7";"2023/08/29 09:24:17";="020000055";Nombre  de journées standardisées;813.19787025;0;2023.7;X020000055;29AUG23;9:24:09
"mco";"dgf";"2023";"7";"2023/08/29 09:24:17";="020000055";Performance Globale;1.0742376093;0;2023.7;X020000055;29AUG23;9:24:09
"mco";"dgf";"2023";"7";"2023/08/29 09:24:17";="020000055";Nombre  de journées;1978;1;2023.7;X020000055;29AUG23;9:24:09
"mco";"dgf";"2023";"7";"2023/08/29 09:24:17";="020000055";Nombre  de journées standardisées;2128.9880547;1;2023.7;X020000055;29AUG23;9:24:09
"mco";"dgf";"2023";"7";"2023/08/29 09:24:17";="020000055";Performance Globale;1.076333698;1;2023.7;X020000055;29AUG23;9:24:09
"mco";"dgf";"2023";"7";"2023/08/29 09:28:22";="590782652";Nombre  de journées;4161;0;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:28:22";="590782652";Nombre  de journées standardisées;4533.2661067;0;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:28:22";="590782652";Performance Globale;1.0894655387;0;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:28:22";="590782652";Nombre  de journées;11309;1;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:28:22";="590782652";Nombre  de journées standardisées;12503.692257;1;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:28:22";="590782652";Performance Globale;1.1056408398;1;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:48:38";="590780052";Nombre  de journées;1325;0;2023.7;X590780052;29AUG23;9:48:30
"mco";"dgf";"2023";"7";"2023/08/29 09:48:38";="590780052";Nombre  de journées standardisées;989.90730543;0;2023.7;X590780052;29AUG23;9:48:30
"mco";"dgf";"2023";"7";"2023/08/29 09:48:38";="590780052";Performance Globale;0.7470998532;0;2023.7;X590780052;29AUG23;9:48:30
"mco";"dgf";"2023";"7";"2023/08/29 09:48:38";="590780052";Nombre  de journées;3284;1;2023.7;X590780052;29AUG23;9:48:30
"mco";"dgf";"2023";"7";"2023/08/29 09:48:38";="590780052";Nombre  de journées standardisées;2634.5867755;1;2023.7;X590780052;29AUG23;9:48:30
"mco";"dgf";"2023";"7";"2023/08/29 09:48:38";="590780052";Performance Globale;0.8022493226;1;2023.7;X590780052;29AUG23;9:48:30
"mco";"dgf";"2023";"7";"2023/08/29 10:19:21";="600100648";Nombre  de journées;2546;0;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 10:19:21";="600100648";Nombre  de journées standardisées;2659.5361818;0;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 10:19:21";="600100648";Performance Globale;1.0445939442;0;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 10:19:21";="600100648";Nombre  de journées;6790;1;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 10:19:21";="600100648";Nombre  de journées standardisées;7060.3668905;1;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 10:19:21";="600100648";Performance Globale;1.0398183933;1;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 13:05:12";="620000026";Nombre  de journées;3794;0;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:12";="620000026";Nombre  de journées standardisées;4198.1066106;0;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:12";="620000026";Performance Globale;1.1065120218;0;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:12";="620000026";Nombre  de journées;8535;1;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:12";="620000026";Nombre  de journées standardisées;10960.195836;1;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:12";="620000026";Performance Globale;1.2841471396;1;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 14:21:07";="620003350";Nombre  de journées;4712;0;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:21:07";="620003350";Nombre  de journées standardisées;4967.7836655;0;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:21:07";="620003350";Performance Globale;1.0542834604;0;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:21:07";="620003350";Nombre  de journées;9387;1;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:21:07";="620003350";Nombre  de journées standardisées;10409.755359;1;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:21:07";="620003350";Performance Globale;1.1089544432;1;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:23:10";="590000600";Nombre  de journées;2048;0;2023.7;X590000600;29AUG23;14:23:02
"mco";"dgf";"2023";"7";"2023/08/29 14:23:10";="590000600";Nombre  de journées standardisées;2426.6094915;0;2023.7;X590000600;29AUG23;14:23:02
"mco";"dgf";"2023";"7";"2023/08/29 14:23:10";="590000600";Performance Globale;1.1848679158;0;2023.7;X590000600;29AUG23;14:23:02
"mco";"dgf";"2023";"7";"2023/08/29 14:23:10";="590000600";Nombre  de journées;4870;1;2023.7;X590000600;29AUG23;14:23:02
"mco";"dgf";"2023";"7";"2023/08/29 14:23:10";="590000600";Nombre  de journées standardisées;5655.0418828;1;2023.7;X590000600;29AUG23;14:23:02
"mco";"dgf";"2023";"7";"2023/08/29 14:23:10";="590000600";Performance Globale;1.1611995653;1;2023.7;X590000600;29AUG23;14:23:02
