"champ";"statut";"annee";"periode";"date du resultat";"ipe";let_ghm;adnp_11;adnp_10;adnp_21;adnp_20;adnp_v1;adnp_v0;adnp_x1;adnp_x0;Total_Dans;Total_Hors;Total;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/29 14:40:29";="590001749";M;4;0;57;2;0;22;0;0;61;24;85;2023.7;X590001749;29AUG23;14:40:05
"mco";"dgf";"2023";"7";"2023/08/29 14:40:29";="590001749";Z;0;0;1;29;0;46;0;0;1;75;76;2023.7;X590001749;29AUG23;14:40:05
"mco";"dgf";"2023";"7";"2023/08/29 14:46:40";="590781670";M;7;0;70;2;1;1;0;0;78;3;81;2023.7;X590781670;29AUG23;14:46:17
"mco";"dgf";"2023";"7";"2023/08/29 14:46:40";="590781670";Z;0;0;1;51;0;20;0;0;1;71;72;2023.7;X590781670;29AUG23;14:46:17
"mco";"dgf";"2023";"7";"2023/08/29 14:50:50";="020000261";C;0;0;127;0;0;1;0;0;127;1;128;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:50:50";="020000261";K;1;0;67;0;0;2;0;0;68;2;70;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:50:50";="020000261";M;5;0;54;0;1;107;0;0;60;107;167;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:50:50";="020000261";Z;0;0;0;0;0;4364;0;0;0;4364;4364;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 16:13:45";="620100651";C;0;0;124;0;5;1;0;0;129;1;130;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:13:45";="620100651";K;0;0;156;0;1;2;0;0;157;2;159;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:13:45";="620100651";M;0;0;531;35;161;301;0;0;692;336;1028;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:13:45";="620100651";Z;0;0;0;0;0;3406;0;0;0;3406;3406;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:40:14";="620027839";K;0;0;0;0;1;0;0;0;1;0;1;2023.7;X620027839;29AUG23;16:39:44
"mco";"dgf";"2023";"7";"2023/08/29 16:40:14";="620027839";Z;0;0;0;0;0;5567;0;0;0;5567;5567;2023.7;X620027839;29AUG23;16:39:44
"mco";"dgf";"2023";"7";"2023/08/30 08:35:43";="590780284";C;3;0;71;0;83;1;0;0;157;1;158;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:35:43";="590780284";K;5;1;79;4;138;10;0;0;222;15;237;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:35:43";="590780284";M;17;69;273;5;232;335;0;0;522;409;931;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:35:43";="590780284";Z;0;4;0;199;0;67;0;0;0;270;270;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:42:47";="020000287";C;20;0;48;0;0;0;0;0;68;0;68;2023.7;X020000287;30AUG23;8:42:17
"mco";"dgf";"2023";"7";"2023/08/30 08:42:47";="020000287";K;23;0;47;0;0;0;0;0;70;0;70;2023.7;X020000287;30AUG23;8:42:17
"mco";"dgf";"2023";"7";"2023/08/30 08:42:47";="020000287";M;3;0;17;1;0;22;0;0;20;23;43;2023.7;X020000287;30AUG23;8:42:17
"mco";"dgf";"2023";"7";"2023/08/30 08:42:47";="020000287";Z;0;0;0;0;0;255;0;0;0;255;255;2023.7;X020000287;30AUG23;8:42:17
"mco";"dgf";"2023";"7";"2023/08/30 10:32:49";="590797353";C;3;0;185;1;191;1;0;0;379;2;381;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:32:49";="590797353";K;1;0;53;0;57;4;0;0;111;4;115;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:32:49";="590797353";M;11;6;156;1;169;230;0;0;336;237;573;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:32:49";="590797353";Z;0;21;5;577;9;902;0;0;14;1500;1514;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 11:29:29";="590782421";C;0;0;295;0;0;0;0;0;295;0;295;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 11:29:29";="590782421";K;1;0;184;0;0;6;0;0;185;6;191;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 11:29:29";="590782421";M;2;0;301;0;3;260;0;0;306;260;566;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 11:29:29";="590782421";Z;0;0;1;140;0;4033;0;0;1;4173;4174;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 12:11:49";="800000051";M;0;0;6;0;0;0;0;0;6;0;6;2023.7;X800000051;30AUG23;12:11:16
"mco";"dgf";"2023";"7";"2023/08/30 12:11:49";="800000051";Z;0;1;0;10;0;1;0;0;0;12;12;2023.7;X800000051;30AUG23;12:11:16
"mco";"dgf";"2023";"7";"2023/08/30 14:11:20";="590782165";C;0;0;37;0;0;1;0;0;37;1;38;2023.7;X590782165;30AUG23;14:10:49
"mco";"dgf";"2023";"7";"2023/08/30 14:11:20";="590782165";K;0;0;98;1;0;4;0;0;98;5;103;2023.7;X590782165;30AUG23;14:10:49
