"champ";"statut";"annee";"periode";"date du resultat";"ipe";racine;nb;nbcode;nb1;nb2;nb3;nb4;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/22 19:09:58";="590782439";02M10;1;1;1;0;0;0;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:58";="590782439";04M05;2;2;2;0;0;0;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:58";="590782439";04M07;2;6;0;1;1;0;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:58";="590782439";04M09;1;1;1;0;0;0;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:58";="590782439";04M20;4;4;4;0;0;0;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:58";="590782439";04M22;3;3;3;0;0;0;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:58";="590782439";05K05;1;1;1;0;0;0;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:58";="590782439";05M05;1;1;1;0;0;0;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:58";="590782439";05M09;3;3;3;0;0;0;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:58";="590782439";05M13;3;3;3;0;0;0;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:58";="590782439";05M20;4;4;4;0;0;0;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:58";="590782439";08M19;2;2;2;0;0;0;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:58";="590782439";08M37;1;1;1;0;0;0;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:58";="590782439";09M05;2;3;1;1;0;0;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:58";="590782439";10M18;1;1;1;0;0;0;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:58";="590782439";11M04;2;4;1;1;0;0;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:58";="590782439";16M11;1;1;1;0;0;0;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:58";="590782439";19M06;1;1;1;0;0;0;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:58";="590782439";21M07;1;2;1;0;0;0;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:58";="590782439";23M06;3;3;3;0;0;0;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:58";="590782439";23M10;2;2;2;0;0;0;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:58";="590782439";23M20;3;3;3;0;0;0;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:58";="590782439";23Z02;1;2;1;0;0;0;2023.7;X590782439;22AUG23;19:09:40
