"champ";"statut";"annee";"periode";"date du resultat";"ipe";code;PU;nb;mnt_br;mnt_remb;nb_fides;mnt_br_fides;mnt_remb_fides;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/25 12:07:05";="620101337";SE3;45.74;30;1365.75066;1292.9106248;0;0;0;2023.7;X620101337;25AUG23;12:06:41
"mco";"dgf";"2023";"7";"2023/08/25 12:07:05";="620101337";SE4;21.7;26;560.98406;509.200916;0;0;0;2023.7;X620101337;25AUG23;12:06:41
"mco";"dgf";"2023";"7";"2023/08/25 12:07:05";="620101337";SE4;22.87;46;1047.075506;992.4454796;0;0;0;2023.7;X620101337;25AUG23;12:06:41
"mco";"dgf";"2023";"7";"2023/08/25 12:07:05";="620101337";SE5;150.36;1;149.653308;149.653308;0;0;0;2023.7;X620101337;25AUG23;12:06:41
"mco";"dgf";"2023";"7";"2023/08/25 12:07:05";="620101337";SE6;293.96;3;876.853284;876.853284;0;0;0;2023.7;X620101337;25AUG23;12:06:41
"mco";"dgf";"2023";"7";"2023/08/25 12:07:05";="620101337";SE6;309.75;6;1849.76505;1664.788545;0;0;0;2023.7;X620101337;25AUG23;12:06:41
"mco";"dgf";"2023";"7";"2023/08/25 14:11:48";="020000287";SE1;81.41;82;6637.568966;5795.7309508;0;0;0;2023.7;X020000287;25AUG23;14:11:36
"mco";"dgf";"2023";"7";"2023/08/25 14:11:48";="020000287";SE1;85.78;180;15367.83012;13455.389038;0;0;0;2023.7;X020000287;25AUG23;14:11:36
"mco";"dgf";"2023";"7";"2023/08/25 14:11:48";="020000287";SE2;65.14;3;194.306106;194.306106;0;0;0;2023.7;X020000287;25AUG23;14:11:36
"mco";"dgf";"2023";"7";"2023/08/25 14:11:48";="020000287";SE2;68.64;2;136.634784;122.9713056;0;0;0;2023.7;X020000287;25AUG23;14:11:36
"mco";"dgf";"2023";"7";"2023/08/25 14:11:48";="020000287";SE3;43.41;3;129.487689;120.8551764;0;0;0;2023.7;X020000287;25AUG23;14:11:36
"mco";"dgf";"2023";"7";"2023/08/25 14:11:48";="020000287";SE3;45.74;1;45.525022;36.4200176;0;0;0;2023.7;X020000287;25AUG23;14:11:36
"mco";"dgf";"2023";"7";"2023/08/25 14:11:48";="020000287";SE4;21.7;15;323.64465;293.437816;0;0;0;2023.7;X020000287;25AUG23;14:11:36
"mco";"dgf";"2023";"7";"2023/08/25 14:11:48";="020000287";SE4;22.87;35;796.687885;737.5053564;0;0;0;2023.7;X020000287;25AUG23;14:11:36
"mco";"dgf";"2023";"7";"2023/08/25 15:06:52";="590785374";SE1;81.41;24;1896.20172;1785.589953;0;0;0;2023.7;X590785374;25AUG23;15:06:41
"mco";"dgf";"2023";"7";"2023/08/25 15:06:52";="590785374";SE1;83.65;5;418.26328;368.0716864;0;0;0;2023.7;X590785374;25AUG23;15:06:41
"mco";"dgf";"2023";"7";"2023/08/25 15:06:52";="590785374";SE1;85.78;43;3572.797046;3273.5415068;0;0;0;2023.7;X590785374;25AUG23;15:06:41
"mco";"dgf";"2023";"7";"2023/08/28 12:09:52";="590782645";SE4;22.87;2;45.525022;36.4200176;0;0;0;2023.7;X590782645;28AUG23;12:09:43
"mco";"dgf";"2023";"7";"2023/08/28 12:52:23";="590782421";SE1;81.41;285;23078.461197;21101.607351;0;0;0;2023.7;X590782421;28AUG23;12:51:57
"mco";"dgf";"2023";"7";"2023/08/28 12:52:23";="590782421";SE1;85.78;563;48067.157542;44054.446344;0;0;0;2023.7;X590782421;28AUG23;12:51:57
