"champ";"statut";"annee";"periode";"date du resultat";"ipe";gdreg;gestion;comp;abs;nb;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/10 13:22:52";="590780227";04;51;0451;***;1;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:52";="590780227";06;10;0610;;1;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:52";="590780227";07;07;0707;;100;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:52";="590780227";07;10;0710;***;1;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:52";="590780227";07;M1;07M1;;12;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:52";="590780227";07;M2;07M2;;584;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:52";="590780227";08;04;0804;***;1;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:52";="590780227";08;08;0808;;95;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:52";="590780227";08;10;0810;;95;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:52";="590780227";08;11;0811;;50;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:52";="590780227";08;12;0812;;13;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:52";="590780227";10;09;1009;***;3;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:52";="590780227";10;10;1010;;116;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:52";="590780227";10;11;1011;;48;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:52";="590780227";10;12;1012;;1;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:52";="590780227";17;10;1710;***;3;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:52";="590780227";90;10;9010;;6;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:52";="590780227";90;11;9011;;2;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:52";="590780227";90;70;9070;;6;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:52";="590780227";90;90;9090;;1;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:52";="590780227";91;10;9110;;270;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:52";="590780227";91;11;9111;;19;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:52";="590780227";91;12;9112;;108;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:52";="590780227";91;23;9123;;2599;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:52";="590780227";91;29;9129;;42;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:52";="590780227";91;89;9189;;2;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:52";="590780227";93;23;9323;;96;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:52";="590780227";99;10;9910;;6;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:52";="590780227";99;12;9912;;14;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:52";="590780227";99;23;9923;;357;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:52";="590780227";99;24;9924;;313;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:52";="590780227";99;29;9929;;7;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/18 15:14:43";="020000022";01;10;0110;;1766;2023.7;X020000022;18AUG23;15:14:32
"mco";"dgf";"2023";"7";"2023/08/18 15:14:43";="020000022";01;11;0111;;1447;2023.7;X020000022;18AUG23;15:14:32
"mco";"dgf";"2023";"7";"2023/08/18 15:14:43";="020000022";01;12;0112;;247;2023.7;X020000022;18AUG23;15:14:32
"mco";"dgf";"2023";"7";"2023/08/18 15:14:43";="020000022";01;18;0118;;107;2023.7;X020000022;18AUG23;15:14:32
"mco";"dgf";"2023";"7";"2023/08/18 15:14:43";="020000022";01;23;0123;;45;2023.7;X020000022;18AUG23;15:14:32
"mco";"dgf";"2023";"7";"2023/08/18 15:14:43";="020000022";01;29;0129;;253;2023.7;X020000022;18AUG23;15:14:32
"mco";"dgf";"2023";"7";"2023/08/18 15:14:43";="020000022";01;89;0189;;371;2023.7;X020000022;18AUG23;15:14:32
"mco";"dgf";"2023";"7";"2023/08/18 15:14:43";="020000022";01;90;0190;;29;2023.7;X020000022;18AUG23;15:14:32
"mco";"dgf";"2023";"7";"2023/08/18 15:14:43";="020000022";02;A1;02A1;;204;2023.7;X020000022;18AUG23;15:14:32
"mco";"dgf";"2023";"7";"2023/08/18 15:14:43";="020000022";02;A2;02A2;;166;2023.7;X020000022;18AUG23;15:14:32
"mco";"dgf";"2023";"7";"2023/08/18 15:14:43";="020000022";04;04;0404;;14;2023.7;X020000022;18AUG23;15:14:32
"mco";"dgf";"2023";"7";"2023/08/18 15:14:43";="020000022";05;51;0551;;3;2023.7;X020000022;18AUG23;15:14:32
"mco";"dgf";"2023";"7";"2023/08/18 15:14:43";="020000022";08;08;0808;;23;2023.7;X020000022;18AUG23;15:14:32
"mco";"dgf";"2023";"7";"2023/08/18 15:14:43";="020000022";10;10;1010;;23;2023.7;X020000022;18AUG23;15:14:32
"mco";"dgf";"2023";"7";"2023/08/18 15:14:43";="020000022";91;10;9110;;38;2023.7;X020000022;18AUG23;15:14:32
"mco";"dgf";"2023";"7";"2023/08/18 15:14:43";="020000022";91;12;9112;;8;2023.7;X020000022;18AUG23;15:14:32
"mco";"dgf";"2023";"7";"2023/08/18 15:14:43";="020000022";91;23;9123;;173;2023.7;X020000022;18AUG23;15:14:32
"mco";"dgf";"2023";"7";"2023/08/18 15:14:43";="020000022";91;29;9129;;9;2023.7;X020000022;18AUG23;15:14:32
"mco";"dgf";"2023";"7";"2023/08/18 15:14:43";="020000022";93;23;9323;;2;2023.7;X020000022;18AUG23;15:14:32
"mco";"dgf";"2023";"7";"2023/08/18 15:14:43";="020000022";99;23;9923;;15;2023.7;X020000022;18AUG23;15:14:32
"mco";"dgf";"2023";"7";"2023/08/18 15:14:43";="020000022";99;24;9924;;23;2023.7;X020000022;18AUG23;15:14:32
"mco";"dgf";"2023";"7";"2023/08/21 15:04:25";="600100572";01;10;0110;;6384;2023.7;X600100572;21AUG23;15:04:16
"mco";"dgf";"2023";"7";"2023/08/21 15:04:25";="600100572";01;11;0111;;2683;2023.7;X600100572;21AUG23;15:04:16
"mco";"dgf";"2023";"7";"2023/08/21 15:04:25";="600100572";01;12;0112;;512;2023.7;X600100572;21AUG23;15:04:16
"mco";"dgf";"2023";"7";"2023/08/21 15:04:25";="600100572";01;18;0118;;92;2023.7;X600100572;21AUG23;15:04:16
"mco";"dgf";"2023";"7";"2023/08/21 15:04:25";="600100572";01;23;0123;;204;2023.7;X600100572;21AUG23;15:04:16
"mco";"dgf";"2023";"7";"2023/08/21 15:04:25";="600100572";01;24;0124;;1;2023.7;X600100572;21AUG23;15:04:16
"mco";"dgf";"2023";"7";"2023/08/21 15:04:25";="600100572";01;29;0129;;578;2023.7;X600100572;21AUG23;15:04:16
"mco";"dgf";"2023";"7";"2023/08/21 15:04:25";="600100572";01;34;0134;;3;2023.7;X600100572;21AUG23;15:04:16
"mco";"dgf";"2023";"7";"2023/08/21 15:04:25";="600100572";01;89;0189;;531;2023.7;X600100572;21AUG23;15:04:16
"mco";"dgf";"2023";"7";"2023/08/21 15:04:25";="600100572";01;90;0190;;22;2023.7;X600100572;21AUG23;15:04:16
"mco";"dgf";"2023";"7";"2023/08/21 15:04:25";="600100572";02;A1;02A1;;438;2023.7;X600100572;21AUG23;15:04:16
"mco";"dgf";"2023";"7";"2023/08/21 15:04:25";="600100572";02;A2;02A2;;134;2023.7;X600100572;21AUG23;15:04:16
"mco";"dgf";"2023";"7";"2023/08/21 15:04:25";="600100572";04;04;0404;;91;2023.7;X600100572;21AUG23;15:04:16
"mco";"dgf";"2023";"7";"2023/08/21 15:04:25";="600100572";05;53;0553;;8;2023.7;X600100572;21AUG23;15:04:16
"mco";"dgf";"2023";"7";"2023/08/21 15:04:25";="600100572";05;T1;05T1;;31;2023.7;X600100572;21AUG23;15:04:16
"mco";"dgf";"2023";"7";"2023/08/21 15:04:25";="600100572";07;10;0710;***;1;2023.7;X600100572;21AUG23;15:04:16
"mco";"dgf";"2023";"7";"2023/08/21 15:04:25";="600100572";08;08;0808;;1;2023.7;X600100572;21AUG23;15:04:16
"mco";"dgf";"2023";"7";"2023/08/21 15:04:25";="600100572";08;10;0810;;39;2023.7;X600100572;21AUG23;15:04:16
"mco";"dgf";"2023";"7";"2023/08/21 15:04:25";="600100572";08;11;0811;;13;2023.7;X600100572;21AUG23;15:04:16
"mco";"dgf";"2023";"7";"2023/08/21 15:04:25";="600100572";08;12;0812;;3;2023.7;X600100572;21AUG23;15:04:16
"mco";"dgf";"2023";"7";"2023/08/21 15:04:25";="600100572";10;10;1010;;35;2023.7;X600100572;21AUG23;15:04:16
"mco";"dgf";"2023";"7";"2023/08/21 15:04:25";="600100572";10;11;1011;;9;2023.7;X600100572;21AUG23;15:04:16
"mco";"dgf";"2023";"7";"2023/08/21 15:04:25";="600100572";90;10;9010;;5;2023.7;X600100572;21AUG23;15:04:16
"mco";"dgf";"2023";"7";"2023/08/21 15:04:25";="600100572";91;10;9110;;80;2023.7;X600100572;21AUG23;15:04:16
"mco";"dgf";"2023";"7";"2023/08/21 15:04:25";="600100572";91;23;9123;;503;2023.7;X600100572;21AUG23;15:04:16
"mco";"dgf";"2023";"7";"2023/08/21 15:04:25";="600100572";93;23;9323;;47;2023.7;X600100572;21AUG23;15:04:16
"mco";"dgf";"2023";"7";"2023/08/21 15:04:25";="600100572";93;29;9329;;3;2023.7;X600100572;21AUG23;15:04:16
"mco";"dgf";"2023";"7";"2023/08/21 15:04:25";="600100572";99;23;9923;;39;2023.7;X600100572;21AUG23;15:04:16
"mco";"dgf";"2023";"7";"2023/08/21 15:04:25";="600100572";99;24;9924;;91;2023.7;X600100572;21AUG23;15:04:16
"mco";"dgf";"2023";"7";"2023/08/21 15:04:25";="600100572";99;29;9929;;1;2023.7;X600100572;21AUG23;15:04:16
