"champ";"statut";"annee";"periode";"date du resultat";"ipe";datedeb;typ_um;nblits;date_fin;nbj;nbsupp;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/30 11:30:28";="590782421";01/01/2023;02;22;;212;4664;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 11:30:28";="590782421";01/01/2023;03;16;;212;3392;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 12:12:28";="800000051";01/01/2023;02;0;;212;0;2023.7;X800000051;30AUG23;12:11:16
"mco";"dgf";"2023";"7";"2023/08/30 12:12:28";="800000051";01/01/2023;03;0;;212;0;2023.7;X800000051;30AUG23;12:11:16
"mco";"dgf";"2023";"7";"2023/08/30 13:42:41";="800000135";01/01/2023;02;0;;212;0;2023.7;X800000135;30AUG23;13:41:48
"mco";"dgf";"2023";"7";"2023/08/30 13:42:41";="800000135";01/01/2023;03;0;;212;0;2023.7;X800000135;30AUG23;13:41:48
"mco";"dgf";"2023";"7";"2023/08/30 14:12:04";="590782165";01/01/2023;02;0;;212;0;2023.7;X590782165;30AUG23;14:10:49
"mco";"dgf";"2023";"7";"2023/08/30 14:12:04";="590782165";01/01/2023;03;6;;212;1272;2023.7;X590782165;30AUG23;14:10:49
"mco";"dgf";"2023";"7";"2023/08/30 14:40:07";="620101360";01/01/2023;02;6;;212;1272;2023.7;X620101360;30AUG23;14:38:44
"mco";"dgf";"2023";"7";"2023/08/30 14:40:07";="620101360";01/01/2023;03;6;;212;1272;2023.7;X620101360;30AUG23;14:38:44
"mco";"dgf";"2023";"7";"2023/08/30 14:56:34";="590781662";01/01/2023;02;0;;212;0;2023.7;X590781662;30AUG23;14:55:22
"mco";"dgf";"2023";"7";"2023/08/30 14:56:34";="590781662";01/01/2023;03;8;;212;1696;2023.7;X590781662;30AUG23;14:55:22
"mco";"dgf";"2023";"7";"2023/08/30 15:05:25";="590781621";01/01/2023;02;0;;212;0;2023.7;X590781621;30AUG23;15:03:46
"mco";"dgf";"2023";"7";"2023/08/30 15:05:25";="590781621";01/01/2023;03;6;;212;1272;2023.7;X590781621;30AUG23;15:03:46
"mco";"dgf";"2023";"7";"2023/08/30 15:20:04";="590052056";01/01/2023;02;0;;212;0;2023.7;X590052056;30AUG23;15:19:03
"mco";"dgf";"2023";"7";"2023/08/30 15:20:04";="590052056";01/01/2023;03;6;;212;1272;2023.7;X590052056;30AUG23;15:19:03
"mco";"dgf";"2023";"7";"2023/08/30 16:35:27";="590781795";01/01/2023;02;0;;212;0;2023.7;X590781795;30AUG23;16:33:32
"mco";"dgf";"2023";"7";"2023/08/30 16:35:27";="590781795";01/01/2023;03;0;;212;0;2023.7;X590781795;30AUG23;16:33:32
