"champ";"statut";"annee";"periode";"date du resultat";"ipe";code;mnt;mnt_am;mnt_br_fides;mnt_remb_fides;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/25 11:33:19";="600100648";CCAM;598405.19;474734.27647;588671.58;465516.53247;2023.7;X600100648;25AUG23;11:32:38
"mco";"dgf";"2023";"7";"2023/08/25 11:33:19";="600100648";SE;6225.463577;5705.5593394;0;0;2023.7;X600100648;25AUG23;11:32:38
"mco";"dgf";"2023";"7";"2023/08/25 11:33:19";="600100648";NGAP;431358.06;331423.014;431803.02;331938.266;2023.7;X600100648;25AUG23;11:32:38
"mco";"dgf";"2023";"7";"2023/08/25 11:33:19";="600100648";DMI;0;0;0;0;2023.7;X600100648;25AUG23;11:32:38
"mco";"dgf";"2023";"7";"2023/08/25 11:33:19";="600100648";MED;0;0;0;0;2023.7;X600100648;25AUG23;11:32:38
"mco";"dgf";"2023";"7";"2023/08/25 11:33:19";="600100648";INNOVATION;0;0;0;0;2023.7;X600100648;25AUG23;11:32:38
"mco";"dgf";"2023";"7";"2023/08/25 11:33:19";="600100648";URGENCE;1424860.15;1424860.1461;0;0;2023.7;X600100648;25AUG23;11:32:38
"mco";"dgf";"2023";"7";"2023/08/25 12:07:07";="620101337";ATU;37582.883212;30556.242935;0;0;2023.7;X620101337;25AUG23;12:06:41
"mco";"dgf";"2023";"7";"2023/08/25 12:07:07";="620101337";FFM;0;0;0;0;2023.7;X620101337;25AUG23;12:06:41
"mco";"dgf";"2023";"7";"2023/08/25 12:07:07";="620101337";DIALYSE;0;0;0;0;2023.7;X620101337;25AUG23;12:06:41
"mco";"dgf";"2023";"7";"2023/08/25 12:07:07";="620101337";FTN;1542960.13;1542959.7842;1373556.72;1373556.3742;2023.7;X620101337;25AUG23;12:06:41
"mco";"dgf";"2023";"7";"2023/08/25 12:07:07";="620101337";CCAM;2112520.45;1797796.7038;2010694.03;1707515.0168;2023.7;X620101337;25AUG23;12:06:41
"mco";"dgf";"2023";"7";"2023/08/25 12:07:07";="620101337";SE;62371.442055;58390.962352;0;0;2023.7;X620101337;25AUG23;12:06:41
"mco";"dgf";"2023";"7";"2023/08/25 12:07:07";="620101337";NGAP;2397511.835;2023601.2496;2337747.145;1973400.4466;2023.7;X620101337;25AUG23;12:06:41
"mco";"dgf";"2023";"7";"2023/08/25 12:07:07";="620101337";DMI;0;0;0;0;2023.7;X620101337;25AUG23;12:06:41
"mco";"dgf";"2023";"7";"2023/08/25 12:07:07";="620101337";MED;0;0;0;0;2023.7;X620101337;25AUG23;12:06:41
