"champ";"statut";"annee";"periode";"date du resultat";"ipe";cage;cpt;nb;pct;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/09/01 13:08:28";="800000028";>=35 ans;4;24;17.910447761;2023.7;X800000028;01SEP23;13:07:27
"mco";"dgf";"2023";"7";"2023/09/01 14:03:23";="590783239";<15 ans;1;3;0.9523809524;2023.7;X590783239;01SEP23;14:02:13
"mco";"dgf";"2023";"7";"2023/09/01 14:03:23";="590783239";[15 ans- 25 ans[;2;128;40.634920635;2023.7;X590783239;01SEP23;14:02:13
"mco";"dgf";"2023";"7";"2023/09/01 14:03:23";="590783239";[25 ans- 35 ans[;3;123;39.047619048;2023.7;X590783239;01SEP23;14:02:13
"mco";"dgf";"2023";"7";"2023/09/01 14:03:23";="590783239";>=35 ans;4;61;19.365079365;2023.7;X590783239;01SEP23;14:02:13
"mco";"dgf";"2023";"7";"2023/09/01 16:56:28";="020000063";<15 ans;1;3;1.2345679012;2023.7;X020000063;01SEP23;16:55:02
"mco";"dgf";"2023";"7";"2023/09/01 16:56:28";="020000063";[15 ans- 25 ans[;2;102;41.975308642;2023.7;X020000063;01SEP23;16:55:02
"mco";"dgf";"2023";"7";"2023/09/01 16:56:28";="020000063";[25 ans- 35 ans[;3;97;39.917695473;2023.7;X020000063;01SEP23;16:55:02
"mco";"dgf";"2023";"7";"2023/09/01 16:56:28";="020000063";>=35 ans;4;41;16.872427984;2023.7;X020000063;01SEP23;16:55:02
"mco";"dgf";"2023";"7";"2023/09/04 15:54:55";="620103432";[15 ans- 25 ans[;2;41;29.285714286;2023.7;X620103432;04SEP23;15:53:55
"mco";"dgf";"2023";"7";"2023/09/04 15:54:55";="620103432";[25 ans- 35 ans[;3;74;52.857142857;2023.7;X620103432;04SEP23;15:53:55
"mco";"dgf";"2023";"7";"2023/09/04 15:54:55";="620103432";>=35 ans;4;25;17.857142857;2023.7;X620103432;04SEP23;15:53:55
"mco";"dgf";"2023";"7";"2023/09/05 09:24:21";="590782637";[15 ans- 25 ans[;2;126;35.195530726;2023.7;X590782637;05SEP23;9:23:23
"mco";"dgf";"2023";"7";"2023/09/05 09:24:21";="590782637";[25 ans- 35 ans[;3;134;37.430167598;2023.7;X590782637;05SEP23;9:23:23
"mco";"dgf";"2023";"7";"2023/09/05 09:24:21";="590782637";>=35 ans;4;98;27.374301676;2023.7;X590782637;05SEP23;9:23:23
"mco";"dgf";"2023";"7";"2023/09/05 12:10:17";="590781803";<15 ans;1;1;1.2345679012;2023.7;X590781803;05SEP23;12:09:07
"mco";"dgf";"2023";"7";"2023/09/05 12:10:17";="590781803";[15 ans- 25 ans[;2;29;35.802469136;2023.7;X590781803;05SEP23;12:09:07
"mco";"dgf";"2023";"7";"2023/09/05 12:10:17";="590781803";[25 ans- 35 ans[;3;35;43.209876543;2023.7;X590781803;05SEP23;12:09:07
"mco";"dgf";"2023";"7";"2023/09/05 12:10:17";="590781803";>=35 ans;4;16;19.75308642;2023.7;X590781803;05SEP23;12:09:07
"mco";"dgf";"2023";"7";"2023/09/05 17:41:30";="590780227";[15 ans- 25 ans[;2;32;26.890756303;2023.7;X590780227;05SEP23;17:40:33
"mco";"dgf";"2023";"7";"2023/09/05 17:41:30";="590780227";[25 ans- 35 ans[;3;55;46.218487395;2023.7;X590780227;05SEP23;17:40:33
"mco";"dgf";"2023";"7";"2023/09/05 17:41:30";="590780227";>=35 ans;4;32;26.890756303;2023.7;X590780227;05SEP23;17:40:33
"mco";"dgf";"2023";"7";"2023/09/05 17:45:46";="800000044";<15 ans;1;1;0.395256917;2023.7;X800000044;05SEP23;17:44:11
"mco";"dgf";"2023";"7";"2023/09/05 17:45:46";="800000044";[15 ans- 25 ans[;2;94;37.154150198;2023.7;X800000044;05SEP23;17:44:11
"mco";"dgf";"2023";"7";"2023/09/05 17:45:46";="800000044";[25 ans- 35 ans[;3;107;42.292490119;2023.7;X800000044;05SEP23;17:44:11
"mco";"dgf";"2023";"7";"2023/09/05 17:45:46";="800000044";>=35 ans;4;51;20.158102767;2023.7;X800000044;05SEP23;17:44:11
"mco";"dgf";"2023";"7";"2023/09/07 20:01:42";="590781902";[15 ans- 25 ans[;2;120;36.253776435;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:01:42";="590781902";[25 ans- 35 ans[;3;150;45.317220544;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:01:42";="590781902";>=35 ans;4;61;18.429003021;2023.7;X590781902;07SEP23;20:00:41
