"champ";"statut";"annee";"periode";"date du resultat";"ipe";ghm;dstot0;dstot1;dstot2;dstots2;duree;pct0;pct1;pct2;pcts2;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/29 14:50:34";="020000261";08C311;3;4;0;0;7;42.857142857;57.142857143;0;0;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:50:34";="020000261";08C331;7;1;0;2;10;70;10;0;20;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:50:34";="020000261";08C531;1;1;1;1;4;25;25;25;25;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:50:34";="020000261";08C611;1;0;0;0;1;100;0;0;0;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:50:34";="020000261";10C071;1;0;0;0;1;100;0;0;0;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:50:34";="020000261";11C061;1;0;0;0;1;100;0;0;0;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:50:34";="020000261";13C051;1;0;0;0;1;100;0;0;0;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 16:13:26";="620100651";07C101;2;0;0;0;2;100;0;0;0;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:13:26";="620100651";07C131;1;0;2;12;15;6.6666666667;0;13.333333333;80;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:13:26";="620100651";08C481;6;2;1;18;27;22.222222222;7.4074074074;3.7037037037;66.666666667;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:13:26";="620100651";09C191;1;0;0;2;3;33.333333333;0;0;66.666666667;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:13:26";="620100651";13C051;2;0;1;0;3;66.666666667;0;33.333333333;0;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:13:26";="620100651";13C151;1;3;0;0;4;25;75;0;0;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/30 08:35:26";="590780284";04C031;1;1;0;0;2;50;50;0;0;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:35:26";="590780284";05C141;1;5;16;8;30;3.3333333333;16.666666667;53.333333333;26.666666667;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:35:26";="590780284";06C091;3;9;11;4;27;11.111111111;33.333333333;40.740740741;14.814814815;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:35:26";="590780284";06C151;4;0;0;0;4;100;0;0;0;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:35:26";="590780284";07C101;1;0;2;1;4;25;0;50;25;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:35:26";="590780284";07C121;2;0;1;4;7;28.571428571;0;14.285714286;57.142857143;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:35:26";="590780284";08C271;9;18;14;3;44;20.454545455;40.909090909;31.818181818;6.8181818182;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:35:26";="590780284";08C311;1;2;0;0;3;33.333333333;66.666666667;0;0;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:35:26";="590780284";08C331;1;0;0;0;1;100;0;0;0;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:35:26";="590780284";09C331;1;0;2;0;3;33.333333333;0;66.666666667;0;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:35:26";="590780284";10C101;5;1;1;2;9;55.555555556;11.111111111;11.111111111;22.222222222;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:35:26";="590780284";11C031;1;2;5;1;9;11.111111111;22.222222222;55.555555556;11.111111111;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:35:26";="590780284";12C051;3;0;0;0;3;100;0;0;0;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:42:31";="020000287";04C031;1;0;0;0;1;100;0;0;0;2023.7;X020000287;30AUG23;8:42:17
"mco";"dgf";"2023";"7";"2023/08/30 08:42:31";="020000287";06C151;1;0;0;0;1;100;0;0;0;2023.7;X020000287;30AUG23;8:42:17
"mco";"dgf";"2023";"7";"2023/08/30 08:42:31";="020000287";07C131;2;0;0;1;3;66.666666667;0;0;33.333333333;2023.7;X020000287;30AUG23;8:42:17
"mco";"dgf";"2023";"7";"2023/08/30 08:42:31";="020000287";08C331;4;0;0;0;4;100;0;0;0;2023.7;X020000287;30AUG23;8:42:17
"mco";"dgf";"2023";"7";"2023/08/30 08:42:31";="020000287";08C531;1;0;0;1;2;50;0;0;50;2023.7;X020000287;30AUG23;8:42:17
"mco";"dgf";"2023";"7";"2023/08/30 08:42:31";="020000287";17C061;1;0;0;0;1;100;0;0;0;2023.7;X020000287;30AUG23;8:42:17
"mco";"dgf";"2023";"7";"2023/08/30 08:42:31";="020000287";17C071;1;0;0;0;1;100;0;0;0;2023.7;X020000287;30AUG23;8:42:17
"mco";"dgf";"2023";"7";"2023/08/30 10:32:28";="590797353";03C261;3;3;0;0;6;50;50;0;0;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:32:28";="590797353";06C091;1;15;26;11;53;1.8867924528;28.301886792;49.056603774;20.754716981;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:32:28";="590797353";06C151;2;0;0;0;2;100;0;0;0;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:32:28";="590797353";07C131;9;1;1;4;15;60;6.6666666667;6.6666666667;26.666666667;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:32:28";="590797353";08C251;3;1;0;1;5;60;20;0;20;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:32:28";="590797353";08C311;7;6;4;2;19;36.842105263;31.578947368;21.052631579;10.526315789;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:32:28";="590797353";08C331;15;0;1;0;16;93.75;0;6.25;0;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:32:28";="590797353";08C501;1;0;0;0;1;100;0;0;0;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:32:28";="590797353";09C271;1;0;0;1;2;50;0;0;50;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:32:28";="590797353";09C331;1;0;0;0;1;100;0;0;0;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:32:28";="590797353";10C071;1;2;0;0;3;33.333333333;66.666666667;0;0;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:32:28";="590797353";11C061;3;0;0;0;3;100;0;0;0;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:32:28";="590797353";12C101;1;1;0;0;2;50;50;0;0;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:32:28";="590797353";13C031;19;10;3;4;36;52.777777778;27.777777778;8.3333333333;11.111111111;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:32:28";="590797353";13C051;2;1;0;1;4;50;25;0;25;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:32:28";="590797353";13C151;1;0;0;1;2;50;0;0;50;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:32:28";="590797353";13C181;9;1;1;2;13;69.230769231;7.6923076923;7.6923076923;15.384615385;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:32:28";="590797353";19C021;1;0;0;0;1;100;0;0;0;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 11:29:09";="590782421";04C031;2;3;0;0;5;40;60;0;0;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 11:29:09";="590782421";06C091;1;7;26;46;80;1.25;8.75;32.5;57.5;2023.7;X590782421;30AUG23;11:28:50
