"champ";"statut";"annee";"periode";"date du resultat";"ipe";code;nb;mnt_br;mnt_remb;nb_fides;mnt_br_fides;mnt_remb_fides;taux;mnt_rac;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/25 10:04:33";="620003376";MED;0;0;0;0;0;0;0;0;2023.7;X620003376;25AUG23;10:04:13
"mco";"dgf";"2023";"7";"2023/08/25 10:04:33";="620003376";INNOVATION;0;0;0;0;0;0;0;0;2023.7;X620003376;25AUG23;10:04:13
"mco";"dgf";"2023";"7";"2023/08/25 10:04:33";="620003376";URGENCE;45;1241.3;1241.276468;0;0;0;0.9999733333;0.023532;2023.7;X620003376;25AUG23;10:04:13
"mco";"dgf";"2023";"7";"2023/08/25 11:33:19";="600100648";ATU;0;0;0;0;0;0;0;0;2023.7;X600100648;25AUG23;11:32:38
"mco";"dgf";"2023";"7";"2023/08/25 11:33:19";="600100648";FFM;0;0;0;0;0;0;0;0;2023.7;X600100648;25AUG23;11:32:38
"mco";"dgf";"2023";"7";"2023/08/25 11:33:19";="600100648";DIALYSE;0;0;0;0;0;0;0;0;2023.7;X600100648;25AUG23;11:32:38
"mco";"dgf";"2023";"7";"2023/08/25 11:33:19";="600100648";FTN;19.45;1809.4335;1807.0254185;19.45;1809.4335;1807.0254185;0.9986727273;2.40808155;2023.7;X600100648;25AUG23;11:32:38
"mco";"dgf";"2023";"7";"2023/08/25 11:33:19";="600100648";CCAM;41;863.66;727.145469;41;863.66;727.145469;0.8419634146;136.514531;2023.7;X600100648;25AUG23;11:32:38
"mco";"dgf";"2023";"7";"2023/08/25 11:33:19";="600100648";SE;0;0;0;0;0;0;0;0;2023.7;X600100648;25AUG23;11:32:38
"mco";"dgf";"2023";"7";"2023/08/25 11:33:19";="600100648";NGAP;3;75;63.4775;3;75;63.4775;0.8463666667;11.5225;2023.7;X600100648;25AUG23;11:32:38
"mco";"dgf";"2023";"7";"2023/08/25 11:33:19";="600100648";DMI;0;0;0;0;0;0;0;0;2023.7;X600100648;25AUG23;11:32:38
"mco";"dgf";"2023";"7";"2023/08/25 11:33:19";="600100648";MED;0;0;0;0;0;0;0;0;2023.7;X600100648;25AUG23;11:32:38
"mco";"dgf";"2023";"7";"2023/08/25 11:33:19";="600100648";INNOVATION;0;0;0;0;0;0;0;0;2023.7;X600100648;25AUG23;11:32:38
"mco";"dgf";"2023";"7";"2023/08/25 11:33:19";="600100648";URGENCE;14;388.93;388.926078;0;0;0;0.9999857143;0.003922;2023.7;X600100648;25AUG23;11:32:38
"mco";"dgf";"2023";"7";"2023/08/25 12:07:07";="620101337";ATU;0;0;0;0;0;0;0;0;2023.7;X620101337;25AUG23;12:06:41
"mco";"dgf";"2023";"7";"2023/08/25 12:07:07";="620101337";FFM;0;0;0;0;0;0;0;0;2023.7;X620101337;25AUG23;12:06:41
"mco";"dgf";"2023";"7";"2023/08/25 12:07:07";="620101337";DIALYSE;0;0;0;0;0;0;0;0;2023.7;X620101337;25AUG23;12:06:41
"mco";"dgf";"2023";"7";"2023/08/25 12:07:07";="620101337";FTN;9;699.93;699.584216;4;468.94;468.594216;0.9997555556;0.345784;2023.7;X620101337;25AUG23;12:06:41
"mco";"dgf";"2023";"7";"2023/08/25 12:07:07";="620101337";CCAM;5;282.64;238.989753;5;282.64;238.989753;0.84642;43.650247;2023.7;X620101337;25AUG23;12:06:41
"mco";"dgf";"2023";"7";"2023/08/25 12:07:07";="620101337";SE;0;0;0;0;0;0;0;0;2023.7;X620101337;25AUG23;12:06:41
"mco";"dgf";"2023";"7";"2023/08/25 12:07:07";="620101337";NGAP;514;435.51;374.7030215;514;435.51;374.7030215;0.86168;60.8069785;2023.7;X620101337;25AUG23;12:06:41
"mco";"dgf";"2023";"7";"2023/08/25 12:07:07";="620101337";DMI;0;0;0;0;0;0;0;0;2023.7;X620101337;25AUG23;12:06:41
"mco";"dgf";"2023";"7";"2023/08/25 12:07:07";="620101337";MED;0;0;0;0;0;0;0;0;2023.7;X620101337;25AUG23;12:06:41
"mco";"dgf";"2023";"7";"2023/08/25 12:07:07";="620101337";INNOVATION;0;0;0;0;0;0;0;0;2023.7;X620101337;25AUG23;12:06:41
"mco";"dgf";"2023";"7";"2023/08/25 12:07:07";="620101337";URGENCE;65;1945.39;1945.364507;0;0;0;0.99998;0.025493;2023.7;X620101337;25AUG23;12:06:41
"mco";"dgf";"2023";"7";"2023/08/25 14:11:49";="020000287";ATU;0;0;0;0;0;0;0;0;2023.7;X020000287;25AUG23;14:11:36
"mco";"dgf";"2023";"7";"2023/08/25 14:11:49";="020000287";FFM;0;0;0;0;0;0;0;0;2023.7;X020000287;25AUG23;14:11:36
"mco";"dgf";"2023";"7";"2023/08/25 14:11:49";="020000287";DIALYSE;0;0;0;0;0;0;0;0;2023.7;X020000287;25AUG23;14:11:36
"mco";"dgf";"2023";"7";"2023/08/25 14:11:49";="020000287";FTN;0;0;0;0;0;0;0;0;2023.7;X020000287;25AUG23;14:11:36
"mco";"dgf";"2023";"7";"2023/08/25 14:11:49";="020000287";CCAM;0;0;0;0;0;0;0;0;2023.7;X020000287;25AUG23;14:11:36
"mco";"dgf";"2023";"7";"2023/08/25 14:11:49";="020000287";SE;0;0;0;0;0;0;0;0;2023.7;X020000287;25AUG23;14:11:36
"mco";"dgf";"2023";"7";"2023/08/25 14:11:49";="020000287";NGAP;0;0;0;0;0;0;0;0;2023.7;X020000287;25AUG23;14:11:36
"mco";"dgf";"2023";"7";"2023/08/25 14:11:49";="020000287";DMI;0;0;0;0;0;0;0;0;2023.7;X020000287;25AUG23;14:11:36
"mco";"dgf";"2023";"7";"2023/08/25 14:11:49";="020000287";MED;0;0;0;0;0;0;0;0;2023.7;X020000287;25AUG23;14:11:36
"mco";"dgf";"2023";"7";"2023/08/25 14:11:49";="020000287";INNOVATION;0;0;0;0;0;0;0;0;2023.7;X020000287;25AUG23;14:11:36
"mco";"dgf";"2023";"7";"2023/08/25 14:11:49";="020000287";URGENCE;40;1122.22;1122.208234;0;0;0;0.999985;0.011766;2023.7;X020000287;25AUG23;14:11:36
"mco";"dgf";"2023";"7";"2023/08/25 14:48:13";="800000077";ATU;0;0;0;0;0;0;0;0;2023.7;X800000077;25AUG23;14:48:03
"mco";"dgf";"2023";"7";"2023/08/25 14:48:13";="800000077";FFM;0;0;0;0;0;0;0;0;2023.7;X800000077;25AUG23;14:48:03
"mco";"dgf";"2023";"7";"2023/08/25 14:48:13";="800000077";DIALYSE;0;0;0;0;0;0;0;0;2023.7;X800000077;25AUG23;14:48:03
"mco";"dgf";"2023";"7";"2023/08/25 14:48:13";="800000077";FTN;0;0;0;0;0;0;0;0;2023.7;X800000077;25AUG23;14:48:03
"mco";"dgf";"2023";"7";"2023/08/25 14:48:13";="800000077";CCAM;0;0;0;0;0;0;0;0;2023.7;X800000077;25AUG23;14:48:03
"mco";"dgf";"2023";"7";"2023/08/25 14:48:13";="800000077";SE;0;0;0;0;0;0;0;0;2023.7;X800000077;25AUG23;14:48:03
"mco";"dgf";"2023";"7";"2023/08/25 14:48:13";="800000077";NGAP;10;150;127.256;10;150;127.256;0.84812;22.744;2023.7;X800000077;25AUG23;14:48:03
"mco";"dgf";"2023";"7";"2023/08/25 14:48:13";="800000077";DMI;0;0;0;0;0;0;0;0;2023.7;X800000077;25AUG23;14:48:03
"mco";"dgf";"2023";"7";"2023/08/25 14:48:13";="800000077";MED;0;0;0;0;0;0;0;0;2023.7;X800000077;25AUG23;14:48:03
"mco";"dgf";"2023";"7";"2023/08/25 14:48:13";="800000077";INNOVATION;0;0;0;0;0;0;0;0;2023.7;X800000077;25AUG23;14:48:03
"mco";"dgf";"2023";"7";"2023/08/25 14:48:13";="800000077";URGENCE;0;0;0;0;0;0;0;0;2023.7;X800000077;25AUG23;14:48:03
"mco";"dgf";"2023";"7";"2023/08/25 15:06:53";="590785374";ATU;0;0;0;0;0;0;0;0;2023.7;X590785374;25AUG23;15:06:41
"mco";"dgf";"2023";"7";"2023/08/25 15:06:53";="590785374";FFM;0;0;0;0;0;0;0;0;2023.7;X590785374;25AUG23;15:06:41
"mco";"dgf";"2023";"7";"2023/08/25 15:06:53";="590785374";DIALYSE;0;0;0;0;0;0;0;0;2023.7;X590785374;25AUG23;15:06:41
"mco";"dgf";"2023";"7";"2023/08/25 15:06:53";="590785374";FTN;0;0;0;0;0;0;0;0;2023.7;X590785374;25AUG23;15:06:41
"mco";"dgf";"2023";"7";"2023/08/25 15:06:53";="590785374";CCAM;1;40.28;33.992292;1;40.28;33.992292;0.8439;6.287708;2023.7;X590785374;25AUG23;15:06:41
"mco";"dgf";"2023";"7";"2023/08/25 15:06:53";="590785374";SE;0;0;0;0;0;0;0;0;2023.7;X590785374;25AUG23;15:06:41
"mco";"dgf";"2023";"7";"2023/08/25 15:06:53";="590785374";NGAP;4;50;42.5638;4;50;42.5638;0.85325;7.4362;2023.7;X590785374;25AUG23;15:06:41
"mco";"dgf";"2023";"7";"2023/08/25 15:06:53";="590785374";DMI;0;0;0;0;0;0;0;0;2023.7;X590785374;25AUG23;15:06:41
"mco";"dgf";"2023";"7";"2023/08/25 15:06:53";="590785374";MED;0;0;0;0;0;0;0;0;2023.7;X590785374;25AUG23;15:06:41
"mco";"dgf";"2023";"7";"2023/08/25 15:06:53";="590785374";INNOVATION;0;0;0;0;0;0;0;0;2023.7;X590785374;25AUG23;15:06:41
"mco";"dgf";"2023";"7";"2023/08/25 15:06:53";="590785374";URGENCE;0;0;0;0;0;0;0;0;2023.7;X590785374;25AUG23;15:06:41
"mco";"dgf";"2023";"7";"2023/08/28 12:09:53";="590782645";ATU;0;0;0;0;0;0;0;0;2023.7;X590782645;28AUG23;12:09:43
"mco";"dgf";"2023";"7";"2023/08/28 12:09:53";="590782645";FFM;0;0;0;0;0;0;0;0;2023.7;X590782645;28AUG23;12:09:43
"mco";"dgf";"2023";"7";"2023/08/28 12:09:53";="590782645";DIALYSE;0;0;0;0;0;0;0;0;2023.7;X590782645;28AUG23;12:09:43
"mco";"dgf";"2023";"7";"2023/08/28 12:09:53";="590782645";FTN;0;0;0;0;0;0;0;0;2023.7;X590782645;28AUG23;12:09:43
"mco";"dgf";"2023";"7";"2023/08/28 12:09:53";="590782645";CCAM;0;0;0;0;0;0;0;0;2023.7;X590782645;28AUG23;12:09:43
"mco";"dgf";"2023";"7";"2023/08/28 12:09:53";="590782645";SE;0;0;0;0;0;0;0;0;2023.7;X590782645;28AUG23;12:09:43
"mco";"dgf";"2023";"7";"2023/08/28 12:09:53";="590782645";NGAP;0;0;0;0;0;0;0;0;2023.7;X590782645;28AUG23;12:09:43
"mco";"dgf";"2023";"7";"2023/08/28 12:09:53";="590782645";DMI;0;0;0;0;0;0;0;0;2023.7;X590782645;28AUG23;12:09:43
"mco";"dgf";"2023";"7";"2023/08/28 12:09:53";="590782645";MED;0;0;0;0;0;0;0;0;2023.7;X590782645;28AUG23;12:09:43
"mco";"dgf";"2023";"7";"2023/08/28 12:09:53";="590782645";INNOVATION;0;0;0;0;0;0;0;0;2023.7;X590782645;28AUG23;12:09:43
"mco";"dgf";"2023";"7";"2023/08/28 12:09:53";="590782645";URGENCE;0;0;0;0;0;0;0;0;2023.7;X590782645;28AUG23;12:09:43
"mco";"dgf";"2023";"7";"2023/08/28 12:52:24";="590782421";ATU;1;28.495439;24.175530448;0;0;0;0.8484;4.3199085524;2023.7;X590782421;28AUG23;12:51:57
"mco";"dgf";"2023";"7";"2023/08/28 12:52:24";="590782421";FFM;0;0;0;0;0;0;0;0;2023.7;X590782421;28AUG23;12:51:57
"mco";"dgf";"2023";"7";"2023/08/28 12:52:24";="590782421";DIALYSE;0;0;0;0;0;0;0;0;2023.7;X590782421;28AUG23;12:51:57
"mco";"dgf";"2023";"7";"2023/08/28 12:52:24";="590782421";FTN;1;93.03;93.020697;1;93.03;93.020697;0.9999;0.009303;2023.7;X590782421;28AUG23;12:51:57
"mco";"dgf";"2023";"7";"2023/08/28 12:52:24";="590782421";CCAM;4;169.88;144.227212;2;91.2;76.96368;0.8494;25.652788;2023.7;X590782421;28AUG23;12:51:57
"mco";"dgf";"2023";"7";"2023/08/28 12:52:24";="590782421";SE;0;0;0;0;0;0;0;0;2023.7;X590782421;28AUG23;12:51:57
"mco";"dgf";"2023";"7";"2023/08/28 12:52:24";="590782421";NGAP;514.5;370.505;319.1777945;365.5;307.025;262.6798625;0.8580384615;51.3272055;2023.7;X590782421;28AUG23;12:51:57
"mco";"dgf";"2023";"7";"2023/08/28 12:52:24";="590782421";DMI;0;0;0;0;0;0;0;0;2023.7;X590782421;28AUG23;12:51:57
"mco";"dgf";"2023";"7";"2023/08/28 12:52:24";="590782421";MED;0;0;0;0;0;0;0;0;2023.7;X590782421;28AUG23;12:51:57
"mco";"dgf";"2023";"7";"2023/08/28 12:52:24";="590782421";INNOVATION;0;0;0;0;0;0;0;0;2023.7;X590782421;28AUG23;12:51:57
"mco";"dgf";"2023";"7";"2023/08/28 12:52:24";="590782421";URGENCE;49;1394.29;1394.276273;0;0;0;0.9999857143;0.013727;2023.7;X590782421;28AUG23;12:51:57
"mco";"dgf";"2023";"7";"2023/08/28 14:31:15";="020000063";ATU;0;0;0;0;0;0;0;0;2023.7;X020000063;28AUG23;14:30:50
"mco";"dgf";"2023";"7";"2023/08/28 14:31:15";="020000063";FFM;0;0;0;0;0;0;0;0;2023.7;X020000063;28AUG23;14:30:50
"mco";"dgf";"2023";"7";"2023/08/28 14:31:15";="020000063";DIALYSE;0;0;0;0;0;0;0;0;2023.7;X020000063;28AUG23;14:30:50
