"champ";"statut";"annee";"periode";"date du resultat";"ipe";lib;nb;mnt;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/29 09:29:44";="590782652";Dont séjours séances;1060;511101.82673;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:49:15";="590780052";Séjours valorisés;1299;2214848.302;2023.7;X590780052;29AUG23;9:48:30
"mco";"dgf";"2023";"7";"2023/08/29 09:49:15";="590780052";Dont séjours en hospitalisation complète;370;1779518.0089;2023.7;X590780052;29AUG23;9:48:30
"mco";"dgf";"2023";"7";"2023/08/29 09:49:15";="590780052";Dont séjours sans nuitée;929;435330.29316;2023.7;X590780052;29AUG23;9:48:30
"mco";"dgf";"2023";"7";"2023/08/29 09:49:15";="590780052";Dont séjours séances;0;0;2023.7;X590780052;29AUG23;9:48:30
"mco";"dgf";"2023";"7";"2023/08/29 10:20:18";="600100648";Séjours valorisés;3378;6400079.7257;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 10:20:18";="600100648";Dont séjours en hospitalisation complète;1905;5249516.9515;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 10:20:18";="600100648";Dont séjours sans nuitée;1285;1066308.5757;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 10:20:18";="600100648";Dont séjours séances;188;84254.198565;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 13:06:01";="620000026";Séjours valorisés;7051;20644797.719;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:06:01";="620000026";Dont séjours en hospitalisation complète;3099;16190450.979;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:06:01";="620000026";Dont séjours sans nuitée;2879;4042746.7124;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:06:01";="620000026";Dont séjours séances;1073;411600.02792;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:23:44";="590065223";Séjours valorisés;0;0;2023.7;X590065223;29AUG23;13:23:00
"mco";"dgf";"2023";"7";"2023/08/29 13:23:44";="590065223";Dont séjours en hospitalisation complète;0;0;2023.7;X590065223;29AUG23;13:23:00
"mco";"dgf";"2023";"7";"2023/08/29 13:23:44";="590065223";Dont séjours sans nuitée;0;0;2023.7;X590065223;29AUG23;13:23:00
"mco";"dgf";"2023";"7";"2023/08/29 13:23:44";="590065223";Dont séjours séances;0;0;2023.7;X590065223;29AUG23;13:23:00
"mco";"dgf";"2023";"7";"2023/08/29 14:22:00";="620003350";Séjours valorisés;3441;8093343.6621;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:22:00";="620003350";Dont séjours en hospitalisation complète;2153;7454402.4026;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:22:00";="620003350";Dont séjours sans nuitée;1142;570595.11573;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:22:00";="620003350";Dont séjours séances;146;68346.143765;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:23:50";="590000600";Séjours valorisés;959;3676886.0536;2023.7;X590000600;29AUG23;14:23:02
"mco";"dgf";"2023";"7";"2023/08/29 14:23:50";="590000600";Dont séjours en hospitalisation complète;713;3517953.0535;2023.7;X590000600;29AUG23;14:23:02
"mco";"dgf";"2023";"7";"2023/08/29 14:23:50";="590000600";Dont séjours sans nuitée;197;139199.42322;2023.7;X590000600;29AUG23;14:23:02
"mco";"dgf";"2023";"7";"2023/08/29 14:23:50";="590000600";Dont séjours séances;49;19733.576895;2023.7;X590000600;29AUG23;14:23:02
"mco";"dgf";"2023";"7";"2023/08/29 14:25:32";="620025346";Séjours valorisés;9170;17901926.562;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:25:32";="620025346";Dont séjours en hospitalisation complète;4741;13312883.612;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:25:32";="620025346";Dont séjours sans nuitée;3847;4366759.032;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:25:32";="620025346";Dont séjours séances;582;222283.91834;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:41:02";="590001749";Séjours valorisés;3119;6798093.2072;2023.7;X590001749;29AUG23;14:40:05
"mco";"dgf";"2023";"7";"2023/08/29 14:41:02";="590001749";Dont séjours en hospitalisation complète;1629;5918226.0557;2023.7;X590001749;29AUG23;14:40:05
"mco";"dgf";"2023";"7";"2023/08/29 14:41:02";="590001749";Dont séjours sans nuitée;850;631246.25583;2023.7;X590001749;29AUG23;14:40:05
"mco";"dgf";"2023";"7";"2023/08/29 14:41:02";="590001749";Dont séjours séances;640;248620.89573;2023.7;X590001749;29AUG23;14:40:05
