"champ";"statut";"annee";"periode";"date du resultat";"ipe";code;dmt;PU;nb;mnt_br;mnt_remb;nb_fides;mnt_br_fides;mnt_remb_fides;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/30 10:39:29";="590797353";FTR;035;55.66;704;39184.64;39184.64;511;28442.26;28442.26;2023.7;X590797353;30AUG23;10:39:02
"mco";"dgf";"2023";"7";"2023/08/30 14:08:21";="620101360";FTN;035;93.03;3889.55;361844.8365;361841.09018;2477.15;230449.2645;230445.51818;2023.7;X620101360;30AUG23;14:08:01
"mco";"dgf";"2023";"7";"2023/08/30 14:08:21";="620101360";FTN;753;166.05;3961;657724.05;657720.79542;3887;645436.35;645433.09542;2023.7;X620101360;30AUG23;14:08:01
"mco";"dgf";"2023";"7";"2023/08/30 14:08:21";="620101360";FTN;753;195.91;3816;747592.56;747588.46548;3770;738580.7;738576.60548;2023.7;X620101360;30AUG23;14:08:01
"mco";"dgf";"2023";"7";"2023/08/30 14:08:21";="620101360";FTR;035;55.66;11.15;620.609;620.609;9.15;509.289;509.289;2023.7;X620101360;30AUG23;14:08:01
"mco";"dgf";"2023";"7";"2023/08/30 14:08:21";="620101360";FTR;753;70.1;1;70.1;70.1;1;70.1;70.1;2023.7;X620101360;30AUG23;14:08:01
"mco";"dgf";"2023";"7";"2023/08/30 14:17:45";="590782165";FTN;035;93.03;6354;591112.62;591094.014;5900;548877;548877;2023.7;X590782165;30AUG23;14:17:25
"mco";"dgf";"2023";"7";"2023/08/30 14:17:45";="590782165";FTN;753;93.03;1;93.03;93.03;1;93.03;93.03;2023.7;X590782165;30AUG23;14:17:25
"mco";"dgf";"2023";"7";"2023/08/30 14:17:45";="590782165";FTN;753;166.05;3638;604089.9;604089.88339;3629;602595.45;602595.43339;2023.7;X590782165;30AUG23;14:17:25
"mco";"dgf";"2023";"7";"2023/08/30 14:17:45";="590782165";FTR;035;55.66;446;24824.36;24824.337736;364;20260.24;20260.217736;2023.7;X590782165;30AUG23;14:17:25
"mco";"dgf";"2023";"7";"2023/08/30 15:22:59";="590052056";FTN;035;13.95;1748;24384.6;24384.6;1747;24370.65;24370.65;2023.7;X590052056;30AUG23;15:22:42
"mco";"dgf";"2023";"7";"2023/08/30 15:22:59";="590052056";FTN;035;93.03;3929;365514.87;365514.69324;3928;365421.84;365421.66324;2023.7;X590052056;30AUG23;15:22:42
"mco";"dgf";"2023";"7";"2023/08/30 15:54:21";="620100685";FTN;035;68.88;3542.15;243983.292;243982.73511;3445.5;237326.04;237325.48311;2023.7;X620100685;30AUG23;15:53:57
"mco";"dgf";"2023";"7";"2023/08/30 15:54:21";="620100685";FTN;035;93.03;2732.55;254209.1265;254209.1265;2350.15;218634.4545;218634.4545;2023.7;X620100685;30AUG23;15:53:57
"mco";"dgf";"2023";"7";"2023/08/30 15:54:21";="620100685";FTN;753;68.88;1.15;79.212;79.212;1.15;79.212;79.212;2023.7;X620100685;30AUG23;15:53:57
"mco";"dgf";"2023";"7";"2023/08/30 15:54:21";="620100685";FTN;753;119.68;1;119.68;119.68;1;119.68;119.68;2023.7;X620100685;30AUG23;15:53:57
"mco";"dgf";"2023";"7";"2023/08/30 15:54:21";="620100685";FTN;753;124.88;2022;252507.36;252506.88546;1982;247512.16;247511.68546;2023.7;X620100685;30AUG23;15:53:57
"mco";"dgf";"2023";"7";"2023/08/30 15:54:21";="620100685";FTN;753;165.05;2727;450091.35;450091.35;2637;435236.85;435236.85;2023.7;X620100685;30AUG23;15:53:57
"mco";"dgf";"2023";"7";"2023/08/30 15:54:21";="620100685";FTN;753;166.05;2444;405826.2;405826.16679;2413;400678.65;400678.61679;2023.7;X620100685;30AUG23;15:53:57
"mco";"dgf";"2023";"7";"2023/08/30 15:54:21";="620100685";FTR;035;55.66;811.85;45187.571;45187.548736;696.85;38786.671;38786.648736;2023.7;X620100685;30AUG23;15:53:57
"mco";"dgf";"2023";"7";"2023/08/30 16:30:22";="620103440";FTG;750;750;955;716250;716250;955;716250;716250;2023.7;X620103440;30AUG23;16:29:46
"mco";"dgf";"2023";"7";"2023/08/30 16:30:22";="620103440";FTG;750;1000;939;939000;939000;939;939000;939000;2023.7;X620103440;30AUG23;16:29:46
"mco";"dgf";"2023";"7";"2023/08/30 16:30:22";="620103440";FTN;035;68.88;1151.6;79322.208;79322.208;9.45;650.916;650.916;2023.7;X620103440;30AUG23;16:29:46
"mco";"dgf";"2023";"7";"2023/08/30 16:30:22";="620103440";FTN;035;93.03;7826.3;728080.689;728080.47503;7820;727494.6;727494.38603;2023.7;X620103440;30AUG23;16:29:46
"mco";"dgf";"2023";"7";"2023/08/30 16:30:22";="620103440";FTN;753;120.51;448;53988.48;53988.48;448;53988.48;53988.48;2023.7;X620103440;30AUG23;16:29:46
"mco";"dgf";"2023";"7";"2023/08/30 16:30:22";="620103440";FTN;753;166.05;5747;954289.35;954289.35;5714;948809.7;948809.7;2023.7;X620103440;30AUG23;16:29:46
