"champ";"statut";"annee";"periode";"date du resultat";"ipe";cret1;COUNT;PERCENT;pctcum;effcum;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/30 14:11:46";="590782165";2;26;0.2186527626;100;11891;2023.7;X590782165;30AUG23;14:10:49
"mco";"dgf";"2023";"7";"2023/08/30 14:39:48";="620101360";0;15684;99.682216855;99.682216855;15684;2023.7;X620101360;30AUG23;14:38:44
"mco";"dgf";"2023";"7";"2023/08/30 14:39:48";="620101360";2;50;0.3177831448;100;15734;2023.7;X620101360;30AUG23;14:38:44
"mco";"dgf";"2023";"7";"2023/08/30 14:56:19";="590781662";0;3406;99.358226371;99.358226371;3406;2023.7;X590781662;30AUG23;14:55:22
"mco";"dgf";"2023";"7";"2023/08/30 14:56:19";="590781662";2;22;0.6417736289;100;3428;2023.7;X590781662;30AUG23;14:55:22
"mco";"dgf";"2023";"7";"2023/08/30 15:05:06";="590781621";0;4372;99.771793702;99.771793702;4372;2023.7;X590781621;30AUG23;15:03:46
"mco";"dgf";"2023";"7";"2023/08/30 15:05:06";="590781621";2;5;0.1141031492;99.885896851;4377;2023.7;X590781621;30AUG23;15:03:46
"mco";"dgf";"2023";"7";"2023/08/30 15:05:06";="590781621";9;5;0.1141031492;100;4382;2023.7;X590781621;30AUG23;15:03:46
"mco";"dgf";"2023";"7";"2023/08/30 15:19:49";="590052056";0;9931;99.859225742;99.859225742;9931;2023.7;X590052056;30AUG23;15:19:03
"mco";"dgf";"2023";"7";"2023/08/30 15:19:49";="590052056";1;2;0.0201106083;99.87933635;9933;2023.7;X590052056;30AUG23;15:19:03
"mco";"dgf";"2023";"7";"2023/08/30 15:19:49";="590052056";2;11;0.1106083459;99.989944696;9944;2023.7;X590052056;30AUG23;15:19:03
"mco";"dgf";"2023";"7";"2023/08/30 15:19:49";="590052056";3;1;0.0100553042;100;9945;2023.7;X590052056;30AUG23;15:19:03
"mco";"dgf";"2023";"7";"2023/08/30 16:35:11";="590781795";0;866;99.884659746;99.884659746;866;2023.7;X590781795;30AUG23;16:33:32
"mco";"dgf";"2023";"7";"2023/08/30 16:35:11";="590781795";2;1;0.1153402537;100;867;2023.7;X590781795;30AUG23;16:33:32
"mco";"dgf";"2023";"7";"2023/08/31 09:37:16";="620100677";0;3252;99.969259145;99.969259145;3252;2023.7;X620100677;31AUG23;9:36:32
"mco";"dgf";"2023";"7";"2023/08/31 09:37:16";="620100677";9;1;0.0307408546;100;3253;2023.7;X620100677;31AUG23;9:36:32
"mco";"dgf";"2023";"7";"2023/08/31 10:38:06";="590781415";0;34343;99.631563679;99.631563679;34343;2023.7;X590781415;31AUG23;10:37:00
"mco";"dgf";"2023";"7";"2023/08/31 10:38:06";="590781415";1;6;0.0174064404;99.648970119;34349;2023.7;X590781415;31AUG23;10:37:00
"mco";"dgf";"2023";"7";"2023/08/31 10:38:06";="590781415";2;87;0.2523933856;99.901363504;34436;2023.7;X590781415;31AUG23;10:37:00
"mco";"dgf";"2023";"7";"2023/08/31 10:38:06";="590781415";9;34;0.0986364955;100;34470;2023.7;X590781415;31AUG23;10:37:00
"mco";"dgf";"2023";"7";"2023/08/31 10:39:15";="620103440";0;46677;99.649879379;99.649879379;46677;2023.7;X620103440;31AUG23;10:37:57
"mco";"dgf";"2023";"7";"2023/08/31 10:39:15";="620103440";1;42;0.089665037;99.739544416;46719;2023.7;X620103440;31AUG23;10:37:57
"mco";"dgf";"2023";"7";"2023/08/31 10:39:15";="620103440";2;122;0.2604555838;100;46841;2023.7;X620103440;31AUG23;10:37:57
"mco";"dgf";"2023";"7";"2023/08/31 11:13:52";="800000085";0;1492;99.334221039;99.334221039;1492;2023.7;X800000085;31AUG23;11:13:08
"mco";"dgf";"2023";"7";"2023/08/31 11:13:52";="800000085";2;7;0.466045273;99.800266312;1499;2023.7;X800000085;31AUG23;11:13:08
"mco";"dgf";"2023";"7";"2023/08/31 11:13:52";="800000085";9;3;0.1997336884;100;1502;2023.7;X800000085;31AUG23;11:13:08
"mco";"dgf";"2023";"7";"2023/08/31 11:49:49";="590780193";0;132261;97.670142376;97.670142376;132261;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:49:49";="590780193";2;2999;2.2146570568;99.884799433;135260;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:49:49";="590780193";9;156;0.1152005671;100;135416;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 12:25:52";="020004404";0;9199;98.977835162;98.977835162;9199;2023.7;X020004404;31AUG23;12:24:34
"mco";"dgf";"2023";"7";"2023/08/31 12:25:52";="020004404";2;93;1.0006455778;99.97848074;9292;2023.7;X020004404;31AUG23;12:24:34
"mco";"dgf";"2023";"7";"2023/08/31 12:25:52";="020004404";9;2;0.0215192597;100;9294;2023.7;X020004404;31AUG23;12:24:34
"mco";"dgf";"2023";"7";"2023/08/31 14:26:11";="590781605";0;14099;99.477880477;99.477880477;14099;2023.7;X590781605;31AUG23;14:25:07
"mco";"dgf";"2023";"7";"2023/08/31 14:26:11";="590781605";2;73;0.5150638538;99.992944331;14172;2023.7;X590781605;31AUG23;14:25:07
"mco";"dgf";"2023";"7";"2023/08/31 14:26:11";="590781605";9;1;0.0070556692;100;14173;2023.7;X590781605;31AUG23;14:25:07
"mco";"dgf";"2023";"7";"2023/08/31 14:29:29";="590781811";0;138;100;100;138;2023.7;X590781811;31AUG23;14:28:53
"mco";"dgf";"2023";"7";"2023/08/31 14:34:11";="800000093";0;3083;99.355462456;99.355462456;3083;2023.7;X800000093;31AUG23;14:33:22
"mco";"dgf";"2023";"7";"2023/08/31 14:34:11";="800000093";2;19;0.6123106671;99.967773123;3102;2023.7;X800000093;31AUG23;14:33:22
"mco";"dgf";"2023";"7";"2023/08/31 14:34:11";="800000093";9;1;0.0322268772;100;3103;2023.7;X800000093;31AUG23;14:33:22
"mco";"dgf";"2023";"7";"2023/08/31 14:53:25";="600100713";0;34811;99.719270102;99.719270102;34811;2023.7;X600100713;31AUG23;14:51:48
"mco";"dgf";"2023";"7";"2023/08/31 14:53:25";="600100713";2;96;0.2750007161;99.994270818;34907;2023.7;X600100713;31AUG23;14:51:48
"mco";"dgf";"2023";"7";"2023/08/31 14:53:25";="600100713";9;2;0.0057291816;100;34909;2023.7;X600100713;31AUG23;14:51:48
"mco";"dgf";"2023";"7";"2023/08/31 14:59:54";="020000048";0;396;99;99;396;2023.7;X020000048;31AUG23;14:59:10
"mco";"dgf";"2023";"7";"2023/08/31 14:59:54";="020000048";9;4;1;100;400;2023.7;X020000048;31AUG23;14:59:10
"mco";"dgf";"2023";"7";"2023/08/31 15:43:49";="590782215";0;68598;99.094257855;99.094257855;68598;2023.7;X590782215;31AUG23;15:42:07
"mco";"dgf";"2023";"7";"2023/08/31 15:43:49";="590782215";2;599;0.8652943301;99.959552185;69197;2023.7;X590782215;31AUG23;15:42:07
"mco";"dgf";"2023";"7";"2023/08/31 15:43:49";="590782215";9;28;0.0404478151;100;69225;2023.7;X590782215;31AUG23;15:42:07
"mco";"dgf";"2023";"7";"2023/08/31 16:59:26";="620100685";0;39682;98.625574748;98.625574748;39682;2023.7;X620100685;31AUG23;16:57:50
"mco";"dgf";"2023";"7";"2023/08/31 16:59:26";="620100685";2;545;1.3545420654;99.980116814;40227;2023.7;X620100685;31AUG23;16:57:50
"mco";"dgf";"2023";"7";"2023/08/31 16:59:26";="620100685";3;6;0.0149123897;99.995029203;40233;2023.7;X620100685;31AUG23;16:57:50
"mco";"dgf";"2023";"7";"2023/08/31 16:59:26";="620100685";9;2;0.0049707966;100;40235;2023.7;X620100685;31AUG23;16:57:50
"mco";"dgf";"2023";"7";"2023/08/31 18:54:08";="800000069";0;3502;99.97145304;99.97145304;3502;2023.7;X800000069;31AUG23;18:53:23
"mco";"dgf";"2023";"7";"2023/08/31 18:54:08";="800000069";2;1;0.0285469597;100;3503;2023.7;X800000069;31AUG23;18:53:23
"mco";"dgf";"2023";"7";"2023/09/01 08:07:01";="020000071";0;224;99.115044248;99.115044248;224;2023.7;X020000071;01SEP23;8:06:20
"mco";"dgf";"2023";"7";"2023/09/01 08:07:01";="020000071";2;1;0.4424778761;99.557522124;225;2023.7;X020000071;01SEP23;8:06:20
"mco";"dgf";"2023";"7";"2023/09/01 08:07:01";="020000071";9;1;0.4424778761;100;226;2023.7;X020000071;01SEP23;8:06:20
"mco";"dgf";"2023";"7";"2023/09/01 09:19:13";="600100721";0;20842;99.784554986;99.784554986;20842;2023.7;X600100721;01SEP23;9:18:13
"mco";"dgf";"2023";"7";"2023/09/01 09:19:13";="600100721";2;44;0.2106573467;99.995212333;20886;2023.7;X600100721;01SEP23;9:18:13
"mco";"dgf";"2023";"7";"2023/09/01 09:19:13";="600100721";9;1;0.004787667;100;20887;2023.7;X600100721;01SEP23;9:18:13
"mco";"dgf";"2023";"7";"2023/09/01 12:16:09";="620100057";0;28197;93.111646799;93.111646799;28197;2023.7;X620100057;01SEP23;12:14:44
"mco";"dgf";"2023";"7";"2023/09/01 12:16:09";="620100057";2;2086;6.8883532015;100;30283;2023.7;X620100057;01SEP23;12:14:44
"mco";"dgf";"2023";"7";"2023/09/01 12:22:48";="600101984";0;32281;99.522135898;99.522135898;32281;2023.7;X600101984;01SEP23;12:20:52
"mco";"dgf";"2023";"7";"2023/09/01 12:22:48";="600101984";2;143;0.4408681712;99.96300407;32424;2023.7;X600101984;01SEP23;12:20:52
"mco";"dgf";"2023";"7";"2023/09/01 12:22:48";="600101984";9;12;0.0369959304;100;32436;2023.7;X600101984;01SEP23;12:20:52
"mco";"dgf";"2023";"7";"2023/09/01 13:08:21";="800000028";0;15747;99.759265125;99.759265125;15747;2023.7;X800000028;01SEP23;13:07:27
"mco";"dgf";"2023";"7";"2023/09/01 13:08:21";="800000028";2;34;0.2153943617;99.974659487;15781;2023.7;X800000028;01SEP23;13:07:27
"mco";"dgf";"2023";"7";"2023/09/01 13:08:21";="800000028";9;4;0.0253405131;100;15785;2023.7;X800000028;01SEP23;13:07:27
"mco";"dgf";"2023";"7";"2023/09/01 14:03:14";="590783239";0;27411;99.153553988;99.153553988;27411;2023.7;X590783239;01SEP23;14:02:13
"mco";"dgf";"2023";"7";"2023/09/01 14:03:14";="590783239";2;208;0.7523964551;99.905950443;27619;2023.7;X590783239;01SEP23;14:02:13
"mco";"dgf";"2023";"7";"2023/09/01 14:03:14";="590783239";9;26;0.0940495569;100;27645;2023.7;X590783239;01SEP23;14:02:13
"mco";"dgf";"2023";"7";"2023/09/01 16:13:20";="590785374";0;4659;99.743095697;99.743095697;4659;2023.7;X590785374;01SEP23;16:12:38
"mco";"dgf";"2023";"7";"2023/09/01 16:13:20";="590785374";2;2;0.0428173839;99.785913081;4661;2023.7;X590785374;01SEP23;16:12:38
"mco";"dgf";"2023";"7";"2023/09/01 16:13:20";="590785374";9;10;0.2140869193;100;4671;2023.7;X590785374;01SEP23;16:12:38
"mco";"dgf";"2023";"7";"2023/09/01 16:56:17";="020000063";0;44756;99.094431529;99.094431529;44756;2023.7;X020000063;01SEP23;16:55:02
"mco";"dgf";"2023";"7";"2023/09/01 16:56:17";="020000063";1;9;0.0199269346;99.114358463;44765;2023.7;X020000063;01SEP23;16:55:02
"mco";"dgf";"2023";"7";"2023/09/01 16:56:17";="020000063";2;389;0.8612863943;99.975644858;45154;2023.7;X020000063;01SEP23;16:55:02
"mco";"dgf";"2023";"7";"2023/09/01 16:56:17";="020000063";3;1;0.0022141038;99.977858962;45155;2023.7;X020000063;01SEP23;16:55:02
"mco";"dgf";"2023";"7";"2023/09/01 16:56:17";="020000063";9;10;0.0221410384;100;45165;2023.7;X020000063;01SEP23;16:55:02
"mco";"dgf";"2023";"7";"2023/09/01 18:27:36";="590000188";0;49168;99.70393803;99.70393803;49168;2023.7;X590000188;01SEP23;18:26:37
"mco";"dgf";"2023";"7";"2023/09/01 18:27:36";="590000188";2;146;0.2960619702;100;49314;2023.7;X590000188;01SEP23;18:26:37
"mco";"dgf";"2023";"7";"2023/09/04 15:54:48";="620103432";0;11896;99.664879357;99.664879357;11896;2023.7;X620103432;04SEP23;15:53:55
"mco";"dgf";"2023";"7";"2023/09/04 15:54:48";="620103432";1;11;0.0921581769;99.757037534;11907;2023.7;X620103432;04SEP23;15:53:55
"mco";"dgf";"2023";"7";"2023/09/04 15:54:48";="620103432";2;27;0.2262064343;99.983243968;11934;2023.7;X620103432;04SEP23;15:53:55
"mco";"dgf";"2023";"7";"2023/09/04 15:54:48";="620103432";3;1;0.0083780161;99.991621984;11935;2023.7;X620103432;04SEP23;15:53:55
"mco";"dgf";"2023";"7";"2023/09/04 15:54:48";="620103432";9;1;0.0083780161;100;11936;2023.7;X620103432;04SEP23;15:53:55
"mco";"dgf";"2023";"7";"2023/09/05 09:24:14";="590782637";0;12779;99.532673884;99.532673884;12779;2023.7;X590782637;05SEP23;9:23:23
"mco";"dgf";"2023";"7";"2023/09/05 09:24:14";="590782637";2;58;0.4517485785;99.984422463;12837;2023.7;X590782637;05SEP23;9:23:23
"mco";"dgf";"2023";"7";"2023/09/05 09:24:14";="590782637";9;2;0.0155775372;100;12839;2023.7;X590782637;05SEP23;9:23:23
"mco";"dgf";"2023";"7";"2023/09/05 12:10:07";="590781803";0;12698;95.624670532;95.624670532;12698;2023.7;X590781803;05SEP23;12:09:07
"mco";"dgf";"2023";"7";"2023/09/05 12:10:07";="590781803";2;55;0.4141878153;96.038858348;12753;2023.7;X590781803;05SEP23;12:09:07
"mco";"dgf";"2023";"7";"2023/09/05 12:10:07";="590781803";9;526;3.9611416522;100;13279;2023.7;X590781803;05SEP23;12:09:07
"mco";"dgf";"2023";"7";"2023/09/05 17:41:23";="590780227";0;14315;99.825662483;99.825662483;14315;2023.7;X590780227;05SEP23;17:40:33
"mco";"dgf";"2023";"7";"2023/09/05 17:41:23";="590780227";2;12;0.0836820084;99.909344491;14327;2023.7;X590780227;05SEP23;17:40:33
"mco";"dgf";"2023";"7";"2023/09/05 17:41:23";="590780227";9;13;0.0906555091;100;14340;2023.7;X590780227;05SEP23;17:40:33
"mco";"dgf";"2023";"7";"2023/09/05 17:45:33";="800000044";0;78807;99.048564677;99.048564677;78807;2023.7;X800000044;05SEP23;17:44:11
"mco";"dgf";"2023";"7";"2023/09/05 17:45:33";="800000044";2;323;0.4059624956;99.454527173;79130;2023.7;X800000044;05SEP23;17:44:11
"mco";"dgf";"2023";"7";"2023/09/05 17:45:33";="800000044";9;434;0.5454728269;100;79564;2023.7;X800000044;05SEP23;17:44:11
"mco";"dgf";"2023";"7";"2023/09/07 20:01:35";="590781902";0;18822;99.534637758;99.534637758;18822;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:01:35";="590781902";2;73;0.3860391327;99.920676891;18895;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:01:35";="590781902";9;15;0.0793231095;100;18910;2023.7;X590781902;07SEP23;20:00:41
