"champ";"statut";"annee";"periode";"date du resultat";"ipe";type;pbnb;nb_min;se;se_ssact;act;act_ssse;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/25 15:06:47";="590785374";SE3;0;0;0;0;0;0;2023.7;X590785374;25AUG23;15:06:41
"mco";"dgf";"2023";"7";"2023/08/25 15:06:47";="590785374";SE4;0;0;0;0;0;0;2023.7;X590785374;25AUG23;15:06:41
"mco";"dgf";"2023";"7";"2023/08/25 15:06:47";="590785374";SE5;0;0;0;0;0;0;2023.7;X590785374;25AUG23;15:06:41
"mco";"dgf";"2023";"7";"2023/08/25 15:06:47";="590785374";SE6;0;0;0;0;0;0;2023.7;X590785374;25AUG23;15:06:41
"mco";"dgf";"2023";"7";"2023/08/25 15:06:47";="590785374";SE7;0;0;0;0;0;0;2023.7;X590785374;25AUG23;15:06:41
"mco";"dgf";"2023";"7";"2023/08/28 12:09:48";="590782645";SE1;0;0;0;0;0;0;2023.7;X590782645;28AUG23;12:09:43
"mco";"dgf";"2023";"7";"2023/08/28 12:09:48";="590782645";SE2;0;0;0;0;0;0;2023.7;X590782645;28AUG23;12:09:43
"mco";"dgf";"2023";"7";"2023/08/28 12:09:48";="590782645";SE3;0;0;0;0;0;0;2023.7;X590782645;28AUG23;12:09:43
"mco";"dgf";"2023";"7";"2023/08/28 12:09:48";="590782645";SE4;0;0;6;0;6;0;2023.7;X590782645;28AUG23;12:09:43
"mco";"dgf";"2023";"7";"2023/08/28 12:09:48";="590782645";SE5;0;0;0;0;0;0;2023.7;X590782645;28AUG23;12:09:43
"mco";"dgf";"2023";"7";"2023/08/28 12:09:48";="590782645";SE6;0;0;0;0;0;0;2023.7;X590782645;28AUG23;12:09:43
"mco";"dgf";"2023";"7";"2023/08/28 12:09:48";="590782645";SE7;0;0;0;0;0;0;2023.7;X590782645;28AUG23;12:09:43
"mco";"dgf";"2023";"7";"2023/08/28 12:52:16";="590782421";SE1;0;0;1156;0;1190;11;2023.7;X590782421;28AUG23;12:51:57
"mco";"dgf";"2023";"7";"2023/08/28 12:52:16";="590782421";SE2;0;0;671;0;813;22;2023.7;X590782421;28AUG23;12:51:57
"mco";"dgf";"2023";"7";"2023/08/28 12:52:16";="590782421";SE3;0;0;160;0;162;2;2023.7;X590782421;28AUG23;12:51:57
"mco";"dgf";"2023";"7";"2023/08/28 12:52:16";="590782421";SE4;0;0;100;0;101;1;2023.7;X590782421;28AUG23;12:51:57
"mco";"dgf";"2023";"7";"2023/08/28 12:52:16";="590782421";SE5;0;0;0;0;1;1;2023.7;X590782421;28AUG23;12:51:57
"mco";"dgf";"2023";"7";"2023/08/28 12:52:16";="590782421";SE6;0;0;0;0;5;5;2023.7;X590782421;28AUG23;12:51:57
"mco";"dgf";"2023";"7";"2023/08/28 12:52:16";="590782421";SE7;0;0;22;0;22;0;2023.7;X590782421;28AUG23;12:51:57
"mco";"dgf";"2023";"7";"2023/08/28 14:31:07";="020000063";SE1;0;0;398;2;397;0;2023.7;X020000063;28AUG23;14:30:50
"mco";"dgf";"2023";"7";"2023/08/28 14:31:07";="020000063";SE2;0;0;1095;0;1263;0;2023.7;X020000063;28AUG23;14:30:50
"mco";"dgf";"2023";"7";"2023/08/28 14:31:07";="020000063";SE3;0;0;65;0;65;0;2023.7;X020000063;28AUG23;14:30:50
"mco";"dgf";"2023";"7";"2023/08/28 14:31:07";="020000063";SE4;0;0;115;0;115;0;2023.7;X020000063;28AUG23;14:30:50
"mco";"dgf";"2023";"7";"2023/08/28 14:31:07";="020000063";SE5;0;0;136;0;136;0;2023.7;X020000063;28AUG23;14:30:50
"mco";"dgf";"2023";"7";"2023/08/28 14:31:07";="020000063";SE6;0;0;128;0;128;0;2023.7;X020000063;28AUG23;14:30:50
"mco";"dgf";"2023";"7";"2023/08/28 14:31:07";="020000063";SE7;0;0;21;0;22;0;2023.7;X020000063;28AUG23;14:30:50
"mco";"dgf";"2023";"7";"2023/08/28 15:42:15";="020004495";SE1;0;0;0;0;0;0;2023.7;X020004495;28AUG23;15:42:08
"mco";"dgf";"2023";"7";"2023/08/28 15:42:15";="020004495";SE2;0;0;3;0;3;0;2023.7;X020004495;28AUG23;15:42:08
"mco";"dgf";"2023";"7";"2023/08/28 15:42:15";="020004495";SE3;0;0;11;0;13;0;2023.7;X020004495;28AUG23;15:42:08
"mco";"dgf";"2023";"7";"2023/08/28 15:42:15";="020004495";SE4;0;0;40;0;40;0;2023.7;X020004495;28AUG23;15:42:08
"mco";"dgf";"2023";"7";"2023/08/28 15:42:15";="020004495";SE5;0;0;0;0;0;0;2023.7;X020004495;28AUG23;15:42:08
"mco";"dgf";"2023";"7";"2023/08/28 15:42:15";="020004495";SE6;0;0;0;0;0;0;2023.7;X020004495;28AUG23;15:42:08
"mco";"dgf";"2023";"7";"2023/08/28 15:42:15";="020004495";SE7;0;0;0;0;0;0;2023.7;X020004495;28AUG23;15:42:08
"mco";"dgf";"2023";"7";"2023/08/28 17:55:41";="800000051";SE1;0;0;0;0;0;0;2023.7;X800000051;28AUG23;17:55:36
"mco";"dgf";"2023";"7";"2023/08/28 17:55:41";="800000051";SE2;0;0;0;0;0;0;2023.7;X800000051;28AUG23;17:55:36
"mco";"dgf";"2023";"7";"2023/08/28 17:55:41";="800000051";SE3;0;0;0;0;0;0;2023.7;X800000051;28AUG23;17:55:36
"mco";"dgf";"2023";"7";"2023/08/28 17:55:41";="800000051";SE4;0;0;0;0;0;0;2023.7;X800000051;28AUG23;17:55:36
"mco";"dgf";"2023";"7";"2023/08/28 17:55:41";="800000051";SE5;0;0;0;0;0;0;2023.7;X800000051;28AUG23;17:55:36
"mco";"dgf";"2023";"7";"2023/08/28 17:55:41";="800000051";SE6;0;0;0;0;0;0;2023.7;X800000051;28AUG23;17:55:36
"mco";"dgf";"2023";"7";"2023/08/28 17:55:41";="800000051";SE7;0;0;0;0;0;0;2023.7;X800000051;28AUG23;17:55:36
"mco";"dgf";"2023";"7";"2023/08/28 18:05:54";="800000036";SE1;0;0;0;0;0;0;2023.7;X800000036;28AUG23;18:05:49
"mco";"dgf";"2023";"7";"2023/08/28 18:05:54";="800000036";SE2;0;0;0;0;0;0;2023.7;X800000036;28AUG23;18:05:49
"mco";"dgf";"2023";"7";"2023/08/28 18:05:54";="800000036";SE3;0;0;0;0;0;0;2023.7;X800000036;28AUG23;18:05:49
"mco";"dgf";"2023";"7";"2023/08/28 18:05:54";="800000036";SE4;0;0;0;0;0;0;2023.7;X800000036;28AUG23;18:05:49
"mco";"dgf";"2023";"7";"2023/08/28 18:05:54";="800000036";SE5;0;0;0;0;0;0;2023.7;X800000036;28AUG23;18:05:49
"mco";"dgf";"2023";"7";"2023/08/28 18:05:54";="800000036";SE6;0;0;0;0;0;0;2023.7;X800000036;28AUG23;18:05:49
"mco";"dgf";"2023";"7";"2023/08/28 18:05:54";="800000036";SE7;0;0;0;0;0;0;2023.7;X800000036;28AUG23;18:05:49
"mco";"dgf";"2023";"7";"2023/08/29 09:15:24";="020000055";SE1;0;0;0;0;0;0;2023.7;X020000055;29AUG23;9:15:15
"mco";"dgf";"2023";"7";"2023/08/29 09:15:24";="020000055";SE2;0;0;0;0;0;0;2023.7;X020000055;29AUG23;9:15:15
