"champ";"statut";"annee";"periode";"date du resultat";"ipe";modesh;COUNT;PERCENT;count2;percent2;evol;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/25 12:05:31";="620101337";71;569;3.2808625959;539;3.0467469335;7.6841190786;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:31";="620101337";72;28;0.161448423;30;0.1695777514;-4.79386496;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:31";="620101337";74;35;0.2018105287;35;0.19784071;2.0065732572;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:31";="620101337";76;74;0.4266851179;49;0.276976994;54.050743286;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:31";="620101337";8;15611;90.013261835;15899;89.87055565;0.1587908119;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:31";="620101337";9;334;1.9258490457;425;2.4023514782;-19.83483419;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 14:46:35";="800000077";62;71;10.425844347;78;10.222804718;1.9861440566;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/25 14:46:35";="800000077";63;;0;2;0.2621231979;-100;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/25 14:46:35";="800000077";66;5;0.7342143906;1;0.131061599;460.20558003;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/25 14:46:35";="800000077";71;23;3.3773861968;18;2.3591087811;43.16364823;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/25 14:46:35";="800000077";72;9;1.3215859031;6;0.7863695937;68.061674009;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/25 14:46:35";="800000077";74;3;0.4405286344;1;0.131061599;236.12334802;2023.7;X800000077;25AUG23;14:46:27
