"champ";"statut";"annee";"periode";"date du resultat";"ipe";mode;ponder;pct_ponder;ponder_cn;dms;age_moy;age_med;pct_homme;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/29 09:48:53";="590780052";87;1;3.2258064516;1;27;87;87;0;2023.7;X590780052;29AUG23;9:48:30
"mco";"dgf";"2023";"7";"2023/08/29 09:48:53";="590780052";8U;2;6.4516129032;2;14.5;92.5;92.5;0;2023.7;X590780052;29AUG23;9:48:30
"mco";"dgf";"2023";"7";"2023/08/29 10:19:44";="600100648";62;1;1.9607843137;1;12;85;85;0;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 10:19:44";="600100648";71;1;1.9607843137;1;17;85;85;0;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 10:19:44";="600100648";8;36;70.588235294;36;8.3611111111;78.861111111;84;44.444444444;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 10:19:44";="600100648";85;13;25.490196078;13;12.153846154;79.153846154;81;38.461538462;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 13:05:30";="620000026";71;7;77.777777778;7;18;77.571428571;79;14.285714286;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:30";="620000026";8;2;22.222222222;2;3.5;70;70;50;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 14:21:25";="620003350";62;7;4.2944785276;7;15.714285714;82.571428571;81;71.428571429;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:21:25";="620003350";71;57;34.969325153;57;12.052631579;86.210526316;86;31.578947368;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:21:25";="620003350";8;72;44.171779141;72;8.1944444444;81.819444444;86;27.777777778;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:21:25";="620003350";85;27;16.564417178;27;13.111111111;85.074074074;87;18.518518519;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:23:26";="590000600";71;29;96.666666667;29;15.689655172;82.689655172;84;31.034482759;2023.7;X590000600;29AUG23;14:23:02
"mco";"dgf";"2023";"7";"2023/08/29 14:23:26";="590000600";8;1;3.3333333333;1;9;85;85;100;2023.7;X590000600;29AUG23;14:23:02
"mco";"dgf";"2023";"7";"2023/08/29 14:25:01";="620025346";62;1;0.6172839506;1;15;83;83;0;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:25:01";="620025346";71;4;2.4691358025;4;8;67.75;66.5;100;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:25:01";="620025346";72;1;0.6172839506;1;2;86;86;100;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:25:01";="620025346";8;90;55.555555556;90;6.9555555556;73.788888889;80.5;40;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:25:01";="620025346";85;65;40.12345679;65;12.169230769;78.692307692;83;40;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:25:01";="620025346";87;1;0.6172839506;1;9;98;98;0;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:40:33";="590001749";71;10;25;10;15.1;85.1;84.5;20;2023.7;X590001749;29AUG23;14:40:05
"mco";"dgf";"2023";"7";"2023/08/29 14:40:33";="590001749";8;25;62.5;25;9.84;76.4;80;60;2023.7;X590001749;29AUG23;14:40:05
"mco";"dgf";"2023";"7";"2023/08/29 14:40:33";="590001749";85;5;12.5;5;16.2;91.8;92;40;2023.7;X590001749;29AUG23;14:40:05
"mco";"dgf";"2023";"7";"2023/08/29 14:46:44";="590781670";62;2;3.0303030303;2;8;80.5;80.5;50;2023.7;X590781670;29AUG23;14:46:17
"mco";"dgf";"2023";"7";"2023/08/29 14:46:44";="590781670";71;30;45.454545455;30;12.866666667;82.7;85;46.666666667;2023.7;X590781670;29AUG23;14:46:17
"mco";"dgf";"2023";"7";"2023/08/29 14:46:44";="590781670";8;25;37.878787879;25;12.28;77.72;84;56;2023.7;X590781670;29AUG23;14:46:17
