"champ";"statut";"annee";"periode";"date du resultat";"ipe";code13;code;code1;indication;dep23;dep23_aut;nb23;ecart;dep23_val;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/11 08:31:39";="600100168";3400894389798;9438979;9438979;I000580;39668.407;39698.832;16;15.2125;39683.6195;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:39";="600100168";3400894389798;9438979;9438979;I000581;2451.4;2481.177;1;14.8885;2466.2885;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:39";="600100168";3400894405450;9440545;9440545;I000499;20102.242;20102.26;10;0.003;20102.245;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:39";="600100168";3400894405511;9440551;9440551;I000499;9649.012;9649.08;20;0.034;9649.046;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/24 14:39:25";="020000253";3400890000994;9000099;9000099;I000029;4290.96;12004.806;26;3856.923;8147.883;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:25";="020000253";3400890000994;9000099;9000099;I000031;469.63;1209.786;3;370.078;839.708;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:25";="020000253";3400890001007;9000100;9000100;I000029;2350.34;7367.611;57;2508.6355;4858.9755;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:25";="020000253";3400890001007;9000100;9000100;I000031;78.16;219.174;2;70.507;148.667;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:25";="020000253";3400890002653;9000265;9000265;I000051;45.94;133.836;2;43.948;89.888;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:25";="020000253";3400890002653;9000265;9000265;I000053;229.72;669.18;10;219.73;449.45;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:25";="020000253";3400890002653;9000265;9000265;I999999;183.78;535.344;8;175.782;359.562;2023.7;X020000253;24AUG23;14:38:01
