"champ";"statut";"annee";"periode";"date du resultat";"ipe";code;nombre;mnt_ivg;mnt_ivg_am;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/09/01 13:08:44";="800000028";APD;2;1328.1;1328.1;2023.7;X800000028;01SEP23;13:07:27
"mco";"dgf";"2023";"7";"2023/09/01 13:08:44";="800000028";IMD;3;1389.75;1389.75;2023.7;X800000028;01SEP23;13:07:27
"mco";"dgf";"2023";"7";"2023/09/01 14:03:42";="590783239";AMF;184;52055.44;51998.858;2023.7;X590783239;01SEP23;14:02:13
"mco";"dgf";"2023";"7";"2023/09/01 14:03:42";="590783239";IMD;130;60222.5;60037.2;2023.7;X590783239;01SEP23;14:02:13
"mco";"dgf";"2023";"7";"2023/09/01 16:56:54";="020000063";AMD;36;21729.24;21608.522;2023.7;X020000063;01SEP23;16:55:02
"mco";"dgf";"2023";"7";"2023/09/01 16:56:54";="020000063";AMF;192;54318.72;54318.72;2023.7;X020000063;01SEP23;16:55:02
"mco";"dgf";"2023";"7";"2023/09/04 15:55:12";="620103432";AMD;39;23540.01;23298.574;2023.7;X620103432;04SEP23;15:53:55
"mco";"dgf";"2023";"7";"2023/09/04 15:55:12";="620103432";AMF;96;27159.36;27159.36;2023.7;X620103432;04SEP23;15:53:55
"mco";"dgf";"2023";"7";"2023/09/04 15:55:12";="620103432";IMD;1;463.25;370.6;2023.7;X620103432;04SEP23;15:53:55
"mco";"dgf";"2023";"7";"2023/09/05 09:24:36";="590782637";AMD;1;603.59;482.872;2023.7;X590782637;05SEP23;9:23:23
"mco";"dgf";"2023";"7";"2023/09/05 09:24:36";="590782637";AMF;246;69595.86;69595.86;2023.7;X590782637;05SEP23;9:23:23
"mco";"dgf";"2023";"7";"2023/09/05 09:24:36";="590782637";IMD;106;49104.5;49011.85;2023.7;X590782637;05SEP23;9:23:23
"mco";"dgf";"2023";"7";"2023/09/05 12:10:38";="590781803";AMD;18;10864.62;10864.62;2023.7;X590781803;05SEP23;12:09:07
"mco";"dgf";"2023";"7";"2023/09/05 12:10:38";="590781803";AMF;46;13013.86;12900.696;2023.7;X590781803;05SEP23;12:09:07
"mco";"dgf";"2023";"7";"2023/09/05 12:10:38";="590781803";APD;2;1328.1;1195.29;2023.7;X590781803;05SEP23;12:09:07
"mco";"dgf";"2023";"7";"2023/09/05 17:41:48";="590780227";AMD;26;15693.34;15451.904;2023.7;X590780227;05SEP23;17:40:33
"mco";"dgf";"2023";"7";"2023/09/05 17:41:48";="590780227";AMF;82;23198.62;22689.382;2023.7;X590780227;05SEP23;17:40:33
"mco";"dgf";"2023";"7";"2023/09/05 17:41:48";="590780227";IMD;8;3706;3613.35;2023.7;X590780227;05SEP23;17:40:33
"mco";"dgf";"2023";"7";"2023/09/05 17:46:14";="800000044";AMD;75;45269.25;45027.814;2023.7;X800000044;05SEP23;17:44:11
"mco";"dgf";"2023";"7";"2023/09/05 17:46:14";="800000044";AMF;171;48377.61;47981.536;2023.7;X800000044;05SEP23;17:44:11
"mco";"dgf";"2023";"7";"2023/09/05 17:46:14";="800000044";APD;2;1328.1;1062.48;2023.7;X800000044;05SEP23;17:44:11
"mco";"dgf";"2023";"7";"2023/09/07 20:01:59";="590781902";AMD;26;15693.34;15451.904;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:01:59";="590781902";AMF;240;67898.4;67332.58;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:01:59";="590781902";APD;4;2656.2;2390.58;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:01:59";="590781902";IMD;52;24089;23996.35;2023.7;X590781902;07SEP23;20:00:41
