"champ";"statut";"annee";"periode";"date du resultat";"ipe";code13;code;code1;indication;nb22a;dep22a;dep22_vala;nb22b;dep22b;dep22_valb;nbt22a;nbt22b;valo;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400890012997;9001299;9001299;I000356;896;604207.744;605330.88;896;604207.744;605330.88;896;896;-3.49246E-10;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400890012997;9001299;9001299;I999999;6;4046.097;4053.5865;6;4046.097;4053.5865;6;6;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400890018593;9001859;9001859;I000579;42;619529.429;646864.8415;42;619529.429;646864.8415;57;57;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400890018593;9001859;9001859;I999999;38;571677.232;590833.969;38;571677.232;590833.969;52;52;1.164153E-10;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400890018609;9001860;9001860;I000579;15;65412.241;65540.558;15;65412.241;65540.558;26;26;-1.45519E-11;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400890018609;9001860;9001860;I999999;29;126463.667;126711.746;29;126463.667;126711.746;29;29;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400890019668;9001966;9001966;I000121;3;549.183;1147.6095;3;549.183;1147.6095;3;3;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400890019668;9001966;9001966;I000452;1;183.061;382.5365;1;183.061;382.5365;1;1;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400890019668;9001966;9001966;I999999;1;183.061;382.5365;1;183.061;382.5365;1;1;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400891605099;9160509;9160509;I999999;0.8;702.952;704.3336;0.8;702.952;704.3336;0.8;0.8;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400891701753;9170175;9170175;I999999;1;9356.49;9374.845;1;9356.49;9374.845;1;1;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400891734751;9173475;9173475;I999999;6;3668.556;3675.906;6;3668.556;3675.906;6;6;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400891828306;9182830;9182830;I999999;524;288782.115;291517.1575;524;288782.115;291517.1575;524;524;5.820766E-11;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400891828474;9182847;9182847;I999999;14;1705.606;1835.519;14;1705.606;1835.519;14;14;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400891828535;9182853;9182853;I999999;66;18231.531;18381.3405;66;18231.531;18381.3405;66;66;-7.27596E-12;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400891944600;9194460;9194460;I000048;49.259;15749.583;15780.442299;49.259;15749.583;15780.442299;49.259;49.259;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400891944600;9194460;9194460;I999999;64.581;20648.486;20688.944562;64.581;20648.486;20688.944562;64.581;64.581;-3.63798E-12;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400891977028;9197702;9197702;I000231;3;374.599;302.739;3;374.599;302.739;3;3;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400891977028;9197702;9197702;I999999;9;1123.798;1009.0175;9;1123.798;1009.0175;9;9;-1.13687E-13;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400891977196;9197719;9197719;I000231;2;1033.89;1009.124;2;1033.89;1009.124;2;2;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400891977196;9197719;9197719;I999999;19;9821.955;9700.99;19;9821.955;9700.99;19;19;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400891990553;9199055;9199055;I999999;48;26849.064;26901.732;48;26849.064;26901.732;48;48;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400892113715;9211371;9211371;I999999;9;4736.935;6730.484;9;4736.935;6730.484;9;9;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400892113883;9211388;9211388;I999999;2;512.572;739.995;2;512.572;739.995;2;2;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400892122649;9212264;9212264;I000152;16;18306.18;18342.09;16;18306.18;18342.09;16;16;0;2023.7;X590780193;05SEP23;14:08:27
