"champ";"statut";"annee";"periode";"date du resultat";"ipe";eff;lib;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/29 16:41:08";="620027839";;Nombre de séjours/séances en AME valorisés;2023.7;X620027839;29AUG23;16:39:44
"mco";"dgf";"2023";"7";"2023/08/30 08:36:36";="590780284";57;Nombre de séjours/séance en AME;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:36:36";="590780284";4;Nombre de séjours/séances en AME non valorisés (CM90, ghs 9999, PIE);2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:36:36";="590780284";53;Nombre de séjours/séances en AME valorisés;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:43:39";="020000287";3;Nombre de séjours/séance en AME;2023.7;X020000287;30AUG23;8:42:17
"mco";"dgf";"2023";"7";"2023/08/30 08:43:39";="020000287";;Nombre de séjours/séances en AME non valorisés (CM90, ghs 9999, PIE);2023.7;X020000287;30AUG23;8:42:17
"mco";"dgf";"2023";"7";"2023/08/30 08:43:39";="020000287";3;Nombre de séjours/séances en AME valorisés;2023.7;X020000287;30AUG23;8:42:17
"mco";"dgf";"2023";"7";"2023/08/30 10:34:05";="590797353";283;Nombre de séjours/séance en AME;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:34:05";="590797353";12;Nombre de séjours/séances en AME non valorisés (CM90, ghs 9999, PIE);2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:34:05";="590797353";271;Nombre de séjours/séances en AME valorisés;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 11:30:46";="590782421";487;Nombre de séjours/séance en AME;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 11:30:46";="590782421";1;Nombre de séjours/séances en AME non valorisés (CM90, ghs 9999, PIE);2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 11:30:46";="590782421";486;Nombre de séjours/séances en AME valorisés;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 12:12:40";="800000051";;Nombre de séjours/séance en AME;2023.7;X800000051;30AUG23;12:11:16
"mco";"dgf";"2023";"7";"2023/08/30 12:12:40";="800000051";;Nombre de séjours/séances en AME non valorisés (CM90, ghs 9999, PIE);2023.7;X800000051;30AUG23;12:11:16
"mco";"dgf";"2023";"7";"2023/08/30 12:12:40";="800000051";;Nombre de séjours/séances en AME valorisés;2023.7;X800000051;30AUG23;12:11:16
"mco";"dgf";"2023";"7";"2023/08/30 13:42:50";="800000135";;Nombre de séjours/séance en AME;2023.7;X800000135;30AUG23;13:41:48
"mco";"dgf";"2023";"7";"2023/08/30 13:42:50";="800000135";;Nombre de séjours/séances en AME non valorisés (CM90, ghs 9999, PIE);2023.7;X800000135;30AUG23;13:41:48
"mco";"dgf";"2023";"7";"2023/08/30 13:42:50";="800000135";;Nombre de séjours/séances en AME valorisés;2023.7;X800000135;30AUG23;13:41:48
"mco";"dgf";"2023";"7";"2023/08/30 14:12:18";="590782165";23;Nombre de séjours/séance en AME;2023.7;X590782165;30AUG23;14:10:49
"mco";"dgf";"2023";"7";"2023/08/30 14:12:18";="590782165";;Nombre de séjours/séances en AME non valorisés (CM90, ghs 9999, PIE);2023.7;X590782165;30AUG23;14:10:49
"mco";"dgf";"2023";"7";"2023/08/30 14:12:18";="590782165";23;Nombre de séjours/séances en AME valorisés;2023.7;X590782165;30AUG23;14:10:49
"mco";"dgf";"2023";"7";"2023/08/30 14:40:20";="620101360";18;Nombre de séjours/séance en AME;2023.7;X620101360;30AUG23;14:38:44
"mco";"dgf";"2023";"7";"2023/08/30 14:40:20";="620101360";1;Nombre de séjours/séances en AME non valorisés (CM90, ghs 9999, PIE);2023.7;X620101360;30AUG23;14:38:44
"mco";"dgf";"2023";"7";"2023/08/30 14:40:20";="620101360";17;Nombre de séjours/séances en AME valorisés;2023.7;X620101360;30AUG23;14:38:44
"mco";"dgf";"2023";"7";"2023/08/30 14:56:46";="590781662";17;Nombre de séjours/séance en AME;2023.7;X590781662;30AUG23;14:55:22
"mco";"dgf";"2023";"7";"2023/08/30 14:56:46";="590781662";;Nombre de séjours/séances en AME non valorisés (CM90, ghs 9999, PIE);2023.7;X590781662;30AUG23;14:55:22
"mco";"dgf";"2023";"7";"2023/08/30 14:56:46";="590781662";17;Nombre de séjours/séances en AME valorisés;2023.7;X590781662;30AUG23;14:55:22
