"champ";"statut";"annee";"periode";"date du resultat";"ipe";_NAME_;adnp_1;adnp_2;adnp_v;adnp_x;adnp_Total;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/30 15:19:43";="590052056";nb_sea_crit1;0;0;1;0;1;2023.7;X590052056;30AUG23;15:19:03
"mco";"dgf";"2023";"7";"2023/08/30 15:19:43";="590052056";nb_sea_crit2;5;19;28;0;52;2023.7;X590052056;30AUG23;15:19:03
"mco";"dgf";"2023";"7";"2023/08/30 15:19:43";="590052056";nb_sea_crit3;0;0;4;0;4;2023.7;X590052056;30AUG23;15:19:03
"mco";"dgf";"2023";"7";"2023/08/30 15:19:43";="590052056";nb_sea_crit4;58;787;1457;0;2302;2023.7;X590052056;30AUG23;15:19:03
"mco";"dgf";"2023";"7";"2023/08/30 15:19:43";="590052056";nb_sea_crit5;0;0;0;0;;2023.7;X590052056;30AUG23;15:19:03
"mco";"dgf";"2023";"7";"2023/08/30 15:19:43";="590052056";nb_sea_dis;61;797;1477;0;;2023.7;X590052056;30AUG23;15:19:03
"mco";"dgf";"2023";"7";"2023/08/31 10:39:02";="620103440";nb_sea_crit1;0;0;6672;0;6672;2023.7;X620103440;31AUG23;10:37:57
"mco";"dgf";"2023";"7";"2023/08/31 10:39:02";="620103440";nb_sea_crit2;0;0;320;0;320;2023.7;X620103440;31AUG23;10:37:57
"mco";"dgf";"2023";"7";"2023/08/31 10:39:02";="620103440";nb_sea_crit3;1;0;401;0;402;2023.7;X620103440;31AUG23;10:37:57
"mco";"dgf";"2023";"7";"2023/08/31 10:39:02";="620103440";nb_sea_crit4;0;0;16607;0;16607;2023.7;X620103440;31AUG23;10:37:57
"mco";"dgf";"2023";"7";"2023/08/31 10:39:02";="620103440";nb_sea_crit5;0;0;0;0;;2023.7;X620103440;31AUG23;10:37:57
"mco";"dgf";"2023";"7";"2023/08/31 10:39:02";="620103440";nb_sea_dis;1;0;22988;0;;2023.7;X620103440;31AUG23;10:37:57
"mco";"dgf";"2023";"7";"2023/08/31 11:13:45";="800000085";nb_sea_crit1;0;108;423;0;531;2023.7;X800000085;31AUG23;11:13:08
"mco";"dgf";"2023";"7";"2023/08/31 11:13:45";="800000085";nb_sea_crit2;0;14;27;0;41;2023.7;X800000085;31AUG23;11:13:08
"mco";"dgf";"2023";"7";"2023/08/31 11:13:45";="800000085";nb_sea_crit3;0;0;0;0;;2023.7;X800000085;31AUG23;11:13:08
"mco";"dgf";"2023";"7";"2023/08/31 11:13:45";="800000085";nb_sea_crit4;1;47;40;0;88;2023.7;X800000085;31AUG23;11:13:08
"mco";"dgf";"2023";"7";"2023/08/31 11:13:45";="800000085";nb_sea_crit5;0;0;0;0;;2023.7;X800000085;31AUG23;11:13:08
"mco";"dgf";"2023";"7";"2023/08/31 11:13:45";="800000085";nb_sea_dis;1;168;486;0;;2023.7;X800000085;31AUG23;11:13:08
"mco";"dgf";"2023";"7";"2023/08/31 11:49:07";="590780193";nb_sea_crit1;0;0;18311;0;18311;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:49:07";="590780193";nb_sea_crit2;0;0;8190;0;8190;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:49:07";="590780193";nb_sea_crit3;0;0;4946;0;4946;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:49:07";="590780193";nb_sea_crit4;1;0;41146;0;41147;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:49:07";="590780193";nb_sea_crit5;0;0;0;0;;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:49:07";="590780193";nb_sea_dis;1;0;64529;0;;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 12:25:42";="020004404";nb_sea_crit1;1;0;3083;0;3084;2023.7;X020004404;31AUG23;12:24:34
"mco";"dgf";"2023";"7";"2023/08/31 12:25:42";="020004404";nb_sea_crit2;0;0;126;0;126;2023.7;X020004404;31AUG23;12:24:34
"mco";"dgf";"2023";"7";"2023/08/31 12:25:42";="020004404";nb_sea_crit3;0;0;75;0;75;2023.7;X020004404;31AUG23;12:24:34
"mco";"dgf";"2023";"7";"2023/08/31 12:25:42";="020004404";nb_sea_crit4;0;0;1477;0;1477;2023.7;X020004404;31AUG23;12:24:34
