"champ";"statut";"annee";"periode";"date du resultat";"ipe";_NAME_;COL1;COL2;COL3;COL4;COL5;COL6;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/22 19:09:45";="590782439";nbjJT0;20;57;-64.9122807;16;43;-62.79069767;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:45";="590782439";nbrsah0;566;687;-17.61280932;416;489;-14.92842536;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:45";="590782439";nbjh0;3275;3788;-13.54276663;2287;2790;-18.02867384;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:45";="590782439";nbuhcd;0;0;;0;0;;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:45";="590782439";nbabott;0;0;;0;0;;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/23 11:54:43";="590049565";per;1;2;3;1;2;3;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/23 11:54:43";="590049565";nbrsa;158;125;26.4;116;85;36.470588235;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/23 11:54:43";="590049565";cmd90;0;0;;0;0;;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/23 11:54:43";="590049565";hper;0;0;;0;0;;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/23 11:54:43";="590049565";typsejb;0;0;;0;0;;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/23 11:54:43";="590049565";ghs9999;0;0;;0;0;;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/23 11:54:43";="590049565";nbrsaseance;0;0;;0;0;;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/23 11:54:43";="590049565";nbseances;0;0;;0;0;;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/23 11:54:43";="590049565";nbrsa0;3;1;200;3;1;200;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/23 11:54:43";="590049565";nbjJT0;3;1;200;3;1;200;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/23 11:54:43";="590049565";nbrsah0;155;124;25;113;84;34.523809524;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/23 11:54:43";="590049565";nbjh0;3378;2977;13.469936177;2383;2031;17.33136386;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/23 11:54:43";="590049565";nbuhcd;0;0;;0;0;;2023.7;X590049565;23AUG23;11:54:38
