"champ";"statut";"annee";"periode";"date du resultat";"ipe";moisor;_NAME_;COL1;COL2;COL3;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/08 14:40:58";="800000036";7;nbrsa;51;42;21.428571429;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:40:58";="800000036";7;cmd90;0;0;;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:40:58";="800000036";7;hper;0;0;;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:40:58";="800000036";7;typsejb;0;0;;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:40:58";="800000036";7;ghs9999;0;0;;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:40:58";="800000036";7;nbrsaseance;1;0;;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:40:58";="800000036";7;nbseances;1;0;;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:40:58";="800000036";7;nbrsa0;4;3;33.333333333;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:40:58";="800000036";7;nbjJT0;4;3;33.333333333;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:40:58";="800000036";7;nbrsah0;46;39;17.948717949;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:40:58";="800000036";7;nbjh0;360;506;-28.85375494;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:40:58";="800000036";7;nbuhcd;0;0;;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/08 14:40:58";="800000036";7;nbabott;0;0;;2023.7;X800000036;08AUG23;14:40:54
"mco";"dgf";"2023";"7";"2023/08/11 08:30:56";="600100168";1;per;1;2;3;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:30:56";="600100168";1;nbrsa;753;640;17.65625;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:30:56";="600100168";1;cmd90;0;0;;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:30:56";="600100168";1;hper;0;0;;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:30:56";="600100168";1;typsejb;0;0;;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:30:56";="600100168";1;ghs9999;0;0;;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:30:56";="600100168";1;nbrsaseance;127;138;-7.971014493;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:30:56";="600100168";1;nbseances;127;138;-7.971014493;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:30:56";="600100168";1;nbrsa0;369;290;27.24137931;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:30:56";="600100168";1;nbjJT0;256;189;35.44973545;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:30:56";="600100168";1;nbrsah0;257;212;21.226415094;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:30:56";="600100168";1;nbjh0;993;799;24.280350438;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:30:56";="600100168";1;nbuhcd;0;0;;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:30:56";="600100168";1;nbabott;0;0;;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:30:56";="600100168";2;per;1;2;3;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:30:56";="600100168";2;nbrsa;605;646;-6.346749226;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:30:56";="600100168";2;cmd90;0;0;;2023.7;X600100168;11AUG23;8:30:51
