"champ";"statut";"annee";"periode";"date du resultat";"ipe";mois_e;semaine_e;ponder;dms;moy_age;med_age;pct_homme;pct_rea;pct_si;pct_sc;annee_e;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/25 12:06:07";="620101337";11;;1;49;79;79;0;100;100;100;2022;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:07";="620101337";12;;5;15;71;74;80;20;20;20;2022;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:07";="620101337";1;;23;7.8260869565;72.347826087;74;39.130434783;4.347826087;0;4.347826087;2023;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:07";="620101337";2;;14;9.1428571429;79.071428571;79.5;57.142857143;0;21.428571429;0;2023;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:07";="620101337";3;;14;8.2142857143;69.928571429;73;71.428571429;0;21.428571429;0;2023;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:07";="620101337";4;;15;7.5333333333;70.666666667;75;53.333333333;0;33.333333333;0;2023;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:07";="620101337";5;;22;7.4090909091;71.736239103;75;59.090909091;4.5454545455;13.636363636;0;2023;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:07";="620101337";6;;13;6.0769230769;77.384615385;80;76.923076923;0;23.076923077;0;2023;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:07";="620101337";7;;1;0;87;87;100;0;0;0;2023;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:07";="620101337";99;;108;8.3518518519;73.288863521;76;58.333333333;3.7037037037;17.592592593;2.7777777778;9999;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 14:47:02";="800000077";12;;5;10;84;83;60;0;0;0;2022;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/25 14:47:02";="800000077";1;;6;12.333333333;90;90.5;50;0;0;0;2023;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/25 14:47:02";="800000077";2;;2;14;80.5;80.5;0;0;0;0;2023;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/25 14:47:02";="800000077";3;;2;7.5;80.5;80.5;100;0;0;0;2023;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/25 14:47:02";="800000077";4;;4;10.75;84.25;84;0;0;0;0;2023;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/25 14:47:02";="800000077";5;;5;14.4;84.2;83;20;0;0;0;2023;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/25 14:47:02";="800000077";6;;4;12;90;89;25;0;0;0;2023;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/25 14:47:02";="800000077";7;;1;6;94;94;100;0;0;0;2023;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/25 14:47:02";="800000077";99;;29;11.586206897;86;88;37.931034483;0;0;0;9999;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/28 12:10:12";="590782645";1;;2;10.5;89;89;50;0;0;0;2023;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 12:10:12";="590782645";2;;4;11.5;82.75;81.5;25;0;0;0;2023;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 12:10:12";="590782645";3;;3;10;87;84;0;0;0;0;2023;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 12:10:12";="590782645";6;;3;5.6666666667;81.666666667;75;66.666666667;0;0;0;2023;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 12:10:12";="590782645";99;;12;9.5;84.583333333;83.5;33.333333333;0;0;0;9999;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 12:51:35";="600100572";99;;;;;0;;;;;9999;2023.7;X600100572;28AUG23;12:51:09
"mco";"dgf";"2023";"7";"2023/08/28 15:44:42";="020004495";12;;4;25.75;87;90.5;50;0;0;0;2022;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:44:42";="020004495";1;;9;7;65.111111111;77;33.333333333;0;0;0;2023;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:44:42";="020004495";2;;11;6.5454545455;66.727272727;67;45.454545455;0;0;0;2023;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:44:42";="020004495";3;;10;2.4;61;65;40;0;0;0;2023;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:44:42";="020004495";4;;7;3.5714285714;64;62;14.285714286;0;0;0;2023;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:44:42";="020004495";5;;4;3.75;63;57;25;0;0;0;2023;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:44:42";="020004495";6;;3;3.3333333333;49.666666667;35;33.333333333;0;0;0;2023;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:44:42";="020004495";7;;6;1.5;54.833333333;56;33.333333333;0;0;0;2023;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:44:42";="020004495";99;;54;5.9444444444;64;65;35.185185185;0;0;0;9999;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/29 09:24:42";="020000055";3;;2;11.5;66;66;50;0;0;0;2023;2023.7;X020000055;29AUG23;9:24:09
"mco";"dgf";"2023";"7";"2023/08/29 09:24:42";="020000055";4;;2;11;83;83;0;0;0;0;2023;2023.7;X020000055;29AUG23;9:24:09
"mco";"dgf";"2023";"7";"2023/08/29 09:24:42";="020000055";5;;2;25;85;85;0;0;0;0;2023;2023.7;X020000055;29AUG23;9:24:09
"mco";"dgf";"2023";"7";"2023/08/29 09:24:42";="020000055";7;;1;8;79;79;0;0;0;0;2023;2023.7;X020000055;29AUG23;9:24:09
"mco";"dgf";"2023";"7";"2023/08/29 09:24:42";="020000055";99;;7;14.714285714;78.142857143;79;14.285714286;0;0;0;9999;2023.7;X020000055;29AUG23;9:24:09
"mco";"dgf";"2023";"7";"2023/08/29 09:28:44";="590782652";12;;2;10;80;80;50;0;0;0;2022;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:28:44";="590782652";1;;2;5.5;85.5;85.5;50;0;0;0;2023;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:28:44";="590782652";2;;4;7.5;81;80.5;75;0;0;0;2023;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:28:44";="590782652";3;;2;10.5;85.5;85.5;0;0;0;0;2023;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:28:44";="590782652";4;;4;5.5;84.75;84;75;0;0;0;2023;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:28:44";="590782652";5;;2;5.5;80.5;80.5;100;0;0;0;2023;2023.7;X590782652;29AUG23;9:28:13
