"champ";"statut";"annee";"periode";"date du resultat";"ipe";code;classe_dist;nb;nb_valo;nb_nvalo;mnt_br;mnt_am;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/29 13:06:02";="620000026";TDE;04;18;18;0;8175.4701055;7845.3749267;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:06:02";="620000026";TDE;05;1;1;0;1022.8168109;1015.6570932;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 14:22:01";="620003350";TDE;01;96;90;6;7485.6470236;6772.3320086;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:22:01";="620003350";TDE;02;27;24;3;3545.4435872;3196.9297293;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:23:51";="590000600";TDE;01;19;18;1;1547.943336;1451.6132818;2023.7;X590000600;29AUG23;14:23:02
"mco";"dgf";"2023";"7";"2023/08/29 14:23:51";="590000600";TDE;02;6;6;0;894.06838;857.15515722;2023.7;X590000600;29AUG23;14:23:02
"mco";"dgf";"2023";"7";"2023/08/29 14:25:34";="620025346";TDE;01;233;220;13;18369.416848;17506.930113;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:25:34";="620025346";TDE;02;99;92;7;13625.118098;12882.350766;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:25:34";="620025346";TDE;03;2;2;0;552.04243184;548.17813482;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:25:34";="620025346";TDE;04;1;1;0;465.56653768;369.84605753;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:41:04";="590001749";TDE;01;74;71;3;5951.8099509;5393.1367527;2023.7;X590001749;29AUG23;14:40:05
"mco";"dgf";"2023";"7";"2023/08/29 14:41:04";="590001749";TDE;02;141;140;1;20752.702788;17045.322963;2023.7;X590001749;29AUG23;14:40:05
"mco";"dgf";"2023";"7";"2023/08/29 14:41:04";="590001749";TDE;03;6;6;0;1642.3088672;1521.1770781;2023.7;X590001749;29AUG23;14:40:05
"mco";"dgf";"2023";"7";"2023/08/29 14:47:13";="590781670";TDE;01;40;40;0;3439.372686;3193.3699816;2023.7;X590781670;29AUG23;14:46:17
"mco";"dgf";"2023";"7";"2023/08/29 14:47:13";="590781670";TDE;02;19;19;0;2892.658775;2811.1006753;2023.7;X590781670;29AUG23;14:46:17
"mco";"dgf";"2023";"7";"2023/08/29 14:52:09";="020000261";TDE;01;39;38;1;3247.323222;2868.9207939;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:52:09";="020000261";TDE;02;324;319;5;48413.526685;46023.533441;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:52:09";="020000261";TDE;03;27;27;0;7655.636092;6981.7326922;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 16:14:48";="620100651";TDE;01;1381;1362;19;116616.29054;106881.84249;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:14:48";="620100651";TDE;02;253;250;3;38059.61247;34175.050258;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:14:48";="620100651";TDE;03;13;12;1;3444.419802;3247.0458609;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:14:48";="620100651";TDE;04;5;5;0;2367.801386;2351.2267763;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:14:48";="620100651";TDE;05;2;2;0;1993.448118;1583.5951849;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:14:48";="620100651";TSE;06;208;207;1;36647.31924;35216.931406;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:41:07";="620027839";TDE;01;143;143;0;11992.395413;11908.448645;2023.7;X620027839;29AUG23;16:39:44
"mco";"dgf";"2023";"7";"2023/08/29 16:41:07";="620027839";TSE;06;314;314;0;54069.311747;53656.071431;2023.7;X620027839;29AUG23;16:39:44
"mco";"dgf";"2023";"7";"2023/08/29 16:41:07";="620027839";TSE;08;3;3;0;1055.9824502;1048.590573;2023.7;X620027839;29AUG23;16:39:44
"mco";"dgf";"2023";"7";"2023/08/30 08:36:33";="590780284";TDE;01;651;626;25;52354.354758;49895.239476;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:36:33";="590780284";TDE;02;104;97;7;14398.003193;13916.787827;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:36:33";="590780284";TDE;03;24;24;0;6762.6934656;6659.164628;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:36:33";="590780284";TDE;04;1;1;0;465.56653768;462.30757191;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:36:33";="590780284";TSE;06;192;169;23;29214.373713;27603.580648;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:36:33";="590780284";TSE;07;6;6;0;1397.1186888;1387.338858;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:36:33";="590780284";TSE;08;2;0;2;0;0;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:43:36";="020000287";TDE;01;463;463;0;39608.463966;36637.10808;2023.7;X020000287;30AUG23;8:42:17
