"champ";"statut";"annee";"periode";"date du resultat";"ipe";code13;code;code1;indication;annee;periode;dep23;nb;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/09/01 13:08:47";="800000028";3400894471806;9447180;9447180;I000363;2023;06;1216.99;6.723;2023.7;X800000028;01SEP23;13:07:27
"mco";"dgf";"2023";"7";"2023/09/01 13:08:47";="800000028";3400894471806;9447180;9447180;I000365;2023;06;1126.33;6.222;2023.7;X800000028;01SEP23;13:07:27
"mco";"dgf";"2023";"7";"2023/09/01 16:56:57";="020000063";3400890002677;9000267;9000267;I000053;2023;03;37.011;1;2023.7;X020000063;01SEP23;16:55:02
"mco";"dgf";"2023";"7";"2023/09/01 16:56:57";="020000063";3400890004022;9000402;9000402;I000372;2023;03;283.9;5;2023.7;X020000063;01SEP23;16:55:02
"mco";"dgf";"2023";"7";"2023/09/01 16:56:57";="020000063";3400890004022;9000402;9000402;I000373;2023;03;113.56;2;2023.7;X020000063;01SEP23;16:55:02
"mco";"dgf";"2023";"7";"2023/09/01 16:56:57";="020000063";3400890004022;9000402;9000402;I000374;2023;03;1249.16;22;2023.7;X020000063;01SEP23;16:55:02
"mco";"dgf";"2023";"7";"2023/09/01 16:56:57";="020000063";3400894153177;9415317;9415317;I999999;2023;03;40.432;2;2023.7;X020000063;01SEP23;16:55:02
"mco";"dgf";"2023";"7";"2023/09/01 16:56:57";="020000063";3400894539384;9453938;9453938;I999999;2023;03;163.36;4;2023.7;X020000063;01SEP23;16:55:02
"mco";"dgf";"2023";"7";"2023/09/05 17:46:18";="800000044";3400894373131;9437313;9437313;I000603;2023;01;12578.72;14;2023.7;X800000044;05SEP23;17:44:11
"mco";"dgf";"2023";"7";"2023/09/05 17:46:18";="800000044";3400894471806;9447180;9447180;I000363;2023;03;110.268;2;2023.7;X800000044;05SEP23;17:44:11
"mco";"dgf";"2023";"7";"2023/09/05 17:46:18";="800000044";3400894471806;9447180;9447180;I000367;2023;04;118.098;2.142;2023.7;X800000044;05SEP23;17:44:11
