"champ";"statut";"annee";"periode";"date du resultat";"ipe";dp;nb;dms;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/09/01 09:19:05";="600100721";Z488;6;23.833333333;2023.7;X600100721;01SEP23;9:18:13
"mco";"dgf";"2023";"7";"2023/09/01 09:19:05";="600100721";Z713;2;22;2023.7;X600100721;01SEP23;9:18:13
"mco";"dgf";"2023";"7";"2023/09/01 09:19:05";="600100721";Z511;1;16;2023.7;X600100721;01SEP23;9:18:13
"mco";"dgf";"2023";"7";"2023/09/01 09:19:05";="600100721";Z751;1;52;2023.7;X600100721;01SEP23;9:18:13
"mco";"dgf";"2023";"7";"2023/09/01 09:19:05";="600100721";Z480;1;18;2023.7;X600100721;01SEP23;9:18:13
"mco";"dgf";"2023";"7";"2023/09/01 09:19:05";="600100721";Z76880;1;16;2023.7;X600100721;01SEP23;9:18:13
"mco";"dgf";"2023";"7";"2023/09/01 12:15:59";="620100057";Z742;2;20.5;2023.7;X620100057;01SEP23;12:14:44
"mco";"dgf";"2023";"7";"2023/09/01 12:15:59";="620100057";Z480;1;25;2023.7;X620100057;01SEP23;12:14:44
"mco";"dgf";"2023";"7";"2023/09/01 13:08:13";="800000028";Z742;7;26.285714286;2023.7;X800000028;01SEP23;13:07:27
"mco";"dgf";"2023";"7";"2023/09/01 14:03:04";="590783239";Z480;3;32.333333333;2023.7;X590783239;01SEP23;14:02:13
"mco";"dgf";"2023";"7";"2023/09/01 14:03:04";="590783239";Z380;1;17;2023.7;X590783239;01SEP23;14:02:13
"mco";"dgf";"2023";"7";"2023/09/01 14:03:04";="590783239";Z751;1;17;2023.7;X590783239;01SEP23;14:02:13
"mco";"dgf";"2023";"7";"2023/09/01 16:56:06";="020000063";Z511;12;25.166666667;2023.7;X020000063;01SEP23;16:55:02
"mco";"dgf";"2023";"7";"2023/09/01 16:56:06";="020000063";Z94800;5;21.4;2023.7;X020000063;01SEP23;16:55:02
"mco";"dgf";"2023";"7";"2023/09/01 16:56:06";="020000063";Z380;1;17;2023.7;X020000063;01SEP23;16:55:02
"mco";"dgf";"2023";"7";"2023/09/04 15:54:39";="620103432";Z488;1;26;2023.7;X620103432;04SEP23;15:53:55
"mco";"dgf";"2023";"7";"2023/09/05 09:24:06";="590782637";Z741;1;51;2023.7;X590782637;05SEP23;9:23:23
"mco";"dgf";"2023";"7";"2023/09/05 09:24:06";="590782637";Z006;1;28;2023.7;X590782637;05SEP23;9:23:23
"mco";"dgf";"2023";"7";"2023/09/05 09:24:06";="590782637";Z488;1;22;2023.7;X590782637;05SEP23;9:23:23
"mco";"dgf";"2023";"7";"2023/09/05 09:24:06";="590782637";Z751;1;26;2023.7;X590782637;05SEP23;9:23:23
"mco";"dgf";"2023";"7";"2023/09/05 12:09:59";="590781803";Z742;10;24.6;2023.7;X590781803;05SEP23;12:09:07
"mco";"dgf";"2023";"7";"2023/09/05 12:09:59";="590781803";Z480;4;27.5;2023.7;X590781803;05SEP23;12:09:07
"mco";"dgf";"2023";"7";"2023/09/05 17:41:18";="590780227";Z380;1;25;2023.7;X590780227;05SEP23;17:40:33
"mco";"dgf";"2023";"7";"2023/09/05 17:41:18";="590780227";Z742;1;25;2023.7;X590780227;05SEP23;17:40:33
"mco";"dgf";"2023";"7";"2023/09/05 17:45:20";="800000044";Z420;7;39.714285714;2023.7;X800000044;05SEP23;17:44:11
"mco";"dgf";"2023";"7";"2023/09/05 17:45:20";="800000044";Z742;7;52.285714286;2023.7;X800000044;05SEP23;17:44:11
"mco";"dgf";"2023";"7";"2023/09/05 17:45:20";="800000044";Z512;3;31;2023.7;X800000044;05SEP23;17:44:11
"mco";"dgf";"2023";"7";"2023/09/05 17:45:20";="800000044";Z511;3;24.666666667;2023.7;X800000044;05SEP23;17:44:11
"mco";"dgf";"2023";"7";"2023/09/05 17:45:20";="800000044";Z480;2;20;2023.7;X800000044;05SEP23;17:44:11
"mco";"dgf";"2023";"7";"2023/09/05 17:45:20";="800000044";Z4788;2;20.5;2023.7;X800000044;05SEP23;17:44:11
"mco";"dgf";"2023";"7";"2023/09/05 17:45:20";="800000044";Z452;1;19;2023.7;X800000044;05SEP23;17:44:11
"mco";"dgf";"2023";"7";"2023/09/05 17:45:20";="800000044";Z04802;1;18;2023.7;X800000044;05SEP23;17:44:11
"mco";"dgf";"2023";"7";"2023/09/05 17:45:20";="800000044";Z380;1;79;2023.7;X800000044;05SEP23;17:44:11
"mco";"dgf";"2023";"7";"2023/09/05 17:45:20";="800000044";Z421;1;23;2023.7;X800000044;05SEP23;17:44:11
"mco";"dgf";"2023";"7";"2023/09/05 17:45:20";="800000044";Z490;1;36;2023.7;X800000044;05SEP23;17:44:11
"mco";"dgf";"2023";"7";"2023/09/07 20:01:27";="590781902";Z4788;3;28.666666667;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:01:27";="590781902";Z748;1;16;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:01:27";="590781902";Z598;1;17;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:01:27";="590781902";Z751;1;17;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:01:27";="590781902";Z4580;1;24;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:01:27";="590781902";Z468;1;23;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:01:27";="590781902";Z480;1;23;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:01:27";="590781902";Z762;1;21;2023.7;X590781902;07SEP23;20:00:41
