"champ";"statut";"annee";"periode";"date du resultat";"ipe";typ9a;_NAME_;col1;ordre;colb1;colc1;cold1;cole1;colf1;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/18 15:14:34";="020000022";3;eff;387;1;348;11.206896552;282;264;6.8181818182;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:14:34";="020000022";3;typA;97;2;71;36.61971831;58;52;11.538461538;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:14:34";="020000022";3;entsor7;14;4;8;75;10;6;66.666666667;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:14:34";="020000022";3;entsor6;18;5;24;-25;13;15;-13.33333333;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:14:34";="020000022";3;nbmulti;0;6;0;;0;0;;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/22 19:09:46";="590782439";1;eff;560;1;605;-7.438016529;401;427;-6.088992974;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:46";="590782439";1;typA;34;2;28;21.428571429;28;20;40;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:46";="590782439";1;entsor7;0;4;1;-100;0;0;;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:46";="590782439";1;entsor6;1;5;4;-75;1;3;-66.66666667;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:46";="590782439";1;nbmulti;0;6;0;;0;0;;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:46";="590782439";2;eff;10;1;8;25;8;2;300;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:46";="590782439";2;typA;0;2;0;;0;0;;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:46";="590782439";2;entsor7;0;4;0;;0;0;;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:46";="590782439";2;entsor6;0;5;0;;0;0;;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:46";="590782439";2;nbmulti;0;6;0;;0;0;;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:46";="590782439";3;eff;427;1;492;-13.21138211;309;358;-13.68715084;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:46";="590782439";3;typA;111;2;114;-2.631578947;68;86;-20.93023256;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:46";="590782439";3;entsor7;5;4;10;-50;4;4;0;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:46";="590782439";3;entsor6;0;5;0;;0;0;;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:46";="590782439";3;nbmulti;2;6;61;-96.72131148;2;42;-95.23809524;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/23 11:54:44";="590049565";1;eff;11;1;9;22.222222222;7;6;16.666666667;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/23 11:54:44";="590049565";1;typA;0;2;0;;0;0;;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/23 11:54:44";="590049565";1;entsor7;0;4;0;;0;0;;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/23 11:54:44";="590049565";1;entsor6;0;5;0;;0;0;;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/23 11:54:44";="590049565";1;nbmulti;0;6;0;;0;0;;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/23 11:54:44";="590049565";3;eff;147;1;116;26.724137931;109;79;37.974683544;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/23 11:54:44";="590049565";3;typA;1;2;0;;0;0;;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/23 11:54:44";="590049565";3;entsor7;9;4;3;200;4;2;100;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/23 11:54:44";="590049565";3;entsor6;2;5;0;;1;0;;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/23 11:54:44";="590049565";3;nbmulti;0;6;0;;0;0;;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/24 14:38:07";="020000253";1;eff;6465;1;4784;35.137959866;4667;3508;33.038768529;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:07";="020000253";1;typA;0;2;0;;0;0;;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:07";="020000253";1;entsor7;2;4;0;;1;0;;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:07";="020000253";1;entsor6;0;5;1;-100;0;0;;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:07";="020000253";1;nbmulti;107;6;65;64.615384615;81;48;68.75;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:07";="020000253";2;eff;5379;1;4784;12.43729097;3934;3480;13.045977011;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:07";="020000253";2;typA;0;2;0;;0;0;;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:07";="020000253";2;entsor7;0;4;0;;0;0;;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:07";="020000253";2;entsor6;0;5;0;;0;0;;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:07";="020000253";2;nbmulti;0;6;0;;0;0;;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:07";="020000253";3;eff;4029;1;4018;0.2737680438;2890;2918;-0.959561343;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:07";="020000253";3;typA;22;2;8;175;17;6;183.33333333;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:07";="020000253";3;entsor7;17;4;16;6.25;13;13;0;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:07";="020000253";3;entsor6;3;5;0;;2;0;;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:07";="020000253";3;nbmulti;847;6;807;4.9566294919;617;571;8.0560420315;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/25 10:37:26";="620003376";1;eff;10172;1;9635;5.5734302024;6878;6980;-1.461318052;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:26";="620003376";1;typA;11;2;8;37.5;6;6;0;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:26";="620003376";1;entsor7;4;4;6;-33.33333333;3;6;-50;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:26";="620003376";1;entsor6;0;5;0;;0;0;;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:26";="620003376";1;nbmulti;100;6;156;-35.8974359;60;120;-50;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:26";="620003376";2;eff;1258;1;1107;13.640469738;868;791;9.7345132743;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:26";="620003376";2;typA;0;2;0;;0;0;;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:26";="620003376";2;entsor7;2;4;0;;2;0;;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:26";="620003376";2;entsor6;0;5;0;;0;0;;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:26";="620003376";2;nbmulti;0;6;0;;0;0;;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:26";="620003376";3;eff;1663;1;3330;-50.06006006;801;2430;-67.03703704;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:26";="620003376";3;typA;2;2;17;-88.23529412;2;15;-86.66666667;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:26";="620003376";3;entsor7;16;4;18;-11.11111111;12;16;-25;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:26";="620003376";3;entsor6;0;5;0;;0;0;;2023.7;X620003376;25AUG23;10:37:19
